# id;timestamp;commentText;codeText;commentWords;codeWords
AvroEndpoint -> @Override     public boolean isSingleton();1328305273;Whether this class supports being singleton or not.__@return <tt>true</tt> to be a single shared instance, <tt>false</tt> to create new instances.;@Override_    public boolean isSingleton() {_        return false__    };whether,this,class,supports,being,singleton,or,not,return,tt,true,tt,to,be,a,single,shared,instance,tt,false,tt,to,create,new,instances;override,public,boolean,is,singleton,return,false
AvroEndpoint -> @Override     public boolean isSingleton();1328449994;Whether this class supports being singleton or not.__@return <tt>true</tt> to be a single shared instance, <tt>false</tt> to create new instances.;@Override_    public boolean isSingleton() {_        return false__    };whether,this,class,supports,being,singleton,or,not,return,tt,true,tt,to,be,a,single,shared,instance,tt,false,tt,to,create,new,instances;override,public,boolean,is,singleton,return,false
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1328305273;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1328449994;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1335885915;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1375068440;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1420381317;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1425140025;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1427402378;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1451237124;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1460966546;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
