# id;timestamp;commentText;codeText;commentWords;codeWords
LambdaComponent -> public void setSecretKey(String secretKey);1516098690;Amazon AWS Secret Key;public void setSecretKey(String secretKey) {_        configuration.setSecretKey(secretKey)__    };amazon,aws,secret,key;public,void,set,secret,key,string,secret,key,configuration,set,secret,key,secret,key
LambdaComponent -> public void setSecretKey(String secretKey);1540108163;Amazon AWS Secret Key;public void setSecretKey(String secretKey) {_        configuration.setSecretKey(secretKey)__    };amazon,aws,secret,key;public,void,set,secret,key,string,secret,key,configuration,set,secret,key,secret,key
LambdaComponent -> public void setSecretKey(String secretKey);1545381338;Amazon AWS Secret Key;public void setSecretKey(String secretKey) {_        configuration.setSecretKey(secretKey)__    };amazon,aws,secret,key;public,void,set,secret,key,string,secret,key,configuration,set,secret,key,secret,key
LambdaComponent -> public void setSecretKey(String secretKey);1547241305;Amazon AWS Secret Key;public void setSecretKey(String secretKey) {_        configuration.setSecretKey(secretKey)__    };amazon,aws,secret,key;public,void,set,secret,key,string,secret,key,configuration,set,secret,key,secret,key
LambdaComponent -> public void setSecretKey(String secretKey);1547565754;Amazon AWS Secret Key;public void setSecretKey(String secretKey) {_        configuration.setSecretKey(secretKey)__    };amazon,aws,secret,key;public,void,set,secret,key,string,secret,key,configuration,set,secret,key,secret,key
LambdaComponent -> public void setConfiguration(LambdaConfiguration configuration);1516098690;The AWS Lambda default configuration;public void setConfiguration(LambdaConfiguration configuration) {_        this.configuration = configuration__    };the,aws,lambda,default,configuration;public,void,set,configuration,lambda,configuration,configuration,this,configuration,configuration
LambdaComponent -> public void setConfiguration(LambdaConfiguration configuration);1540108163;The AWS Lambda default configuration;public void setConfiguration(LambdaConfiguration configuration) {_        this.configuration = configuration__    };the,aws,lambda,default,configuration;public,void,set,configuration,lambda,configuration,configuration,this,configuration,configuration
LambdaComponent -> public void setConfiguration(LambdaConfiguration configuration);1545381338;The AWS Lambda default configuration;public void setConfiguration(LambdaConfiguration configuration) {_        this.configuration = configuration__    };the,aws,lambda,default,configuration;public,void,set,configuration,lambda,configuration,configuration,this,configuration,configuration
LambdaComponent -> public void setConfiguration(LambdaConfiguration configuration);1547241305;The AWS Lambda default configuration;public void setConfiguration(LambdaConfiguration configuration) {_        this.configuration = configuration__    };the,aws,lambda,default,configuration;public,void,set,configuration,lambda,configuration,configuration,this,configuration,configuration
LambdaComponent -> public void setConfiguration(LambdaConfiguration configuration);1547565754;The AWS Lambda default configuration;public void setConfiguration(LambdaConfiguration configuration) {_        this.configuration = configuration__    };the,aws,lambda,default,configuration;public,void,set,configuration,lambda,configuration,configuration,this,configuration,configuration
LambdaComponent -> public void setRegion(String region);1516098690;Amazon AWS Region;public void setRegion(String region) {_        configuration.setRegion(region)__    };amazon,aws,region;public,void,set,region,string,region,configuration,set,region,region
LambdaComponent -> public void setRegion(String region);1540108163;Amazon AWS Region;public void setRegion(String region) {_        configuration.setRegion(region)__    };amazon,aws,region;public,void,set,region,string,region,configuration,set,region,region
LambdaComponent -> public void setRegion(String region);1545381338;Amazon AWS Region;public void setRegion(String region) {_        configuration.setRegion(region)__    };amazon,aws,region;public,void,set,region,string,region,configuration,set,region,region
LambdaComponent -> public void setRegion(String region);1547241305;Amazon AWS Region;public void setRegion(String region) {_        configuration.setRegion(region)__    };amazon,aws,region;public,void,set,region,string,region,configuration,set,region,region
LambdaComponent -> public void setRegion(String region);1547565754;Amazon AWS Region;public void setRegion(String region) {_        configuration.setRegion(region)__    };amazon,aws,region;public,void,set,region,string,region,configuration,set,region,region
LambdaComponent -> public void setAccessKey(String accessKey);1516098690;Amazon AWS Access Key;public void setAccessKey(String accessKey) {_        configuration.setAccessKey(accessKey)__    };amazon,aws,access,key;public,void,set,access,key,string,access,key,configuration,set,access,key,access,key
LambdaComponent -> public void setAccessKey(String accessKey);1540108163;Amazon AWS Access Key;public void setAccessKey(String accessKey) {_        configuration.setAccessKey(accessKey)__    };amazon,aws,access,key;public,void,set,access,key,string,access,key,configuration,set,access,key,access,key
LambdaComponent -> public void setAccessKey(String accessKey);1545381338;Amazon AWS Access Key;public void setAccessKey(String accessKey) {_        configuration.setAccessKey(accessKey)__    };amazon,aws,access,key;public,void,set,access,key,string,access,key,configuration,set,access,key,access,key
LambdaComponent -> public void setAccessKey(String accessKey);1547241305;Amazon AWS Access Key;public void setAccessKey(String accessKey) {_        configuration.setAccessKey(accessKey)__    };amazon,aws,access,key;public,void,set,access,key,string,access,key,configuration,set,access,key,access,key
LambdaComponent -> public void setAccessKey(String accessKey);1547565754;Amazon AWS Access Key;public void setAccessKey(String accessKey) {_        configuration.setAccessKey(accessKey)__    };amazon,aws,access,key;public,void,set,access,key,string,access,key,configuration,set,access,key,access,key
