# id;timestamp;commentText;codeText;commentWords;codeWords
SnsComponent -> public void setAccessKey(String accessKey);1516011425;Amazon AWS Access Key;public void setAccessKey(String accessKey) {_        configuration.setAccessKey(accessKey)__    };amazon,aws,access,key;public,void,set,access,key,string,access,key,configuration,set,access,key,access,key
SnsComponent -> public void setAccessKey(String accessKey);1531482486;Amazon AWS Access Key;public void setAccessKey(String accessKey) {_        configuration.setAccessKey(accessKey)__    };amazon,aws,access,key;public,void,set,access,key,string,access,key,configuration,set,access,key,access,key
SnsComponent -> public void setAccessKey(String accessKey);1540108163;Amazon AWS Access Key;public void setAccessKey(String accessKey) {_        configuration.setAccessKey(accessKey)__    };amazon,aws,access,key;public,void,set,access,key,string,access,key,configuration,set,access,key,access,key
SnsComponent -> public void setAccessKey(String accessKey);1545381338;Amazon AWS Access Key;public void setAccessKey(String accessKey) {_        configuration.setAccessKey(accessKey)__    };amazon,aws,access,key;public,void,set,access,key,string,access,key,configuration,set,access,key,access,key
SnsComponent -> public void setAccessKey(String accessKey);1547241305;Amazon AWS Access Key;public void setAccessKey(String accessKey) {_        configuration.setAccessKey(accessKey)__    };amazon,aws,access,key;public,void,set,access,key,string,access,key,configuration,set,access,key,access,key
SnsComponent -> public void setAccessKey(String accessKey);1547565754;Amazon AWS Access Key;public void setAccessKey(String accessKey) {_        configuration.setAccessKey(accessKey)__    };amazon,aws,access,key;public,void,set,access,key,string,access,key,configuration,set,access,key,access,key
SnsComponent -> public String getRegion();1516011425;The region in which SNS client needs to work;public String getRegion() {_        return configuration.getRegion()__    };the,region,in,which,sns,client,needs,to,work;public,string,get,region,return,configuration,get,region
SnsComponent -> public String getRegion();1531482486;The region in which SNS client needs to work;public String getRegion() {_        return configuration.getRegion()__    };the,region,in,which,sns,client,needs,to,work;public,string,get,region,return,configuration,get,region
SnsComponent -> public String getRegion();1540108163;The region in which SNS client needs to work;public String getRegion() {_        return configuration.getRegion()__    };the,region,in,which,sns,client,needs,to,work;public,string,get,region,return,configuration,get,region
SnsComponent -> public String getRegion();1545381338;The region in which SNS client needs to work;public String getRegion() {_        return configuration.getRegion()__    };the,region,in,which,sns,client,needs,to,work;public,string,get,region,return,configuration,get,region
SnsComponent -> public String getRegion();1547241305;The region in which SNS client needs to work;public String getRegion() {_        return configuration.getRegion()__    };the,region,in,which,sns,client,needs,to,work;public,string,get,region,return,configuration,get,region
SnsComponent -> public String getRegion();1547565754;The region in which SNS client needs to work;public String getRegion() {_        return configuration.getRegion()__    };the,region,in,which,sns,client,needs,to,work;public,string,get,region,return,configuration,get,region
SnsComponent -> public void setConfiguration(SnsConfiguration configuration);1516011425;The AWS SNS default configuration;public void setConfiguration(SnsConfiguration configuration) {_        this.configuration = configuration__    };the,aws,sns,default,configuration;public,void,set,configuration,sns,configuration,configuration,this,configuration,configuration
SnsComponent -> public void setConfiguration(SnsConfiguration configuration);1531482486;The AWS SNS default configuration;public void setConfiguration(SnsConfiguration configuration) {_        this.configuration = configuration__    };the,aws,sns,default,configuration;public,void,set,configuration,sns,configuration,configuration,this,configuration,configuration
SnsComponent -> public void setConfiguration(SnsConfiguration configuration);1540108163;The AWS SNS default configuration;public void setConfiguration(SnsConfiguration configuration) {_        this.configuration = configuration__    };the,aws,sns,default,configuration;public,void,set,configuration,sns,configuration,configuration,this,configuration,configuration
SnsComponent -> public void setConfiguration(SnsConfiguration configuration);1545381338;The AWS SNS default configuration;public void setConfiguration(SnsConfiguration configuration) {_        this.configuration = configuration__    };the,aws,sns,default,configuration;public,void,set,configuration,sns,configuration,configuration,this,configuration,configuration
SnsComponent -> public void setConfiguration(SnsConfiguration configuration);1547241305;The AWS SNS default configuration;public void setConfiguration(SnsConfiguration configuration) {_        this.configuration = configuration__    };the,aws,sns,default,configuration;public,void,set,configuration,sns,configuration,configuration,this,configuration,configuration
