# id;timestamp;commentText;codeText;commentWords;codeWords
GoogleCalendarStreamComponent -> public void setConfiguration(GoogleCalendarStreamConfiguration configuration);1536239330;The configuration;public void setConfiguration(GoogleCalendarStreamConfiguration configuration) {_        this.configuration = configuration__    };the,configuration;public,void,set,configuration,google,calendar,stream,configuration,configuration,this,configuration,configuration
GoogleCalendarStreamComponent -> public void setConfiguration(GoogleCalendarStreamConfiguration configuration);1536239361;The configuration;public void setConfiguration(GoogleCalendarStreamConfiguration configuration) {_        this.configuration = configuration__    };the,configuration;public,void,set,configuration,google,calendar,stream,configuration,configuration,this,configuration,configuration
GoogleCalendarStreamComponent -> public void setConfiguration(GoogleCalendarStreamConfiguration configuration);1540108163;The configuration;public void setConfiguration(GoogleCalendarStreamConfiguration configuration) {_        this.configuration = configuration__    };the,configuration;public,void,set,configuration,google,calendar,stream,configuration,configuration,this,configuration,configuration
GoogleCalendarStreamComponent -> public void setConfiguration(GoogleCalendarStreamConfiguration configuration);1543997705;The configuration;public void setConfiguration(GoogleCalendarStreamConfiguration configuration) {_        this.configuration = configuration__    };the,configuration;public,void,set,configuration,google,calendar,stream,configuration,configuration,this,configuration,configuration
GoogleCalendarStreamComponent -> public void setConfiguration(GoogleCalendarStreamConfiguration configuration);1547241305;The configuration;public void setConfiguration(GoogleCalendarStreamConfiguration configuration) {_        this.configuration = configuration__    };the,configuration;public,void,set,configuration,google,calendar,stream,configuration,configuration,this,configuration,configuration
GoogleCalendarStreamComponent -> public void setConfiguration(GoogleCalendarStreamConfiguration configuration);1547800180;The configuration;public void setConfiguration(GoogleCalendarStreamConfiguration configuration) {_        this.configuration = configuration__    };the,configuration;public,void,set,configuration,google,calendar,stream,configuration,configuration,this,configuration,configuration
GoogleCalendarStreamComponent -> public GoogleCalendarClientFactory getClientFactory();1536239330;The client Factory;public GoogleCalendarClientFactory getClientFactory() {_        if (clientFactory == null) {_            clientFactory = new BatchGoogleCalendarClientFactory()__        }_        return clientFactory__    };the,client,factory;public,google,calendar,client,factory,get,client,factory,if,client,factory,null,client,factory,new,batch,google,calendar,client,factory,return,client,factory
GoogleCalendarStreamComponent -> public GoogleCalendarClientFactory getClientFactory();1536239361;The client Factory;public GoogleCalendarClientFactory getClientFactory() {_        if (clientFactory == null) {_            clientFactory = new BatchGoogleCalendarClientFactory()__        }_        return clientFactory__    };the,client,factory;public,google,calendar,client,factory,get,client,factory,if,client,factory,null,client,factory,new,batch,google,calendar,client,factory,return,client,factory
GoogleCalendarStreamComponent -> public GoogleCalendarClientFactory getClientFactory();1540108163;The client Factory;public GoogleCalendarClientFactory getClientFactory() {_        if (clientFactory == null) {_            clientFactory = new BatchGoogleCalendarClientFactory()__        }_        return clientFactory__    };the,client,factory;public,google,calendar,client,factory,get,client,factory,if,client,factory,null,client,factory,new,batch,google,calendar,client,factory,return,client,factory
GoogleCalendarStreamComponent -> public GoogleCalendarClientFactory getClientFactory();1543997705;The client Factory;public GoogleCalendarClientFactory getClientFactory() {_        if (clientFactory == null) {_            clientFactory = new BatchGoogleCalendarClientFactory()__        }_        return clientFactory__    };the,client,factory;public,google,calendar,client,factory,get,client,factory,if,client,factory,null,client,factory,new,batch,google,calendar,client,factory,return,client,factory
GoogleCalendarStreamComponent -> public GoogleCalendarClientFactory getClientFactory();1547241305;The client Factory;public GoogleCalendarClientFactory getClientFactory() {_        if (clientFactory == null) {_            clientFactory = new BatchGoogleCalendarClientFactory()__        }_        return clientFactory__    };the,client,factory;public,google,calendar,client,factory,get,client,factory,if,client,factory,null,client,factory,new,batch,google,calendar,client,factory,return,client,factory
GoogleCalendarStreamComponent -> public GoogleCalendarClientFactory getClientFactory();1547800180;The client Factory;public GoogleCalendarClientFactory getClientFactory() {_        if (clientFactory == null) {_            clientFactory = new BatchGoogleCalendarClientFactory()__        }_        return clientFactory__    };the,client,factory;public,google,calendar,client,factory,get,client,factory,if,client,factory,null,client,factory,new,batch,google,calendar,client,factory,return,client,factory
