commented;modifiers;parameterAmount;loc;comment;code
false;public;0;4;;@Override public Class<NullWritable> getWritableClass() {     return NullWritable.class. }
false;public;0;4;;@Override public Class<BooleanWritable> getWritableClass() {     return BooleanWritable.class. }
false;public;0;4;;@Override public Class<ByteWritable> getWritableClass() {     return ByteWritable.class. }
false;public;0;4;;@Override public Class<IntWritable> getWritableClass() {     return IntWritable.class. }
false;public;0;4;;@Override public Class<FloatWritable> getWritableClass() {     return FloatWritable.class. }
false;public;0;4;;@Override public Class<LongWritable> getWritableClass() {     return LongWritable.class. }
false;public;0;4;;@Override public Class<DoubleWritable> getWritableClass() {     return DoubleWritable.class. }
false;public;0;4;;@Override public Class<Text> getWritableClass() {     return Text.class. }
false;public;0;4;;@Override public Class<BytesWritable> getWritableClass() {     return BytesWritable.class. }
false;public,abstract;0;2;;@SuppressWarnings("rawtypes") public abstract Class<? extends WritableComparable> getWritableClass().
