# id;timestamp;commentText;codeText;commentWords;codeWords
Olingo2Component -> public void setMethodName(String methodName);1470118430;What sub operation to use for the selected operation_@param methodName;public void setMethodName(String methodName) {_        getConfigurationOrCreate().setMethodName(methodName)__    };what,sub,operation,to,use,for,the,selected,operation,param,method,name;public,void,set,method,name,string,method,name,get,configuration,or,create,set,method,name,method,name
Olingo2Component -> public void setMethodName(String methodName);1473866175;What sub operation to use for the selected operation_@param methodName;public void setMethodName(String methodName) {_        getConfigurationOrCreate().setMethodName(methodName)__    };what,sub,operation,to,use,for,the,selected,operation,param,method,name;public,void,set,method,name,string,method,name,get,configuration,or,create,set,method,name,method,name
Olingo2Component -> public void setSocketTimeout(int socketTimeout);1470118430;HTTP request timeout in milliseconds, defaults to 30,000 (30 seconds)_@param socketTimeout;public void setSocketTimeout(int socketTimeout) {_        getConfigurationOrCreate().setSocketTimeout(socketTimeout)__    };http,request,timeout,in,milliseconds,defaults,to,30,000,30,seconds,param,socket,timeout;public,void,set,socket,timeout,int,socket,timeout,get,configuration,or,create,set,socket,timeout,socket,timeout
Olingo2Component -> public void setSocketTimeout(int socketTimeout);1473866175;HTTP request timeout in milliseconds, defaults to 30,000 (30 seconds)_@param socketTimeout;public void setSocketTimeout(int socketTimeout) {_        getConfigurationOrCreate().setSocketTimeout(socketTimeout)__    };http,request,timeout,in,milliseconds,defaults,to,30,000,30,seconds,param,socket,timeout;public,void,set,socket,timeout,int,socket,timeout,get,configuration,or,create,set,socket,timeout,socket,timeout
Olingo2Component -> public void setProxy(HttpHost proxy);1470118430;HTTP proxy server configuration_@param proxy;public void setProxy(HttpHost proxy) {_        getConfigurationOrCreate().setProxy(proxy)__    };http,proxy,server,configuration,param,proxy;public,void,set,proxy,http,host,proxy,get,configuration,or,create,set,proxy,proxy
Olingo2Component -> public void setProxy(HttpHost proxy);1473866175;HTTP proxy server configuration_@param proxy;public void setProxy(HttpHost proxy) {_        getConfigurationOrCreate().setProxy(proxy)__    };http,proxy,server,configuration,param,proxy;public,void,set,proxy,http,host,proxy,get,configuration,or,create,set,proxy,proxy
Olingo2Component -> @Override     public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters);1491919462;Enable usage of global SSL context parameters.;@Override_    public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters) {_        this.useGlobalSslContextParameters = useGlobalSslContextParameters__    };enable,usage,of,global,ssl,context,parameters;override,public,void,set,use,global,ssl,context,parameters,boolean,use,global,ssl,context,parameters,this,use,global,ssl,context,parameters,use,global,ssl,context,parameters
Olingo2Component -> @Override     public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters);1534785800;Enable usage of global SSL context parameters.;@Override_    public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters) {_        this.useGlobalSslContextParameters = useGlobalSslContextParameters__    };enable,usage,of,global,ssl,context,parameters;override,public,void,set,use,global,ssl,context,parameters,boolean,use,global,ssl,context,parameters,this,use,global,ssl,context,parameters,use,global,ssl,context,parameters
Olingo2Component -> @Override     public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters);1540108163;Enable usage of global SSL context parameters.;@Override_    public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters) {_        this.useGlobalSslContextParameters = useGlobalSslContextParameters__    };enable,usage,of,global,ssl,context,parameters;override,public,void,set,use,global,ssl,context,parameters,boolean,use,global,ssl,context,parameters,this,use,global,ssl,context,parameters,use,global,ssl,context,parameters
Olingo2Component -> @Override     public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters);1547241305;Enable usage of global SSL context parameters.;@Override_    public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters) {_        this.useGlobalSslContextParameters = useGlobalSslContextParameters__    };enable,usage,of,global,ssl,context,parameters;override,public,void,set,use,global,ssl,context,parameters,boolean,use,global,ssl,context,parameters,this,use,global,ssl,context,parameters,use,global,ssl,context,parameters
Olingo2Component -> public void setContentType(String contentType);1470118430;Content-Type header value can be used to specify JSON or XML message format, defaults to application/json_charset=utf-8_@param contentType;public void setContentType(String contentType) {_        getConfigurationOrCreate().setContentType(contentType)__    };content,type,header,value,can,be,used,to,specify,json,or,xml,message,format,defaults,to,application,json,charset,utf,8,param,content,type;public,void,set,content,type,string,content,type,get,configuration,or,create,set,content,type,content,type
Olingo2Component -> public void setContentType(String contentType);1473866175;Content-Type header value can be used to specify JSON or XML message format, defaults to application/json_charset=utf-8_@param contentType;public void setContentType(String contentType) {_        getConfigurationOrCreate().setContentType(contentType)__    };content,type,header,value,can,be,used,to,specify,json,or,xml,message,format,defaults,to,application,json,charset,utf,8,param,content,type;public,void,set,content,type,string,content,type,get,configuration,or,create,set,content,type,content,type
Olingo2Component -> public void setHttpHeaders(Map<String, String> httpHeaders);1470118430;Custom HTTP headers to inject into every request, this could include OAuth tokens, etc._@param httpHeaders;public void setHttpHeaders(Map<String, String> httpHeaders) {_        getConfigurationOrCreate().setHttpHeaders(httpHeaders)__    };custom,http,headers,to,inject,into,every,request,this,could,include,oauth,tokens,etc,param,http,headers;public,void,set,http,headers,map,string,string,http,headers,get,configuration,or,create,set,http,headers,http,headers
Olingo2Component -> public void setHttpHeaders(Map<String, String> httpHeaders);1473866175;Custom HTTP headers to inject into every request, this could include OAuth tokens, etc._@param httpHeaders;public void setHttpHeaders(Map<String, String> httpHeaders) {_        getConfigurationOrCreate().setHttpHeaders(httpHeaders)__    };custom,http,headers,to,inject,into,every,request,this,could,include,oauth,tokens,etc,param,http,headers;public,void,set,http,headers,map,string,string,http,headers,get,configuration,or,create,set,http,headers,http,headers
Olingo2Component -> public void setHttpAsyncClientBuilder(HttpAsyncClientBuilder httpAsyncClientBuilder);1470118430;Custom HTTP async client builder for more complex HTTP client configuration, overrides connectionTimeout, socketTimeout, proxy and sslContext._Note that a socketTimeout MUST be specified in the builder, otherwise OData requests could block indefinitely_@param httpAsyncClientBuilder;public void setHttpAsyncClientBuilder(HttpAsyncClientBuilder httpAsyncClientBuilder) {_        getConfigurationOrCreate().setHttpAsyncClientBuilder(httpAsyncClientBuilder)__    };custom,http,async,client,builder,for,more,complex,http,client,configuration,overrides,connection,timeout,socket,timeout,proxy,and,ssl,context,note,that,a,socket,timeout,must,be,specified,in,the,builder,otherwise,odata,requests,could,block,indefinitely,param,http,async,client,builder;public,void,set,http,async,client,builder,http,async,client,builder,http,async,client,builder,get,configuration,or,create,set,http,async,client,builder,http,async,client,builder
