commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String getValue() {     return value. }
false;public;1;3;;public void setValue(String value) {     this.value = value. }
false;public;0;3;;public String getKey() {     return key. }
false;public;1;3;;public void setKey(String key) {     this.key = key. }
false;public;0;3;;public String getLabel() {     return label. }
false;public;1;3;;public void setLabel(String label) {     this.label = label. }
false;public;0;3;;public GroupingValue[] getGroupings() {     return groupings. }
false;public;1;3;;public void setGroupings(GroupingValue[] groupings) {     this.groupings = groupings. }
false;public;0;3;;public GroupingValue[] getDategroupings() {     return dategroupings. }
false;public;1;3;;public void setDategroupings(GroupingValue[] dategroupings) {     this.dategroupings = dategroupings. }
