commented;modifiers;parameterAmount;loc;comment;code
false;public;3;12;;@Override public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {     JobInfo value = null.     if (response != null) {         try {             value = unmarshalResponse(response, post, JobInfo.class).         } catch (SalesforceException e) {             ex = e.         }     }     callback.onResponse(value, headers, ex). }
false;public;3;30;;@Override public void createJob(JobInfo request, Map<String, List<String>> headers, final JobInfoResponseCallback callback) {     // clear system fields if set     sanitizeJobRequest(request).     final Request post = getRequest(HttpMethod.POST, jobUrl(null), headers).     try {         marshalRequest(objectFactory.createJobInfo(request), post, APPLICATION_XML_UTF8).     } catch (SalesforceException e) {         callback.onResponse(null, Collections.emptyMap(), e).         return.     }     // make the call and parse the result in callback     doHttpRequest(post, new ClientResponseCallback() {          @Override         public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {             JobInfo value = null.             if (response != null) {                 try {                     value = unmarshalResponse(response, post, JobInfo.class).                 } catch (SalesforceException e) {                     ex = e.                 }             }             callback.onResponse(value, headers, ex).         }     }). }
true;private;1;19;// reset read only fields ;// reset read only fields private void sanitizeJobRequest(JobInfo request) {     request.setApexProcessingTime(null).     request.setApiActiveProcessingTime(null).     request.setApiVersion(null).     request.setCreatedById(null).     request.setCreatedDate(null).     request.setId(null).     request.setNumberBatchesCompleted(null).     request.setNumberBatchesFailed(null).     request.setNumberBatchesInProgress(null).     request.setNumberBatchesQueued(null).     request.setNumberBatchesTotal(null).     request.setNumberRecordsFailed(null).     request.setNumberRecordsProcessed(null).     request.setNumberRetries(null).     request.setState(null).     request.setSystemModstamp(null).     request.setSystemModstamp(null). }
false;public;3;10;;@Override public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {     JobInfo value = null.     try {         value = unmarshalResponse(response, get, JobInfo.class).     } catch (SalesforceException e) {         ex = e.     }     callback.onResponse(value, headers, ex). }
false;public;3;18;;@Override public void getJob(String jobId, Map<String, List<String>> headers, final JobInfoResponseCallback callback) {     final Request get = getRequest(HttpMethod.GET, jobUrl(jobId), headers).     // make the call and parse the result     doHttpRequest(get, new ClientResponseCallback() {          @Override         public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {             JobInfo value = null.             try {                 value = unmarshalResponse(response, get, JobInfo.class).             } catch (SalesforceException e) {                 ex = e.             }             callback.onResponse(value, headers, ex).         }     }). }
false;public;3;10;;@Override public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {     JobInfo value = null.     try {         value = unmarshalResponse(response, post, JobInfo.class).     } catch (SalesforceException e) {         ex = e.     }     callback.onResponse(value, headers, ex). }
false;public;3;27;;@Override public void closeJob(String jobId, Map<String, List<String>> headers, final JobInfoResponseCallback callback) {     final JobInfo request = new JobInfo().     request.setState(JobStateEnum.CLOSED).     final Request post = getRequest(HttpMethod.POST, jobUrl(jobId), headers).     try {         marshalRequest(objectFactory.createJobInfo(request), post, APPLICATION_XML_UTF8).     } catch (SalesforceException e) {         callback.onResponse(null, Collections.emptyMap(), e).         return.     }     // make the call and parse the result     doHttpRequest(post, new ClientResponseCallback() {          @Override         public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {             JobInfo value = null.             try {                 value = unmarshalResponse(response, post, JobInfo.class).             } catch (SalesforceException e) {                 ex = e.             }             callback.onResponse(value, headers, ex).         }     }). }
false;public;3;10;;@Override public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {     JobInfo value = null.     try {         value = unmarshalResponse(response, post, JobInfo.class).     } catch (SalesforceException e) {         ex = e.     }     callback.onResponse(value, headers, ex). }
false;public;3;27;;@Override public void abortJob(String jobId, Map<String, List<String>> headers, final JobInfoResponseCallback callback) {     final JobInfo request = new JobInfo().     request.setState(JobStateEnum.ABORTED).     final Request post = getRequest(HttpMethod.POST, jobUrl(jobId), headers).     try {         marshalRequest(objectFactory.createJobInfo(request), post, APPLICATION_XML_UTF8).     } catch (SalesforceException e) {         callback.onResponse(null, Collections.emptyMap(), e).         return.     }     // make the call and parse the result     doHttpRequest(post, new ClientResponseCallback() {          @Override         public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {             JobInfo value = null.             try {                 value = unmarshalResponse(response, post, JobInfo.class).             } catch (SalesforceException e) {                 ex = e.             }             callback.onResponse(value, headers, ex).         }     }). }
false;public;3;10;;@Override public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {     BatchInfo value = null.     try {         value = unmarshalResponse(response, post, BatchInfo.class).     } catch (SalesforceException e) {         ex = e.     }     callback.onResponse(value, headers, ex). }
false;public;5;21;;@Override public void createBatch(InputStream batchStream, String jobId, ContentType contentTypeEnum, Map<String, List<String>> headers, final BatchInfoResponseCallback callback) {     final Request post = getRequest(HttpMethod.POST, batchUrl(jobId, null), headers).     post.content(new InputStreamContentProvider(batchStream)).     post.header(HttpHeader.CONTENT_TYPE, getContentType(contentTypeEnum) + ".charset=" + StringUtil.__UTF8).     // make the call and parse the result     doHttpRequest(post, new ClientResponseCallback() {          @Override         public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {             BatchInfo value = null.             try {                 value = unmarshalResponse(response, post, BatchInfo.class).             } catch (SalesforceException e) {                 ex = e.             }             callback.onResponse(value, headers, ex).         }     }). }
false;public;3;10;;@Override public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {     BatchInfo value = null.     try {         value = unmarshalResponse(response, get, BatchInfo.class).     } catch (SalesforceException e) {         ex = e.     }     callback.onResponse(value, headers, ex). }
false;public;4;18;;@Override public void getBatch(String jobId, String batchId, Map<String, List<String>> headers, final BatchInfoResponseCallback callback) {     final Request get = getRequest(HttpMethod.GET, batchUrl(jobId, batchId), headers).     // make the call and parse the result     doHttpRequest(get, new ClientResponseCallback() {          @Override         public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {             BatchInfo value = null.             try {                 value = unmarshalResponse(response, get, BatchInfo.class).             } catch (SalesforceException e) {                 ex = e.             }             callback.onResponse(value, headers, ex).         }     }). }
false;public;3;10;;@Override public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {     BatchInfoList value = null.     try {         value = unmarshalResponse(response, get, BatchInfoList.class).     } catch (SalesforceException e) {         ex = e.     }     callback.onResponse(value != null ? value.getBatchInfo() : null, headers, ex). }
false;public;3;18;;@Override public void getAllBatches(String jobId, Map<String, List<String>> headers, final BatchInfoListResponseCallback callback) {     final Request get = getRequest(HttpMethod.GET, batchUrl(jobId, null), headers).     // make the call and parse the result     doHttpRequest(get, new ClientResponseCallback() {          @Override         public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {             BatchInfoList value = null.             try {                 value = unmarshalResponse(response, get, BatchInfoList.class).             } catch (SalesforceException e) {                 ex = e.             }             callback.onResponse(value != null ? value.getBatchInfo() : null, headers, ex).         }     }). }
false;public;3;4;;@Override public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {     callback.onResponse(response, headers, ex). }
false;public;4;12;;@Override public void getRequest(String jobId, String batchId, Map<String, List<String>> headers, final StreamResponseCallback callback) {     final Request get = getRequest(HttpMethod.GET, batchRequestUrl(jobId, batchId, null), headers).     // make the call and parse the result     doHttpRequest(get, new ClientResponseCallback() {          @Override         public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {             callback.onResponse(response, headers, ex).         }     }). }
false;public;3;4;;@Override public void onResponse(InputStream response, Map<String, String> headers, SalesforceException ex) {     callback.onResponse(response, headers, ex). }
