# id;timestamp;commentText;codeText;commentWords;codeWords
Sjms2Endpoint -> public void setShared(boolean shared);1489430295;Sets the consumer to shared.;public void setShared(boolean shared) {_        this.shared = shared__    };sets,the,consumer,to,shared;public,void,set,shared,boolean,shared,this,shared,shared
Sjms2Endpoint -> public void setShared(boolean shared);1489431745;Sets the consumer to shared.;public void setShared(boolean shared) {_        this.shared = shared__    };sets,the,consumer,to,shared;public,void,set,shared,boolean,shared,this,shared,shared
Sjms2Endpoint -> public void setShared(boolean shared);1490431086;Sets the consumer to shared.;public void setShared(boolean shared) {_        this.shared = shared__    };sets,the,consumer,to,shared;public,void,set,shared,boolean,shared,this,shared,shared
Sjms2Endpoint -> public void setShared(boolean shared);1540108158;Sets the consumer to shared.;public void setShared(boolean shared) {_        this.shared = shared__    };sets,the,consumer,to,shared;public,void,set,shared,boolean,shared,this,shared,shared
Sjms2Endpoint -> public void setShared(boolean shared);1547480087;Sets the consumer to shared.;public void setShared(boolean shared) {_        this.shared = shared__    };sets,the,consumer,to,shared;public,void,set,shared,boolean,shared,this,shared,shared
Sjms2Endpoint -> @Override     public void setDurableSubscriptionId(String durableSubscriptionId);1540108158;Sets the durable subscription Id required for durable topics.;@Override_    public void setDurableSubscriptionId(String durableSubscriptionId) {_        super.setDurableSubscriptionId(durableSubscriptionId)__        subscriptionId = durableSubscriptionId__        durable = true__    };sets,the,durable,subscription,id,required,for,durable,topics;override,public,void,set,durable,subscription,id,string,durable,subscription,id,super,set,durable,subscription,id,durable,subscription,id,subscription,id,durable,subscription,id,durable,true
Sjms2Endpoint -> @Override     public void setDurableSubscriptionId(String durableSubscriptionId);1547480087;Sets the durable subscription Id required for durable topics.;@Override_    public void setDurableSubscriptionId(String durableSubscriptionId) {_        super.setDurableSubscriptionId(durableSubscriptionId)__        subscriptionId = durableSubscriptionId__        durable = true__    };sets,the,durable,subscription,id,required,for,durable,topics;override,public,void,set,durable,subscription,id,string,durable,subscription,id,super,set,durable,subscription,id,durable,subscription,id,subscription,id,durable,subscription,id,durable,true
Sjms2Endpoint -> @Deprecated     @Override     public void setDurableSubscriptionId(String durableSubscriptionId);1489430295;Sets the durable subscription Id required for durable topics.;@Deprecated_    @Override_    public void setDurableSubscriptionId(String durableSubscriptionId) {_        super.setDurableSubscriptionId(durableSubscriptionId)__        subscriptionId = durableSubscriptionId__        durable = true__    };sets,the,durable,subscription,id,required,for,durable,topics;deprecated,override,public,void,set,durable,subscription,id,string,durable,subscription,id,super,set,durable,subscription,id,durable,subscription,id,subscription,id,durable,subscription,id,durable,true
Sjms2Endpoint -> @Deprecated     @Override     public void setDurableSubscriptionId(String durableSubscriptionId);1489431745;Sets the durable subscription Id required for durable topics.;@Deprecated_    @Override_    public void setDurableSubscriptionId(String durableSubscriptionId) {_        super.setDurableSubscriptionId(durableSubscriptionId)__        subscriptionId = durableSubscriptionId__        durable = true__    };sets,the,durable,subscription,id,required,for,durable,topics;deprecated,override,public,void,set,durable,subscription,id,string,durable,subscription,id,super,set,durable,subscription,id,durable,subscription,id,subscription,id,durable,subscription,id,durable,true
Sjms2Endpoint -> @Deprecated     @Override     public void setDurableSubscriptionId(String durableSubscriptionId);1490431086;Sets the durable subscription Id required for durable topics.;@Deprecated_    @Override_    public void setDurableSubscriptionId(String durableSubscriptionId) {_        super.setDurableSubscriptionId(durableSubscriptionId)__        subscriptionId = durableSubscriptionId__        durable = true__    };sets,the,durable,subscription,id,required,for,durable,topics;deprecated,override,public,void,set,durable,subscription,id,string,durable,subscription,id,super,set,durable,subscription,id,durable,subscription,id,subscription,id,durable,subscription,id,durable,true
Sjms2Endpoint -> public void setSubscriptionId(String subscriptionId);1489430295;Sets the subscription Id, required for durable or shared topics.;public void setSubscriptionId(String subscriptionId) {_        this.subscriptionId = subscriptionId__    };sets,the,subscription,id,required,for,durable,or,shared,topics;public,void,set,subscription,id,string,subscription,id,this,subscription,id,subscription,id
Sjms2Endpoint -> public void setSubscriptionId(String subscriptionId);1489431745;Sets the subscription Id, required for durable or shared topics.;public void setSubscriptionId(String subscriptionId) {_        this.subscriptionId = subscriptionId__    };sets,the,subscription,id,required,for,durable,or,shared,topics;public,void,set,subscription,id,string,subscription,id,this,subscription,id,subscription,id
Sjms2Endpoint -> public void setSubscriptionId(String subscriptionId);1490431086;Sets the subscription Id, required for durable or shared topics.;public void setSubscriptionId(String subscriptionId) {_        this.subscriptionId = subscriptionId__    };sets,the,subscription,id,required,for,durable,or,shared,topics;public,void,set,subscription,id,string,subscription,id,this,subscription,id,subscription,id
