commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public boolean isEnabled() {     return enabled. }
false;public;1;3;;public void setEnabled(boolean enabled) {     this.enabled = enabled. }
false;public;0;3;;public String getInitialDelay() {     return initialDelay. }
false;public;1;3;;public void setInitialDelay(String initialDelay) {     this.initialDelay = initialDelay. }
false;public;0;3;;public String getNamespace() {     return namespace. }
false;public;1;3;;public void setNamespace(String namespace) {     this.namespace = namespace. }
false;public;0;3;;public Map<String, RouteConfiguration> getRoutes() {     return routes. }
false;public;1;3;;public void setRoutes(Map<String, RouteConfiguration> routes) {     this.routes = routes. }
false;public;0;3;;public CamelClusterService getClusterService() {     return clusterService. }
false;public;1;3;;public void setClusterService(CamelClusterService clusterService) {     this.clusterService = clusterService. }
false;public;0;3;;public boolean isClustered() {     return clustered. }
false;public;1;3;;public void setClustered(boolean clustered) {     this.clustered = clustered. }
false;public;0;3;;public String getInitialDelay() {     return initialDelay. }
false;public;1;3;;public void setInitialDelay(String initialDelay) {     this.initialDelay = initialDelay. }
false;public;0;3;;public String getNamespace() {     return namespace. }
false;public;1;3;;public void setNamespace(String namespace) {     this.namespace = namespace. }
