commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public boolean isEnabled() {     return enabled. }
false;public;1;3;;public void setEnabled(boolean enabled) {     this.enabled = enabled. }
false;public;0;3;;public ThresholdsConfiguration getThresholds() {     return thresholds. }
false;public;0;3;;public Map<String, RouteThresholdsConfiguration> getThreshold() {     return threshold. }
false;public;1;3;;public void setThreshold(Map<String, RouteThresholdsConfiguration> threshold) {     this.threshold = threshold. }
false;public;1;30;;public ThresholdsConfiguration getThreshold(String id) {     ThresholdsConfiguration cfg.     if (this.threshold == null) {         cfg = this.thresholds.copy().     } else {         RouteThresholdsConfiguration routeCfg = this.threshold.get(id).         if (routeCfg == null) {             cfg = this.thresholds.copy().         } else {             cfg = routeCfg.             if (routeCfg.isInherit()) {                 routeCfg.exchangesFailed = ObjectHelper.supplyIfEmpty(cfg.exchangesFailed, thresholds::getExchangesFailed).                 routeCfg.exchangesInflight = ObjectHelper.supplyIfEmpty(cfg.exchangesInflight, thresholds::getExchangesInflight).                 routeCfg.redeliveries = ObjectHelper.supplyIfEmpty(cfg.redeliveries, thresholds::getRedeliveries).                 routeCfg.externalRedeliveries = ObjectHelper.supplyIfEmpty(cfg.externalRedeliveries, thresholds::getExternalRedeliveries).                 routeCfg.externalRedeliveries = ObjectHelper.supplyIfEmpty(cfg.externalRedeliveries, thresholds::getExternalRedeliveries).                 routeCfg.lastProcessingTime = ObjectHelper.supplyIfEmpty(cfg.lastProcessingTime, thresholds::getLastProcessingTime).                 routeCfg.minProcessingTime = ObjectHelper.supplyIfEmpty(cfg.minProcessingTime, thresholds::getMinProcessingTime).                 routeCfg.meanProcessingTime = ObjectHelper.supplyIfEmpty(cfg.meanProcessingTime, thresholds::getMeanProcessingTime).                 routeCfg.maxProcessingTime = ObjectHelper.supplyIfEmpty(cfg.maxProcessingTime, thresholds::getMaxProcessingTime).             }         }     }     return cfg. }
false;public;0;3;;public Long getExchangesFailed() {     return exchangesFailed. }
false;public;1;3;;public void setExchangesFailed(Long exchangesFailed) {     this.exchangesFailed = exchangesFailed. }
false;public;0;3;;public Long getExchangesInflight() {     return exchangesInflight. }
false;public;1;3;;public void setExchangesInflight(Long exchangesInflight) {     this.exchangesInflight = exchangesInflight. }
false;public;0;3;;public Long getRedeliveries() {     return redeliveries. }
false;public;1;3;;public void setRedeliveries(Long redeliveries) {     this.redeliveries = redeliveries. }
false;public;0;3;;public Long getExternalRedeliveries() {     return externalRedeliveries. }
false;public;1;3;;public void setExternalRedeliveries(Long externalRedeliveries) {     this.externalRedeliveries = externalRedeliveries. }
false;public;0;3;;public ThresholdsWithFailuresConfiguration getLastProcessingTime() {     return lastProcessingTime. }
false;public;1;3;;public void setLastProcessingTime(ThresholdsWithFailuresConfiguration lastProcessingTime) {     this.lastProcessingTime = lastProcessingTime. }
false;public;0;3;;public ThresholdsWithFailuresConfiguration getMinProcessingTime() {     return minProcessingTime. }
false;public;1;3;;public void setMinProcessingTime(ThresholdsWithFailuresConfiguration minProcessingTime) {     this.minProcessingTime = minProcessingTime. }
false;public;0;3;;public ThresholdsWithFailuresConfiguration getMeanProcessingTime() {     return meanProcessingTime. }
false;public;1;3;;public void setMeanProcessingTime(ThresholdsWithFailuresConfiguration meanProcessingTime) {     this.meanProcessingTime = meanProcessingTime. }
false;public;0;3;;public ThresholdsWithFailuresConfiguration getMaxProcessingTime() {     return maxProcessingTime. }
false;public;1;3;;public void setMaxProcessingTime(ThresholdsWithFailuresConfiguration maxProcessingTime) {     this.maxProcessingTime = maxProcessingTime. }
false;public;0;7;;public ThresholdsConfiguration copy() {     try {         return (ThresholdsConfiguration) super.clone().     } catch (CloneNotSupportedException e) {         throw new RuntimeException(e).     } }
false;public;0;3;;public boolean isInherit() {     return inherit. }
false;public;1;3;;public void setInherit(boolean inherit) {     this.inherit = inherit. }
false;public;0;3;;public String getThreshold() {     return threshold. }
false;public;1;3;;public void setThreshold(String threshold) {     this.threshold = threshold. }
false;public;0;3;;public Integer getFailures() {     return failures. }
false;public;1;3;;public void setFailures(Integer failures) {     this.failures = failures. }
