commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public Exchange getExchange() {     return exchange. }
false;public;0;3;;public CamelContext getContext() {     return exchange.getContext(). }
false;public;0;3;;public Throwable getException() {     return exchange.getException(). }
false;public;0;3;;public String getExchangeId() {     return exchange.getExchangeId(). }
false;public;0;3;;public Object getBody() {     return exchange.getIn().getBody(). }
false;public;0;3;;public Message getRequest() {     return exchange.getIn(). }
false;public;0;3;;public Message getResponse() {     return exchange.getOut(). }
false;public;0;3;;public Map<String, Object> getProperties() {     return exchange.getProperties(). }
false;public;1;3;;public Object getProperty(String name) {     return exchange.getProperty(name). }
false;public;2;3;;public <T> T getProperty(String name, Class<T> type) {     return exchange.getProperty(name, type). }
