commented;modifiers;parameterAmount;loc;comment;code
false;public;0;4;;@Override public DefaultSqlEndpoint getEndpoint() {     return (DefaultSqlEndpoint) super.getEndpoint(). }
false;protected;0;7;;@Override protected void doStart() throws Exception {     super.doStart().     String placeholder = getEndpoint().isUsePlaceholder() ? getEndpoint().getPlaceholder() : null.     resolvedQuery = SqlHelper.resolveQuery(getEndpoint().getCamelContext(), query, placeholder). }
false;public;1;57;;@Override public Integer doInPreparedStatement(PreparedStatement ps) throws SQLException, DataAccessException {     Queue<DataHolder> answer = new LinkedList<>().     int expected = parametersCount > 0 ? parametersCount : ps.getParameterMetaData().getParameterCount().     // only populate if really needed     if (alwaysPopulateStatement || expected > 0) {         Iterator<?> i = sqlPrepareStatementStrategy.createPopulateIterator(resolvedQuery, preparedQuery, expected, dummy, null).         sqlPrepareStatementStrategy.populateStatement(ps, i, expected).     }     log.debug("Executing query: {}", preparedQuery).     ResultSet rs = ps.executeQuery().     SqlOutputType outputType = getEndpoint().getOutputType().     boolean closeEager = true.     try {         log.trace("Got result list from query: {}, outputType={}", rs, outputType).         if (outputType == SqlOutputType.StreamList) {             ResultSetIterator data = getEndpoint().queryForStreamList(ps.getConnection(), ps, rs).             // only process if we have data             if (data.hasNext()) {                 addListToQueue(data, answer).                 closeEager = false.             }         } else if (outputType == SqlOutputType.SelectList) {             List<?> data = getEndpoint().queryForList(rs, true).             addListToQueue(data, answer).         } else if (outputType == SqlOutputType.SelectOne) {             Object data = getEndpoint().queryForObject(rs).             if (data != null) {                 addListToQueue(data, answer).             }         } else {             throw new IllegalArgumentException("Invalid outputType=" + outputType).         }     } finally {         if (closeEager) {             closeResultSet(rs).         }     }     // process all the exchanges in this batch     try {         if (answer.isEmpty()) {             // no data             return 0.         } else {             int rows = processBatch(CastUtils.cast(answer)).             return rows.         }     } catch (Exception e) {         throw RuntimeCamelException.wrapRuntimeCamelException(e).     } finally {         closeResultSet(rs).     } }
false;protected;0;79;;@Override protected int poll() throws Exception {     // must reset for each poll     shutdownRunningTask = null.     pendingExchanges = 0.     final Exchange dummy = getEndpoint().createExchange().     final String preparedQuery = sqlPrepareStatementStrategy.prepareQuery(resolvedQuery, getEndpoint().isAllowNamedParameters(), dummy).     log.trace("poll: {}", preparedQuery).     final PreparedStatementCallback<Integer> callback = new PreparedStatementCallback<Integer>() {          @Override         public Integer doInPreparedStatement(PreparedStatement ps) throws SQLException, DataAccessException {             Queue<DataHolder> answer = new LinkedList<>().             int expected = parametersCount > 0 ? parametersCount : ps.getParameterMetaData().getParameterCount().             // only populate if really needed             if (alwaysPopulateStatement || expected > 0) {                 Iterator<?> i = sqlPrepareStatementStrategy.createPopulateIterator(resolvedQuery, preparedQuery, expected, dummy, null).                 sqlPrepareStatementStrategy.populateStatement(ps, i, expected).             }             log.debug("Executing query: {}", preparedQuery).             ResultSet rs = ps.executeQuery().             SqlOutputType outputType = getEndpoint().getOutputType().             boolean closeEager = true.             try {                 log.trace("Got result list from query: {}, outputType={}", rs, outputType).                 if (outputType == SqlOutputType.StreamList) {                     ResultSetIterator data = getEndpoint().queryForStreamList(ps.getConnection(), ps, rs).                     // only process if we have data                     if (data.hasNext()) {                         addListToQueue(data, answer).                         closeEager = false.                     }                 } else if (outputType == SqlOutputType.SelectList) {                     List<?> data = getEndpoint().queryForList(rs, true).                     addListToQueue(data, answer).                 } else if (outputType == SqlOutputType.SelectOne) {                     Object data = getEndpoint().queryForObject(rs).                     if (data != null) {                         addListToQueue(data, answer).                     }                 } else {                     throw new IllegalArgumentException("Invalid outputType=" + outputType).                 }             } finally {                 if (closeEager) {                     closeResultSet(rs).                 }             }             // process all the exchanges in this batch             try {                 if (answer.isEmpty()) {                     // no data                     return 0.                 } else {                     int rows = processBatch(CastUtils.cast(answer)).                     return rows.                 }             } catch (Exception e) {                 throw RuntimeCamelException.wrapRuntimeCamelException(e).             } finally {                 closeResultSet(rs).             }         }     }.     Integer messagePolled.     if (namedJdbcTemplate != null) {         messagePolled = namedJdbcTemplate.execute(preparedQuery, parameterSource, callback).     } else {         messagePolled = jdbcTemplate.execute(preparedQuery, callback).     }     return messagePolled. }
false;private;2;16;;private void addListToQueue(Object data, Queue<DataHolder> answer) {     if (data instanceof List) {         // create a list of exchange objects with the data         List<?> list = (List) data.         if (useIterator) {             for (Object item : list) {                 addItemToQueue(item, answer).             }         } else if (!list.isEmpty() || routeEmptyResultSet) {             addItemToQueue(list, answer).         }     } else {         // create single object as data         addItemToQueue(data, answer).     } }
false;private;2;7;;private void addItemToQueue(Object item, Queue<DataHolder> answer) {     Exchange exchange = createExchange(item).     DataHolder holder = new DataHolder().     holder.exchange = exchange.     holder.data = item.     answer.add(holder). }
false;protected;1;10;;protected Exchange createExchange(Object data) {     final Exchange exchange = getEndpoint().createExchange(ExchangePattern.InOnly).     Message msg = exchange.getIn().     if (getEndpoint().getOutputHeader() != null) {         msg.setHeader(getEndpoint().getOutputHeader(), data).     } else {         msg.setBody(data).     }     return exchange. }
false;public;1;86;;@Override public int processBatch(Queue<Object> exchanges) throws Exception {     int total = exchanges.size().     if (maxMessagesPerPoll > 0 && total == maxMessagesPerPoll) {         log.debug("Maximum messages to poll is {} and there were exactly {} messages in this poll.", maxMessagesPerPoll, total).     }     for (int index = 0. index < total && isBatchAllowed(). index++) {         // only loop if we are started (allowed to run)         DataHolder holder = ObjectHelper.cast(DataHolder.class, exchanges.poll()).         Exchange exchange = holder.exchange.         Object data = holder.data.         // add current index and total as properties         exchange.setProperty(Exchange.BATCH_INDEX, index).         exchange.setProperty(Exchange.BATCH_SIZE, total).         exchange.setProperty(Exchange.BATCH_COMPLETE, index == total - 1).         // update pending number of exchanges         pendingExchanges = total - index - 1.         // process the current exchange         try {             getProcessor().process(exchange).         } catch (Exception e) {             exchange.setException(e).         }         if (getEndpoint().isTransacted() && exchange.isFailed()) {             // break out as we are transacted and should rollback             Exception cause = exchange.getException().             if (cause != null) {                 throw cause.             } else {                 throw new RollbackExchangeException("Rollback transaction due error processing exchange", exchange).             }         }         // pick the on consume to use         String sql = exchange.isFailed() ? onConsumeFailed : onConsume.         try {             // we can only run on consume if there was data             if (data != null && sql != null) {                 int updateCount.                 if (namedJdbcTemplate != null && sqlProcessingStrategy instanceof SqlNamedProcessingStrategy) {                     SqlNamedProcessingStrategy namedProcessingStrategy = (SqlNamedProcessingStrategy) sqlProcessingStrategy.                     updateCount = namedProcessingStrategy.commit(getEndpoint(), exchange, data, namedJdbcTemplate, parameterSource, sql).                 } else {                     updateCount = sqlProcessingStrategy.commit(getEndpoint(), exchange, data, jdbcTemplate, sql).                 }                 if (expectedUpdateCount > -1 && updateCount != expectedUpdateCount) {                     String msg = "Expected update count " + expectedUpdateCount + " but was " + updateCount + " executing query: " + sql.                     throw new SQLException(msg).                 }             }         } catch (Exception e) {             if (breakBatchOnConsumeFail) {                 throw e.             } else {                 handleException("Error executing onConsume/onConsumeFailed query " + sql, e).             }         }     }     try {         if (onConsumeBatchComplete != null) {             int updateCount.             if (namedJdbcTemplate != null && sqlProcessingStrategy instanceof SqlNamedProcessingStrategy) {                 SqlNamedProcessingStrategy namedProcessingStrategy = (SqlNamedProcessingStrategy) sqlProcessingStrategy.                 updateCount = namedProcessingStrategy.commitBatchComplete(getEndpoint(), namedJdbcTemplate, parameterSource, onConsumeBatchComplete).             } else {                 updateCount = sqlProcessingStrategy.commitBatchComplete(getEndpoint(), jdbcTemplate, onConsumeBatchComplete).             }             log.debug("onConsumeBatchComplete update count {}", updateCount).         }     } catch (Exception e) {         if (breakBatchOnConsumeFail) {             throw e.         } else {             handleException("Error executing onConsumeBatchComplete query " + onConsumeBatchComplete, e).         }     }     return total. }
false;public;0;3;;public String getOnConsume() {     return onConsume. }
true;public;1;3;/**  * Sets a SQL to execute when the row has been successfully processed.  */ ;/**  * Sets a SQL to execute when the row has been successfully processed.  */ public void setOnConsume(String onConsume) {     this.onConsume = onConsume. }
