# id;timestamp;commentText;codeText;commentWords;codeWords
TokenMgrError -> public TokenMgrError(String message, int reason);1452335256;Constructor with message and reason.;public TokenMgrError(String message, int reason) {_    super(message)__    errorCode = reason__  };constructor,with,message,and,reason;public,token,mgr,error,string,message,int,reason,super,message,error,code,reason
TokenMgrError -> public TokenMgrError(String message, int reason);1452789249;Constructor with message and reason.;public TokenMgrError(String message, int reason) {_        super(message)__        errorCode = reason__    };constructor,with,message,and,reason;public,token,mgr,error,string,message,int,reason,super,message,error,code,reason
TokenMgrError -> public TokenMgrError(String message, int reason);1518162420;Constructor with message and reason.;public TokenMgrError(String message, int reason) {_    super(message)__    errorCode = reason__  };constructor,with,message,and,reason;public,token,mgr,error,string,message,int,reason,super,message,error,code,reason
TokenMgrError -> protected static String LexicalError(boolean EOFSeen, int lexState, int errorLine, int errorColumn, String errorAfter, char curChar);1452335256;Returns a detailed message for the Error when it is thrown by the_token manager to indicate a lexical error._Parameters :_EOFSeen     : indicates if EOF caused the lexical error_curLexState : lexical state in which this error occurred_errorLine   : line number when the error occurred_errorColumn : column number when the error occurred_errorAfter  : prefix that was seen before this error occurred_curchar     : the offending character_Note: You can customize the lexical error message by modifying this method.;protected static String LexicalError(boolean EOFSeen, int lexState, int errorLine, int errorColumn, String errorAfter, char curChar) {_    return("Lexical error at line " +_          errorLine + ", column " +_          errorColumn + ".  Encountered: " +_          (EOFSeen ? "<EOF> " : ("\"" + addEscapes(String.valueOf(curChar)) + "\"") + " (" + (int)curChar + "), ") +_          "after : \"" + addEscapes(errorAfter) + "\"")__  };returns,a,detailed,message,for,the,error,when,it,is,thrown,by,the,token,manager,to,indicate,a,lexical,error,parameters,eofseen,indicates,if,eof,caused,the,lexical,error,cur,lex,state,lexical,state,in,which,this,error,occurred,error,line,line,number,when,the,error,occurred,error,column,column,number,when,the,error,occurred,error,after,prefix,that,was,seen,before,this,error,occurred,curchar,the,offending,character,note,you,can,customize,the,lexical,error,message,by,modifying,this,method;protected,static,string,lexical,error,boolean,eofseen,int,lex,state,int,error,line,int,error,column,string,error,after,char,cur,char,return,lexical,error,at,line,error,line,column,error,column,encountered,eofseen,eof,add,escapes,string,value,of,cur,char,int,cur,char,after,add,escapes,error,after
TokenMgrError -> protected static String LexicalError(boolean EOFSeen, int lexState, int errorLine, int errorColumn, String errorAfter, char curChar);1452789249;Returns a detailed message for the Error when it is thrown by the_token manager to indicate a lexical error._Parameters :_EOFSeen     : indicates if EOF caused the lexical error_curLexState : lexical state in which this error occurred_errorLine   : line number when the error occurred_errorColumn : column number when the error occurred_errorAfter  : prefix that was seen before this error occurred_curchar     : the offending character_Note: You can customize the lexical error message by modifying this method.;protected static String LexicalError(boolean EOFSeen, int lexState, int errorLine, int errorColumn, String errorAfter, char curChar) {_        return ("Lexical error at line " +_                errorLine + ", column " +_                errorColumn + ".  Encountered: " +_                (EOFSeen ? "<EOF> " : ("\"" + addEscapes(String.valueOf(curChar)) + "\"") + " (" + (int) curChar + "), ") +_                "after : \"" + addEscapes(errorAfter) + "\"")__    };returns,a,detailed,message,for,the,error,when,it,is,thrown,by,the,token,manager,to,indicate,a,lexical,error,parameters,eofseen,indicates,if,eof,caused,the,lexical,error,cur,lex,state,lexical,state,in,which,this,error,occurred,error,line,line,number,when,the,error,occurred,error,column,column,number,when,the,error,occurred,error,after,prefix,that,was,seen,before,this,error,occurred,curchar,the,offending,character,note,you,can,customize,the,lexical,error,message,by,modifying,this,method;protected,static,string,lexical,error,boolean,eofseen,int,lex,state,int,error,line,int,error,column,string,error,after,char,cur,char,return,lexical,error,at,line,error,line,column,error,column,encountered,eofseen,eof,add,escapes,string,value,of,cur,char,int,cur,char,after,add,escapes,error,after
TokenMgrError -> protected static String LexicalError(boolean EOFSeen, int lexState, int errorLine, int errorColumn, String errorAfter, char curChar);1518162420;Returns a detailed message for the Error when it is thrown by the_token manager to indicate a lexical error._Parameters :_EOFSeen     : indicates if EOF caused the lexical error_curLexState : lexical state in which this error occurred_errorLine   : line number when the error occurred_errorColumn : column number when the error occurred_errorAfter  : prefix that was seen before this error occurred_curchar     : the offending character_Note: You can customize the lexical error message by modifying this method.;protected static String LexicalError(boolean EOFSeen, int lexState, int errorLine, int errorColumn, String errorAfter, char curChar) {_    return("Lexical error at line " +_          errorLine + ", column " +_          errorColumn + ".  Encountered: " +_          (EOFSeen ? "<EOF> " : ("\"" + addEscapes(String.valueOf(curChar)) + "\"") + " (" + (int)curChar + "), ") +_          "after : \"" + addEscapes(errorAfter) + "\"")__  };returns,a,detailed,message,for,the,error,when,it,is,thrown,by,the,token,manager,to,indicate,a,lexical,error,parameters,eofseen,indicates,if,eof,caused,the,lexical,error,cur,lex,state,lexical,state,in,which,this,error,occurred,error,line,line,number,when,the,error,occurred,error,column,column,number,when,the,error,occurred,error,after,prefix,that,was,seen,before,this,error,occurred,curchar,the,offending,character,note,you,can,customize,the,lexical,error,message,by,modifying,this,method;protected,static,string,lexical,error,boolean,eofseen,int,lex,state,int,error,line,int,error,column,string,error,after,char,cur,char,return,lexical,error,at,line,error,line,column,error,column,encountered,eofseen,eof,add,escapes,string,value,of,cur,char,int,cur,char,after,add,escapes,error,after
TokenMgrError -> public TokenMgrError(boolean EOFSeen, int lexState, int errorLine, int errorColumn, String errorAfter, char curChar, int reason);1452335256;Full Constructor.;public TokenMgrError(boolean EOFSeen, int lexState, int errorLine, int errorColumn, String errorAfter, char curChar, int reason) {_    this(LexicalError(EOFSeen, lexState, errorLine, errorColumn, errorAfter, curChar), reason)__  };full,constructor;public,token,mgr,error,boolean,eofseen,int,lex,state,int,error,line,int,error,column,string,error,after,char,cur,char,int,reason,this,lexical,error,eofseen,lex,state,error,line,error,column,error,after,cur,char,reason
TokenMgrError -> public TokenMgrError(boolean EOFSeen, int lexState, int errorLine, int errorColumn, String errorAfter, char curChar, int reason);1452789249;Full Constructor.;public TokenMgrError(boolean EOFSeen, int lexState, int errorLine, int errorColumn, String errorAfter, char curChar, int reason) {_        this(LexicalError(EOFSeen, lexState, errorLine, errorColumn, errorAfter, curChar), reason)__    };full,constructor;public,token,mgr,error,boolean,eofseen,int,lex,state,int,error,line,int,error,column,string,error,after,char,cur,char,int,reason,this,lexical,error,eofseen,lex,state,error,line,error,column,error,after,cur,char,reason
TokenMgrError -> public TokenMgrError(boolean EOFSeen, int lexState, int errorLine, int errorColumn, String errorAfter, char curChar, int reason);1518162420;Full Constructor.;public TokenMgrError(boolean EOFSeen, int lexState, int errorLine, int errorColumn, String errorAfter, char curChar, int reason) {_    this(LexicalError(EOFSeen, lexState, errorLine, errorColumn, errorAfter, curChar), reason)__  };full,constructor;public,token,mgr,error,boolean,eofseen,int,lex,state,int,error,line,int,error,column,string,error,after,char,cur,char,int,reason,this,lexical,error,eofseen,lex,state,error,line,error,column,error,after,cur,char,reason
TokenMgrError -> public TokenMgrError();1452335256;No arg constructor.;public TokenMgrError() {_  };no,arg,constructor;public,token,mgr,error
TokenMgrError -> public TokenMgrError();1452789249;No arg constructor.;public TokenMgrError() {_    };no,arg,constructor;public,token,mgr,error
