commented;modifiers;parameterAmount;loc;comment;code
false;public;1;3;;public void setLatitude(double latitude) {     this.latitude = latitude. }
false;public;1;3;;public void setLongitude(double longitude) {     this.longitude = longitude. }
false;public;0;3;;public double getLongitude() {     return longitude. }
false;public;0;3;;public double getLatitude() {     return latitude. }
false;public;0;3;;public String getTitle() {     return title. }
false;public;1;3;;public void setTitle(String title) {     this.title = title. }
false;public;0;3;;public String getAddress() {     return address. }
false;public;1;3;;public void setAddress(String address) {     this.address = address. }
false;public;0;3;;public String getFoursquareId() {     return foursquareId. }
false;public;1;3;;public void setFoursquareId(String foursquareId) {     this.foursquareId = foursquareId. }
false;public;0;3;;public String getFoursquareType() {     return foursquareType. }
false;public;1;3;;public void setFoursquareType(String foursquareType) {     this.foursquareType = foursquareType. }
false;public;0;3;;public ReplyKeyboardMarkup getReplyKeyboardMarkup() {     return replyKeyboardMarkup. }
false;public;1;3;;public void setReplyKeyboardMarkup(ReplyKeyboardMarkup replyKeyboardMarkup) {     this.replyKeyboardMarkup = replyKeyboardMarkup. }
false;public;0;15;;@Override public String toString() {     final StringBuilder sb = new StringBuilder("SendLocationMessage{").     sb.append("latitude=").append(latitude).append('\'').     sb.append(", longitude=").append(longitude).append('\'').     sb.append(", title=").append(title).append('\'').     sb.append(", address=").append(address).append('\'').     sb.append(", foursquareId=").append(foursquareId).append('\'').     sb.append(", foursquareType=").append(foursquareType).append('\'').     sb.append(", disableNotification=").append(disableNotification).append('\'').     sb.append(", replyToMessageId=").append(replyToMessageId).append('\'').     sb.append(", replyKeyboardMarkup=").append(replyKeyboardMarkup).     sb.append('}').     return sb.toString(). }
