# id;timestamp;commentText;codeText;commentWords;codeWords
ZendeskComponent -> @Override     public ZendeskConfiguration getConfiguration();1489913868;To use the shared configuration;@Override_    public ZendeskConfiguration getConfiguration() {_        return super.getConfiguration()__    };to,use,the,shared,configuration;override,public,zendesk,configuration,get,configuration,return,super,get,configuration
ZendeskComponent -> @Override     public ZendeskConfiguration getConfiguration();1489913868;To use the shared configuration;@Override_    public ZendeskConfiguration getConfiguration() {_        return super.getConfiguration()__    };to,use,the,shared,configuration;override,public,zendesk,configuration,get,configuration,return,super,get,configuration
ZendeskComponent -> @Override     public ZendeskConfiguration getConfiguration();1492026181;To use the shared configuration;@Override_    public ZendeskConfiguration getConfiguration() {_        return super.getConfiguration()__    };to,use,the,shared,configuration;override,public,zendesk,configuration,get,configuration,return,super,get,configuration
ZendeskComponent -> @Override     public ZendeskConfiguration getConfiguration();1540108163;To use the shared configuration;@Override_    public ZendeskConfiguration getConfiguration() {_        return super.getConfiguration()__    };to,use,the,shared,configuration;override,public,zendesk,configuration,get,configuration,return,super,get,configuration
ZendeskComponent -> @Override     public ZendeskConfiguration getConfiguration();1547241305;To use the shared configuration;@Override_    public ZendeskConfiguration getConfiguration() {_        return super.getConfiguration()__    };to,use,the,shared,configuration;override,public,zendesk,configuration,get,configuration,return,super,get,configuration
ZendeskComponent -> @Override     public ZendeskConfiguration getConfiguration();1548681084;To use the shared configuration;@Override_    public ZendeskConfiguration getConfiguration() {_        return super.getConfiguration()__    };to,use,the,shared,configuration;override,public,zendesk,configuration,get,configuration,return,super,get,configuration
ZendeskComponent -> @Override     public void setConfiguration(ZendeskConfiguration configuration);1489913868;To use the shared configuration;@Override_    public void setConfiguration(ZendeskConfiguration configuration) {_        super.setConfiguration(configuration)__    };to,use,the,shared,configuration;override,public,void,set,configuration,zendesk,configuration,configuration,super,set,configuration,configuration
ZendeskComponent -> @Override     public void setConfiguration(ZendeskConfiguration configuration);1489913868;To use the shared configuration;@Override_    public void setConfiguration(ZendeskConfiguration configuration) {_        super.setConfiguration(configuration)__    };to,use,the,shared,configuration;override,public,void,set,configuration,zendesk,configuration,configuration,super,set,configuration,configuration
ZendeskComponent -> @Override     public void setConfiguration(ZendeskConfiguration configuration);1492026181;To use the shared configuration;@Override_    public void setConfiguration(ZendeskConfiguration configuration) {_        super.setConfiguration(configuration)__    };to,use,the,shared,configuration;override,public,void,set,configuration,zendesk,configuration,configuration,super,set,configuration,configuration
ZendeskComponent -> @Override     public void setConfiguration(ZendeskConfiguration configuration);1540108163;To use the shared configuration;@Override_    public void setConfiguration(ZendeskConfiguration configuration) {_        super.setConfiguration(configuration)__    };to,use,the,shared,configuration;override,public,void,set,configuration,zendesk,configuration,configuration,super,set,configuration,configuration
ZendeskComponent -> @Override     public void setConfiguration(ZendeskConfiguration configuration);1547241305;To use the shared configuration;@Override_    public void setConfiguration(ZendeskConfiguration configuration) {_        super.setConfiguration(configuration)__    };to,use,the,shared,configuration;override,public,void,set,configuration,zendesk,configuration,configuration,super,set,configuration,configuration
ZendeskComponent -> @Override     public void setConfiguration(ZendeskConfiguration configuration);1548681084;To use the shared configuration;@Override_    public void setConfiguration(ZendeskConfiguration configuration) {_        super.setConfiguration(configuration)__    };to,use,the,shared,configuration;override,public,void,set,configuration,zendesk,configuration,configuration,super,set,configuration,configuration
ZendeskComponent -> public Zendesk getZendesk();1489913868;To use a shared {@link Zendesk} instance.__@return the shared Zendesk instance;public Zendesk getZendesk() {_        return zendesk__    };to,use,a,shared,link,zendesk,instance,return,the,shared,zendesk,instance;public,zendesk,get,zendesk,return,zendesk
ZendeskComponent -> public Zendesk getZendesk();1489913868;To use a shared {@link Zendesk} instance.__@return the shared Zendesk instance;public Zendesk getZendesk() {_        return zendesk__    };to,use,a,shared,link,zendesk,instance,return,the,shared,zendesk,instance;public,zendesk,get,zendesk,return,zendesk
ZendeskComponent -> public Zendesk getZendesk();1492026181;To use a shared {@link Zendesk} instance.__@return the shared Zendesk instance;public Zendesk getZendesk() {_        return zendesk__    };to,use,a,shared,link,zendesk,instance,return,the,shared,zendesk,instance;public,zendesk,get,zendesk,return,zendesk
ZendeskComponent -> public Zendesk getZendesk();1540108163;To use a shared {@link Zendesk} instance.__@return the shared Zendesk instance;public Zendesk getZendesk() {_        return zendesk__    };to,use,a,shared,link,zendesk,instance,return,the,shared,zendesk,instance;public,zendesk,get,zendesk,return,zendesk
ZendeskComponent -> public Zendesk getZendesk();1547241305;To use a shared {@link Zendesk} instance.__@return the shared Zendesk instance;public Zendesk getZendesk() {_        return zendesk__    };to,use,a,shared,link,zendesk,instance,return,the,shared,zendesk,instance;public,zendesk,get,zendesk,return,zendesk
ZendeskComponent -> public Zendesk getZendesk();1548681084;To use a shared {@link Zendesk} instance.__@return the shared Zendesk instance;public Zendesk getZendesk() {_        return zendesk__    };to,use,a,shared,link,zendesk,instance,return,the,shared,zendesk,instance;public,zendesk,get,zendesk,return,zendesk
