commented;modifiers;parameterAmount;loc;comment;code
true;;1;1;/**  * Creates an {@link CamelEvent} for Camel is starting.  *  * @param context camel context  * @return the created event  */ ;/**  * Creates an {@link CamelEvent} for Camel is starting.  *  * @param context camel context  * @return the created event  */ CamelEvent createCamelContextStartingEvent(CamelContext context).
true;;1;1;/**  * Creates an {@link CamelEvent} for Camel has been started successfully.  *  * @param context camel context  * @return the created event  */ ;/**  * Creates an {@link CamelEvent} for Camel has been started successfully.  *  * @param context camel context  * @return the created event  */ CamelEvent createCamelContextStartedEvent(CamelContext context).
true;;2;1;/**  * Creates an {@link CamelEvent} for Camel failing to start  *  * @param context camel context  * @param cause   the cause exception  * @return the created event  */ ;/**  * Creates an {@link CamelEvent} for Camel failing to start  *  * @param context camel context  * @param cause   the cause exception  * @return the created event  */ CamelEvent createCamelContextStartupFailureEvent(CamelContext context, Throwable cause).
true;;2;1;/**  * Creates an {@link CamelEvent} for Camel failing to stop cleanly  *  * @param context camel context  * @param cause   the cause exception  * @return the created event  */ ;/**  * Creates an {@link CamelEvent} for Camel failing to stop cleanly  *  * @param context camel context  * @param cause   the cause exception  * @return the created event  */ CamelEvent createCamelContextStopFailureEvent(CamelContext context, Throwable cause).
true;;1;1;/**  * Creates an {@link CamelEvent} for Camel is stopping.  *  * @param context camel context  * @return the created event  */ ;/**  * Creates an {@link CamelEvent} for Camel is stopping.  *  * @param context camel context  * @return the created event  */ CamelEvent createCamelContextStoppingEvent(CamelContext context).
true;;1;1;/**  * Creates an {@link CamelEvent} for Camel has been stopped successfully.  *  * @param context camel context  * @return the created event  */ ;/**  * Creates an {@link CamelEvent} for Camel has been stopped successfully.  *  * @param context camel context  * @return the created event  */ CamelEvent createCamelContextStoppedEvent(CamelContext context).
true;;3;1;/**  * Creates an {@link CamelEvent} for a Service failed to start cleanly  *  * @param context camel context  * @param service the service  * @param cause   the cause exception  * @return the created event  */ ;/**  * Creates an {@link CamelEvent} for a Service failed to start cleanly  *  * @param context camel context  * @param service the service  * @param cause   the cause exception  * @return the created event  */ CamelEvent createServiceStartupFailureEvent(CamelContext context, Object service, Throwable cause).
true;;3;1;/**  * Creates an {@link CamelEvent} for a Service failed to stop cleanly  *  * @param context camel context  * @param service the service  * @param cause   the cause exception  * @return the created event  */ ;/**  * Creates an {@link CamelEvent} for a Service failed to stop cleanly  *  * @param context camel context  * @param service the service  * @param cause   the cause exception  * @return the created event  */ CamelEvent createServiceStopFailureEvent(CamelContext context, Object service, Throwable cause).
true;;1;1;/**  * Creates an {@link CamelEvent} for {@link Route} has been started successfully.  *  * @param route the route  * @return the created event  */ ;/**  * Creates an {@link CamelEvent} for {@link Route} has been started successfully.  *  * @param route the route  * @return the created event  */ CamelEvent createRouteStartedEvent(Route route).
true;;1;1;/**  * Creates an {@link CamelEvent} for {@link Route} has been stopped successfully.  *  * @param route the route  * @return the created event  */ ;/**  * Creates an {@link CamelEvent} for {@link Route} has been stopped successfully.  *  * @param route the route  * @return the created event  */ CamelEvent createRouteStoppedEvent(Route route).
true;;1;1;/**  * Creates an {@link CamelEvent} for {@link Route} has been added successfully.  *  * @param route the route  * @return the created event  */ ;/**  * Creates an {@link CamelEvent} for {@link Route} has been added successfully.  *  * @param route the route  * @return the created event  */ CamelEvent createRouteAddedEvent(Route route).
true;;1;1;/**  * Creates an {@link CamelEvent} for {@link Route} has been removed successfully.  *  * @param route the route  * @return the created event  */ ;/**  * Creates an {@link CamelEvent} for {@link Route} has been removed successfully.  *  * @param route the route  * @return the created event  */ CamelEvent createRouteRemovedEvent(Route route).
