commented;modifiers;parameterAmount;loc;comment;code
true;public;0;6;/**  * Returns the default set of output properties for conversions.  */ ;/**  * Returns the default set of output properties for conversions.  */ public Properties defaultOutputProperties() {     Properties properties = new Properties().     properties.put(OutputKeys.ENCODING, defaultCharset).     properties.put(OutputKeys.OMIT_XML_DECLARATION, "yes").     return properties. }
true;public;2;3;/**  * Converts the given input Source into the required result  */ ;/**  * Converts the given input Source into the required result  */ public void toResult(Source source, Result result) throws TransformerException {     toResult(source, result, defaultOutputProperties()). }
true;public;3;17;/**  * Converts the given input Source into the required result  */ ;/**  * Converts the given input Source into the required result  */ public void toResult(Source source, Result result, Properties outputProperties) throws TransformerException {     if (source == null) {         return.     }     Transformer transformer = createTransformer().     if (transformer == null) {         throw new TransformerException("Could not create a transformer - JAXP is misconfigured!").     }     transformer.setOutputProperties(outputProperties).     if (this.transformerFactory.getClass().getName().equals(XALAN_TRANSFORMER_FACTORY) && (source instanceof StAXSource)) {         // external xalan can't handle StAXSource, so convert StAXSource to SAXSource.         source = new StAX2SAXSource(((StAXSource) source).getXMLStreamReader()).     }     transformer.transform(source, result). }
true;public;1;4;/**  * Converts the given NodeList to a boolean  */ ;/**  * Converts the given NodeList to a boolean  */ @Converter public Boolean toBoolean(NodeList list) {     return list.getLength() > 0. }
true;public;1;4;/**  * Converts the given byte[] to a Source  */ ;/**  * Converts the given byte[] to a Source  */ @Converter public BytesSource toBytesSource(byte[] data) {     return new BytesSource(data). }
true;public;1;4;/**  * Converts the given String to a Source  */ ;/**  * Converts the given String to a Source  */ @Converter public StringSource toStringSource(String data) {     return new StringSource(data). }
true;public;1;5;/**  * Converts the given Node to a Source  */ ;/**  * Converts the given Node to a Source  */ @Converter public DOMSource toDOMSource(Node node) throws ParserConfigurationException, TransformerException {     Document document = toDOMDocument(node).     return new DOMSource(document). }
true;public;1;4;/**  * Converts the given Document to a DOMSource  */ ;/**  * Converts the given Document to a DOMSource  */ @Converter public DOMSource toDOMSource(Document document) {     return new DOMSource(document). }
true;public;1;4;/**  * Converts the given String to a Source  */ ;/**  * Converts the given String to a Source  */ @Converter public Source toSource(String data) {     return new StringSource(data). }
true;public;2;23;/**  * Converts the given input Source into text  */ ;/**  * Converts the given input Source into text  */ @Converter public String toString(Source source, Exchange exchange) throws TransformerException {     if (source == null) {         return null.     } else if (source instanceof StringSource) {         return ((StringSource) source).getText().     } else if (source instanceof BytesSource) {         return new String(((BytesSource) source).getData()).     } else {         StringWriter buffer = new StringWriter().         if (exchange != null) {             // check the camelContext properties first             Properties properties = CamelContextHelper.getCamelPropertiesWithPrefix(OUTPUT_PROPERTIES_PREFIX, exchange.getContext()).             if (properties.size() > 0) {                 toResult(source, new StreamResult(buffer), properties).                 return buffer.toString().             }         }         // using the old way to deal with it         toResult(source, new StreamResult(buffer)).         return buffer.toString().     } }
true;public;2;20;/**  * Converts the given input Source into bytes  */ ;/**  * Converts the given input Source into bytes  */ @Converter public byte[] toByteArray(Source source, Exchange exchange) throws TransformerException {     if (source instanceof BytesSource) {         return ((BytesSource) source).getData().     } else {         ByteArrayOutputStream buffer = new ByteArrayOutputStream().         if (exchange != null) {             // check the camelContext properties first             Properties properties = CamelContextHelper.getCamelPropertiesWithPrefix(OUTPUT_PROPERTIES_PREFIX, exchange.getContext()).             if (properties.size() > 0) {                 toResult(source, new StreamResult(buffer), properties).                 return buffer.toByteArray().             }         }         // using the old way to deal with it         toResult(source, new StreamResult(buffer)).         return buffer.toByteArray().     } }
true;public;2;4;/**  * Converts the given input Node into text  */ ;/**  * Converts the given input Node into text  */ @Converter public String toString(Node node, Exchange exchange) throws TransformerException {     return toString(new DOMSource(node), exchange). }
true;public;2;10;/**  * Converts the given Document to into text  * @param document The document to convert  * @param outputOptions The {@link OutputKeys} properties to control various aspects of the XML output  * @return The string representation of the document  * @throws TransformerException  */ ;/**  * Converts the given Document to into text  * @param document The document to convert  * @param outputOptions The {@link OutputKeys} properties to control various aspects of the XML output  * @return The string representation of the document  * @throws TransformerException  */ public String toStringFromDocument(Document document, Properties outputOptions) throws TransformerException {     if (document == null) {         return null.     }     DOMSource source = new DOMSource(document).     StringWriter buffer = new StringWriter().     toResult(source, new StreamResult(buffer), outputOptions).     return buffer.toString(). }
