commented;modifiers;parameterAmount;loc;comment;code
false;public;1;3;;public Object evaluate(Exchange exchange) {     return exchange.getIn().getAttachmentObjects(). }
false;public;0;4;;@Override public String toString() {     return "attachmentObjects". }
true;public,static;0;12;/**  * Returns an expression for the inbound message attachments  *  * @return an expression object which will return the inbound message attachments  */ ;/**  * Returns an expression for the inbound message attachments  *  * @return an expression object which will return the inbound message attachments  */ public static Expression attachmentObjectsExpression() {     return new ExpressionAdapter() {          public Object evaluate(Exchange exchange) {             return exchange.getIn().getAttachmentObjects().         }          @Override         public String toString() {             return "attachmentObjects".         }     }. }
false;public;1;3;;public Object evaluate(Exchange exchange) {     return exchange.getIn().getAttachmentObjects().values(). }
false;public;0;4;;@Override public String toString() {     return "attachmentObjects". }
true;public,static;0;12;/**  * Returns an expression for the inbound message attachments  *  * @return an expression object which will return the inbound message attachments  */ ;/**  * Returns an expression for the inbound message attachments  *  * @return an expression object which will return the inbound message attachments  */ public static Expression attachmentObjectValuesExpression() {     return new ExpressionAdapter() {          public Object evaluate(Exchange exchange) {             return exchange.getIn().getAttachmentObjects().values().         }          @Override         public String toString() {             return "attachmentObjects".         }     }. }
false;public;1;3;;public Object evaluate(Exchange exchange) {     return exchange.getIn().getAttachments(). }
false;public;0;4;;@Override public String toString() {     return "attachments". }
true;public,static;0;12;/**  * Returns an expression for the inbound message attachments  *  * @return an expression object which will return the inbound message attachments  */ ;/**  * Returns an expression for the inbound message attachments  *  * @return an expression object which will return the inbound message attachments  */ public static Expression attachmentsExpression() {     return new ExpressionAdapter() {          public Object evaluate(Exchange exchange) {             return exchange.getIn().getAttachments().         }          @Override         public String toString() {             return "attachments".         }     }. }
false;public;1;3;;public Object evaluate(Exchange exchange) {     return exchange.getIn().getAttachments().values(). }
false;public;0;4;;@Override public String toString() {     return "attachments". }
true;public,static;0;12;/**  * Returns an expression for the inbound message attachments  *  * @return an expression object which will return the inbound message attachments  */ ;/**  * Returns an expression for the inbound message attachments  *  * @return an expression object which will return the inbound message attachments  */ public static Expression attachmentValuesExpression() {     return new ExpressionAdapter() {          public Object evaluate(Exchange exchange) {             return exchange.getIn().getAttachments().values().         }          @Override         public String toString() {             return "attachments".         }     }. }
false;public;1;9;;public Object evaluate(Exchange exchange) {     String name = simpleExpression(headerName).evaluate(exchange, String.class).     Object header = exchange.getIn().getHeader(name).     if (header == null) {         // fall back on a property         header = exchange.getProperty(name).     }     return header. }
false;public;0;4;;@Override public String toString() {     return "header(" + headerName + ")". }
true;public,static;1;18;/**  * Returns an expression for the header value with the given name  * <p/>  * Will fallback and look in properties if not found in headers.  *  * @param headerName the name of the header the expression will return  * @return an expression object which will return the header value  */ ;/**  * Returns an expression for the header value with the given name  * <p/>  * Will fallback and look in properties if not found in headers.  *  * @param headerName the name of the header the expression will return  * @return an expression object which will return the header value  */ public static Expression headerExpression(final String headerName) {     return new ExpressionAdapter() {          public Object evaluate(Exchange exchange) {             String name = simpleExpression(headerName).evaluate(exchange, String.class).             Object header = exchange.getIn().getHeader(name).             if (header == null) {                 // fall back on a property                 header = exchange.getProperty(name).             }             return header.         }          @Override         public String toString() {             return "header(" + headerName + ")".         }     }. }
false;public;1;9;;public Object evaluate(Exchange exchange) {     String name = simpleExpression(headerName).evaluate(exchange, String.class).     Object header = exchange.getIn().getHeader(name, type).     if (header == null) {         // fall back on a property         header = exchange.getProperty(name, type).     }     return header. }
false;public;0;4;;@Override public String toString() {     return "headerAs(" + headerName + ", " + type + ")". }
true;public,static;2;18;/**  * Returns an expression for the header value with the given name converted to the given type  * <p/>  * Will fallback and look in properties if not found in headers.  *  * @param headerName the name of the header the expression will return  * @param type the type to convert to  * @return an expression object which will return the header value  */ ;/**  * Returns an expression for the header value with the given name converted to the given type  * <p/>  * Will fallback and look in properties if not found in headers.  *  * @param headerName the name of the header the expression will return  * @param type the type to convert to  * @return an expression object which will return the header value  */ public static <T> Expression headerExpression(final String headerName, final Class<T> type) {     return new ExpressionAdapter() {          public Object evaluate(Exchange exchange) {             String name = simpleExpression(headerName).evaluate(exchange, String.class).             Object header = exchange.getIn().getHeader(name, type).             if (header == null) {                 // fall back on a property                 header = exchange.getProperty(name, type).             }             return header.         }          @Override         public String toString() {             return "headerAs(" + headerName + ", " + type + ")".         }     }. }
false;public;1;17;;public Object evaluate(Exchange exchange) {     Class<?> type.     try {         String text = simpleExpression(typeName).evaluate(exchange, String.class).         type = exchange.getContext().getClassResolver().resolveMandatoryClass(text).     } catch (ClassNotFoundException e) {         throw CamelExecutionException.wrapCamelExecutionException(exchange, e).     }     String text = simpleExpression(headerName).evaluate(exchange, String.class).     Object header = exchange.getIn().getHeader(text, type).     if (header == null) {         // fall back on a property         header = exchange.getProperty(text, type).     }     return header. }
false;public;0;4;;@Override public String toString() {     return "headerAs(" + headerName + ", " + typeName + ")". }
true;public,static;2;26;/**  * Returns an expression for the header value with the given name converted to the given type  * <p/>  * Will fallback and look in properties if not found in headers.  *  * @param headerName the name of the header the expression will return  * @param typeName the type to convert to as a FQN class name  * @return an expression object which will return the header value  */ ;/**  * Returns an expression for the header value with the given name converted to the given type  * <p/>  * Will fallback and look in properties if not found in headers.  *  * @param headerName the name of the header the expression will return  * @param typeName the type to convert to as a FQN class name  * @return an expression object which will return the header value  */ public static Expression headerExpression(final String headerName, final String typeName) {     return new ExpressionAdapter() {          public Object evaluate(Exchange exchange) {             Class<?> type.             try {                 String text = simpleExpression(typeName).evaluate(exchange, String.class).                 type = exchange.getContext().getClassResolver().resolveMandatoryClass(text).             } catch (ClassNotFoundException e) {                 throw CamelExecutionException.wrapCamelExecutionException(exchange, e).             }             String text = simpleExpression(headerName).evaluate(exchange, String.class).             Object header = exchange.getIn().getHeader(text, type).             if (header == null) {                 // fall back on a property                 header = exchange.getProperty(text, type).             }             return header.         }          @Override         public String toString() {             return "headerAs(" + headerName + ", " + typeName + ")".         }     }. }
false;public;2;4;;public Object getKeyedEntity(Exchange exchange, String key) {     String text = simpleExpression(key).evaluate(exchange, String.class).     return exchange.getIn().getHeader(text). }
