commented;modifiers;parameterAmount;loc;comment;code
true;public,static;1;3;/**  * @param text The XPath expression  * @return A new XPathBuilder object  */ ;/**  * @param text The XPath expression  * @return A new XPathBuilder object  */ public static XPathBuilder xpath(String text) {     return new XPathBuilder(text). }
true;public,static;2;7;/**  * @param text The XPath expression  * @param resultType The result type that the XPath expression will return.  * @return A new XPathBuilder object  */ ;/**  * @param text The XPath expression  * @param resultType The result type that the XPath expression will return.  * @return A new XPathBuilder object  */ public static XPathBuilder xpath(String text, Class<?> resultType) {     XPathBuilder builder = new XPathBuilder(text).     if (resultType != null) {         builder.setResultType(resultType).     }     return builder. }
false;public;0;4;;@Override public String toString() {     return "XPath: " + text. }
false;public;0;4;;@Override public CamelContext getCamelContext() {     return camelContext. }
false;public;1;4;;@Override public void setCamelContext(CamelContext camelContext) {     this.camelContext = camelContext. }
false;public;1;9;;public boolean matches(Exchange exchange) {     try {         Object booleanResult = evaluateAs(exchange, XPathConstants.BOOLEAN).         return exchange.getContext().getTypeConverter().convertTo(Boolean.class, booleanResult).     } finally {         // remove the thread local after usage         this.exchange.remove().     } }
false;public;2;9;;public <T> T evaluate(Exchange exchange, Class<T> type) {     try {         Object result = evaluate(exchange).         return exchange.getContext().getTypeConverter().convertTo(type, exchange, result).     } finally {         // remove the thread local after usage         this.exchange.remove().     } }
true;public;2;14;/**  * Matches the given xpath using the provided body.  *  * @param context the camel context  * @param body the body  * @return <tt>true</tt> if matches, <tt>false</tt> otherwise  */ ;/**  * Matches the given xpath using the provided body.  *  * @param context the camel context  * @param body the body  * @return <tt>true</tt> if matches, <tt>false</tt> otherwise  */ public boolean matches(CamelContext context, Object body) {     ObjectHelper.notNull(context, "CamelContext").     // create a dummy Exchange to use during matching     Exchange dummy = new DefaultExchange(context).     dummy.getIn().setBody(body).     try {         return matches(dummy).     } finally {         // remove the thread local after usage         exchange.remove().     } }
true;public;3;14;/**  * Evaluates the given xpath using the provided body.  * <p/>  * The evaluation uses by default  * {@link javax.xml.xpath.XPathConstants#NODESET} as the type used during  * xpath evaluation. The output from xpath is then afterwards type converted  * using Camel's type converter to the given type.  * <p/>  * If you want to evaluate xpath using a different type, then call  * {@link #setResultType(Class)} prior to calling this evaluate method.  *  * @param context the camel context  * @param body the body  * @param type the type to return  * @return result of the evaluation  */ ;/**  * Evaluates the given xpath using the provided body.  * <p/>  * The evaluation uses by default  * {@link javax.xml.xpath.XPathConstants#NODESET} as the type used during  * xpath evaluation. The output from xpath is then afterwards type converted  * using Camel's type converter to the given type.  * <p/>  * If you want to evaluate xpath using a different type, then call  * {@link #setResultType(Class)} prior to calling this evaluate method.  *  * @param context the camel context  * @param body the body  * @param type the type to return  * @return result of the evaluation  */ public <T> T evaluate(CamelContext context, Object body, Class<T> type) {     ObjectHelper.notNull(context, "CamelContext").     // create a dummy Exchange to use during evaluation     Exchange dummy = new DefaultExchange(context).     dummy.getIn().setBody(body).     try {         return evaluate(dummy, type).     } finally {         // remove the thread local after usage         exchange.remove().     } }
true;public;2;16;/**  * Evaluates the given xpath using the provided body as a String return  * type.  *  * @param context the camel context  * @param body the body  * @return result of the evaluation  */ ;/**  * Evaluates the given xpath using the provided body as a String return  * type.  *  * @param context the camel context  * @param body the body  * @return result of the evaluation  */ public String evaluate(CamelContext context, Object body) {     ObjectHelper.notNull(context, "CamelContext").     // create a dummy Exchange to use during evaluation     Exchange dummy = new DefaultExchange(context).     dummy.getIn().setBody(body).     setResultQName(XPathConstants.STRING).     setResultType(String.class).     try {         return evaluate(dummy, String.class).     } finally {         // remove the thread local after usage         this.exchange.remove().     } }
true;public;0;4;/**  * Sets the expression result type to {@link XPathConstants#BOOLEAN}  *  * @return the current builder  */ ;// Builder methods // ------------------------------------------------------------------------- /**  * Sets the expression result type to {@link XPathConstants#BOOLEAN}  *  * @return the current builder  */ public XPathBuilder booleanResult() {     resultQName = XPathConstants.BOOLEAN.     return this. }
true;public;0;4;/**  * Sets the expression result type to {@link XPathConstants#NODE}  *  * @return the current builder  */ ;/**  * Sets the expression result type to {@link XPathConstants#NODE}  *  * @return the current builder  */ public XPathBuilder nodeResult() {     resultQName = XPathConstants.NODE.     return this. }
true;public;0;4;/**  * Sets the expression result type to {@link XPathConstants#NODESET}  *  * @return the current builder  */ ;/**  * Sets the expression result type to {@link XPathConstants#NODESET}  *  * @return the current builder  */ public XPathBuilder nodeSetResult() {     resultQName = XPathConstants.NODESET.     return this. }
true;public;0;4;/**  * Sets the expression result type to {@link XPathConstants#NUMBER}  *  * @return the current builder  */ ;/**  * Sets the expression result type to {@link XPathConstants#NUMBER}  *  * @return the current builder  */ public XPathBuilder numberResult() {     resultQName = XPathConstants.NUMBER.     return this. }
true;public;0;4;/**  * Sets the expression result type to {@link XPathConstants#STRING}  *  * @return the current builder  */ ;/**  * Sets the expression result type to {@link XPathConstants#STRING}  *  * @return the current builder  */ public XPathBuilder stringResult() {     resultQName = XPathConstants.STRING.     return this. }
true;public;1;4;/**  * Sets the expression result type to the given {@code resultType}  *  * @return the current builder  */ ;/**  * Sets the expression result type to the given {@code resultType}  *  * @return the current builder  */ public XPathBuilder resultType(Class<?> resultType) {     setResultType(resultType).     return this. }
true;public;1;10;/**  * Sets the object model URI to use  *  * @return the current builder  */ ;/**  * Sets the object model URI to use  *  * @return the current builder  */ public XPathBuilder objectModel(String uri) {     // Careful! Setting the Object Model URI this way will set the *Default*     // XPath Factory, which since is a static field,     // will set the XPath Factory system-wide. Decide what to do, as     // changing this behaviour can break compatibility. Provided the     // setObjectModel which changes     // this instance's XPath Factory rather than the static field     this.objectModelUri = uri.     return this. }
true;public;1;4;/**  * Sets the factory class name to use  *  * @return the current builder  */ ;/**  * Sets the factory class name to use  *  * @return the current builder  */ public XPathBuilder factoryClassName(String factoryClassName) {     this.factoryClassName = factoryClassName.     return this. }
true;public;0;5;/**  * Configures to use Saxon as the XPathFactory which allows you to use XPath  * 2.0 functions which may not be part of the build in JDK XPath parser.  *  * @return the current builder  */ ;/**  * Configures to use Saxon as the XPathFactory which allows you to use XPath  * 2.0 functions which may not be part of the build in JDK XPath parser.  *  * @return the current builder  */ public XPathBuilder saxon() {     this.objectModelUri = SAXON_OBJECT_MODEL_URI.     this.factoryClassName = SAXON_FACTORY_CLASS_NAME.     return this. }
true;public;1;4;/**  * Sets the {@link XPathFunctionResolver} instance to use on these XPath  * expressions  *  * @return the current builder  */ ;/**  * Sets the {@link XPathFunctionResolver} instance to use on these XPath  * expressions  *  * @return the current builder  */ public XPathBuilder functionResolver(XPathFunctionResolver functionResolver) {     this.functionResolver = functionResolver.     return this. }
true;public;2;4;/**  * Registers the namespace prefix and URI with the builder so that the  * prefix can be used in XPath expressions  *  * @param prefix is the namespace prefix that can be used in the XPath  *            expressions  * @param uri is the namespace URI to which the prefix refers  * @return the current builder  */ ;/**  * Registers the namespace prefix and URI with the builder so that the  * prefix can be used in XPath expressions  *  * @param prefix is the namespace prefix that can be used in the XPath  *            expressions  * @param uri is the namespace URI to which the prefix refers  * @return the current builder  */ public XPathBuilder namespace(String prefix, String uri) {     namespaces.put(prefix, uri).     return this. }
