commented;modifiers;parameterAmount;loc;comment;code
false;public;0;4;;@Override public ThreadPoolFactory getThreadPoolFactory() {     return threadPoolFactory. }
false;public;1;4;;@Override public void setThreadPoolFactory(ThreadPoolFactory threadPoolFactory) {     this.threadPoolFactory = threadPoolFactory. }
false;public;1;6;;@Override public void registerThreadPoolProfile(ThreadPoolProfile profile) {     ObjectHelper.notNull(profile, "profile").     StringHelper.notEmpty(profile.getId(), "id", profile).     threadPoolProfiles.put(profile.getId(), profile). }
false;public;1;4;;@Override public ThreadPoolProfile getThreadPoolProfile(String id) {     return threadPoolProfiles.get(id). }
false;public;0;4;;@Override public ThreadPoolProfile getDefaultThreadPoolProfile() {     return getThreadPoolProfile(defaultThreadPoolProfileId). }
false;public;1;11;;@Override public void setDefaultThreadPoolProfile(ThreadPoolProfile defaultThreadPoolProfile) {     threadPoolProfiles.remove(defaultThreadPoolProfileId).     defaultThreadPoolProfile.addDefaults(defaultProfile).     LOG.info("Using custom DefaultThreadPoolProfile: {}", defaultThreadPoolProfile).     this.defaultThreadPoolProfileId = defaultThreadPoolProfile.getId().     defaultThreadPoolProfile.setDefaultProfile(true).     registerThreadPoolProfile(defaultThreadPoolProfile). }
false;public;0;4;;@Override public String getThreadNamePattern() {     return threadNamePattern. }
false;public;1;5;;@Override public void setThreadNamePattern(String threadNamePattern) {     // must set camel id here in the pattern and let the other placeholders be resolved on demand     this.threadNamePattern = threadNamePattern.replaceFirst("#camelId#", this.camelContext.getName()). }
false;public;0;4;;@Override public long getShutdownAwaitTermination() {     return shutdownAwaitTermination. }
false;public;1;4;;@Override public void setShutdownAwaitTermination(long shutdownAwaitTermination) {     this.shutdownAwaitTermination = shutdownAwaitTermination. }
false;public;1;4;;@Override public String resolveThreadName(String name) {     return ThreadHelper.resolveThreadName(threadNamePattern, name). }
false;public;2;5;;@Override public Thread newThread(String name, Runnable runnable) {     ThreadFactory factory = createThreadFactory(name, true).     return factory.newThread(runnable). }
false;public;2;4;;@Override public ExecutorService newDefaultThreadPool(Object source, String name) {     return newThreadPool(source, name, getDefaultThreadPoolProfile()). }
false;public;2;4;;@Override public ScheduledExecutorService newDefaultScheduledThreadPool(Object source, String name) {     return newScheduledThreadPool(source, name, getDefaultThreadPoolProfile()). }
false;public;3;10;;@Override public ExecutorService newThreadPool(Object source, String name, String profileId) {     ThreadPoolProfile profile = getThreadPoolProfile(profileId).     if (profile != null) {         return newThreadPool(source, name, profile).     } else {         // no profile with that id         return null.     } }
false;public;3;17;;@Override public ExecutorService newThreadPool(Object source, String name, ThreadPoolProfile profile) {     String sanitizedName = URISupport.sanitizeUri(name).     ObjectHelper.notNull(profile, "ThreadPoolProfile").     ThreadPoolProfile defaultProfile = getDefaultThreadPoolProfile().     profile.addDefaults(defaultProfile).     ThreadFactory threadFactory = createThreadFactory(sanitizedName, true).     ExecutorService executorService = threadPoolFactory.newThreadPool(profile, threadFactory).     onThreadPoolCreated(executorService, source, profile.getId()).     if (LOG.isDebugEnabled()) {         LOG.debug("Created new ThreadPool for source: {} with name: {}. -> {}", source, sanitizedName, executorService).     }     return executorService. }
false;public;4;7;;@Override public ExecutorService newThreadPool(Object source, String name, int poolSize, int maxPoolSize) {     ThreadPoolProfile profile = new ThreadPoolProfile(name).     profile.setPoolSize(poolSize).     profile.setMaxPoolSize(maxPoolSize).     return newThreadPool(source, name, profile). }
false;public;2;4;;@Override public ExecutorService newSingleThreadExecutor(Object source, String name) {     return newFixedThreadPool(source, name, 1). }
false;public;2;11;;@Override public ExecutorService newCachedThreadPool(Object source, String name) {     String sanitizedName = URISupport.sanitizeUri(name).     ExecutorService answer = threadPoolFactory.newCachedThreadPool(createThreadFactory(sanitizedName, true)).     onThreadPoolCreated(answer, source, null).     if (LOG.isDebugEnabled()) {         LOG.debug("Created new CachedThreadPool for source: {} with name: {}. -> {}", source, sanitizedName, answer).     }     return answer. }
false;public;3;8;;@Override public ExecutorService newFixedThreadPool(Object source, String name, int poolSize) {     ThreadPoolProfile profile = new ThreadPoolProfile(name).     profile.setPoolSize(poolSize).     profile.setMaxPoolSize(poolSize).     profile.setKeepAliveTime(0L).     return newThreadPool(source, name, profile). }
false;public;2;4;;@Override public ScheduledExecutorService newSingleThreadScheduledExecutor(Object source, String name) {     return newScheduledThreadPool(source, name, 1). }
