commented;modifiers;parameterAmount;loc;comment;code
false;public;0;4;;@Override public String toString() {     return "Rests: " + rests. }
false;public;0;4;;@Override public String getShortName() {     return "rests". }
false;public;0;3;;public String getLabel() {     return "Rest " + getId(). }
false;public;0;3;;// Properties // ----------------------------------------------------------------------- public List<RestDefinition> getRests() {     return rests. }
true;public;1;3;/**  * The rest services  */ ;/**  * The rest services  */ public void setRests(List<RestDefinition> rests) {     this.rests = rests. }
false;public;0;3;;public ModelCamelContext getCamelContext() {     return camelContext. }
false;public;1;3;;public void setCamelContext(ModelCamelContext camelContext) {     this.camelContext = camelContext. }
true;public;0;4;/**  * Creates a rest DSL  */ ;// Fluent API // ------------------------------------------------------------------------- /**  * Creates a rest DSL  */ public RestDefinition rest() {     RestDefinition rest = createRest().     return rest(rest). }
true;public;1;5;/**  * Creates a rest DSL  *  * @param uri the rest path  */ ;/**  * Creates a rest DSL  *  * @param uri the rest path  */ public RestDefinition rest(String uri) {     RestDefinition rest = createRest().     rest.setPath(uri).     return rest(rest). }
true;public;1;4;/**  * Adds the {@link org.apache.camel.model.rest.RestsDefinition}  */ ;/**  * Adds the {@link org.apache.camel.model.rest.RestsDefinition}  */ public RestDefinition rest(RestDefinition rest) {     getRests().add(rest).     return rest. }
true;protected;0;4;// ------------------------------------------------------------------------- ;// Implementation methods // ------------------------------------------------------------------------- protected RestDefinition createRest() {     RestDefinition rest = new RestDefinition().     return rest. }
