commented;modifiers;parameterAmount;loc;comment;code
false;public;1;6;;@Override public void init(ManagementStrategy strategy) {     super.init(strategy).     boolean enabled = context.getManagementStrategy().getManagementAgent().getStatisticsLevel() != ManagementStatisticsLevel.Off.     setStatisticsEnabled(enabled). }
false;public;0;3;;public Route getRoute() {     return route. }
false;public;0;3;;public CamelContext getContext() {     return context. }
false;public;0;7;;public String getRouteId() {     String id = route.getId().     if (id == null) {         id = VALUE_UNKNOWN.     }     return id. }
false;public;0;3;;public String getRouteGroup() {     return route.getGroup(). }
false;public;0;25;;@Override public TabularData getRouteProperties() {     try {         final Map<String, Object> properties = route.getProperties().         final TabularData answer = new TabularDataSupport(CamelOpenMBeanTypes.camelRoutePropertiesTabularType()).         final CompositeType ct = CamelOpenMBeanTypes.camelRoutePropertiesCompositeType().         // gather route properties         for (Map.Entry<String, Object> entry : properties.entrySet()) {             final String key = entry.getKey().             final String val = context.getTypeConverter().convertTo(String.class, entry.getValue()).             CompositeData data = new CompositeDataSupport(ct, new String[] { "key", "value" }, new Object[] { key, val }).             answer.put(data).         }         return answer.     } catch (Exception e) {         throw RuntimeCamelException.wrapRuntimeCamelException(e).     } }
false;public;0;3;;public String getDescription() {     return description. }
false;public;0;7;;@Override public String getEndpointUri() {     if (route.getEndpoint() != null) {         return route.getEndpoint().getEndpointUri().     }     return VALUE_UNKNOWN. }
false;public;0;9;;public String getState() {     // must use String type to be sure remote JMX can read the attribute without requiring Camel classes.     ServiceStatus status = context.getRouteController().getRouteStatus(route.getId()).     // if no status exists then its stopped     if (status == null) {         status = ServiceStatus.Stopped.     }     return status.name(). }
false;public;0;3;;public String getUptime() {     return route.getUptime(). }
false;public;0;3;;public long getUptimeMillis() {     return route.getUptimeMillis(). }
false;public;0;3;;public Integer getInflightExchanges() {     return (int) super.getExchangesInflight(). }
false;public;0;3;;public String getCamelId() {     return context.getName(). }
false;public;0;3;;public String getCamelManagementName() {     return context.getManagementName(). }
false;public;0;3;;public Boolean getTracing() {     return route.getRouteContext().isTracing(). }
false;public;1;3;;public void setTracing(Boolean tracing) {     route.getRouteContext().setTracing(tracing). }
false;public;0;3;;public Boolean getMessageHistory() {     return route.getRouteContext().isMessageHistory(). }
false;public;0;3;;public Boolean getLogMask() {     return route.getRouteContext().isLogMask(). }
false;public;0;19;;public String getRoutePolicyList() {     List<RoutePolicy> policyList = route.getRouteContext().getRoutePolicyList().     if (policyList == null || policyList.isEmpty()) {         // return an empty string to have it displayed nicely in JMX consoles         return "".     }     StringBuilder sb = new StringBuilder().     for (int i = 0. i < policyList.size(). i++) {         RoutePolicy policy = policyList.get(i).         sb.append(policy.getClass().getSimpleName()).         sb.append("(").append(ObjectHelper.getIdentityHashCode(policy)).append(")").         if (i < policyList.size() - 1) {             sb.append(", ").         }     }     return sb.toString(). }
false;public;0;9;;public String getLoad01() {     double load1 = load.getLoad1().     if (Double.isNaN(load1)) {         // empty string if load statistics is disabled         return "".     } else {         return String.format("%.2f", load1).     } }
false;public;0;9;;public String getLoad05() {     double load5 = load.getLoad5().     if (Double.isNaN(load5)) {         // empty string if load statistics is disabled         return "".     } else {         return String.format("%.2f", load5).     } }
false;public;0;9;;public String getLoad15() {     double load15 = load.getLoad15().     if (Double.isNaN(load15)) {         // empty string if load statistics is disabled         return "".     } else {         return String.format("%.2f", load15).     } }
false;public;0;4;;@Override public void onTimer() {     load.update(getInflightExchanges()). }
false;public;0;6;;public void start() throws Exception {     if (!context.getStatus().isStarted()) {         throw new IllegalArgumentException("CamelContext is not started").     }     context.getRouteController().startRoute(getRouteId()). }
false;public;0;6;;public void stop() throws Exception {     if (!context.getStatus().isStarted()) {         throw new IllegalArgumentException("CamelContext is not started").     }     context.getRouteController().stopRoute(getRouteId()). }
false;public;1;6;;public void stop(long timeout) throws Exception {     if (!context.getStatus().isStarted()) {         throw new IllegalArgumentException("CamelContext is not started").     }     context.getRouteController().stopRoute(getRouteId(), timeout, TimeUnit.SECONDS). }
