commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String getIncidentId() {     return incidentId. }
false;public;1;3;;public void setIncidentId(String incidentId) {     this.incidentId = incidentId. }
false;public;0;3;;public String getIncidentDate() {     return incidentDate. }
false;public;1;3;;public void setIncidentDate(String incidentDate) {     this.incidentDate = incidentDate. }
false;public;0;3;;public String getGivenName() {     return givenName. }
false;public;1;3;;public void setGivenName(String givenName) {     this.givenName = givenName. }
false;public;0;3;;public String getFamilyName() {     return familyName. }
false;public;1;3;;public void setFamilyName(String familyName) {     this.familyName = familyName. }
false;public;0;3;;public String getSummary() {     return summary. }
false;public;1;3;;public void setSummary(String summary) {     this.summary = summary. }
false;public;0;3;;public String getDetails() {     return details. }
false;public;1;3;;public void setDetails(String details) {     this.details = details. }
false;public;0;3;;public String getEmail() {     return email. }
false;public;1;3;;public void setEmail(String email) {     this.email = email. }
false;public;0;3;;public String getPhone() {     return phone. }
false;public;1;3;;public void setPhone(String phone) {     this.phone = phone. }
