commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public DigitalSignatureConfigurationNestedConfiguration getConfiguration() {     return configuration. }
false;public;1;4;;public void setConfiguration(DigitalSignatureConfigurationNestedConfiguration configuration) {     this.configuration = configuration. }
false;public;0;3;;public Boolean getResolvePropertyPlaceholders() {     return resolvePropertyPlaceholders. }
false;public;1;4;;public void setResolvePropertyPlaceholders(Boolean resolvePropertyPlaceholders) {     this.resolvePropertyPlaceholders = resolvePropertyPlaceholders. }
false;public;0;3;;public String getName() {     return name. }
false;public;1;3;;public void setName(String name) {     this.name = name. }
false;public;0;3;;public String getAlgorithm() {     return algorithm. }
false;public;1;3;;public void setAlgorithm(String algorithm) {     this.algorithm = algorithm. }
false;public;0;3;;public String getAlias() {     return alias. }
false;public;1;3;;public void setAlias(String alias) {     this.alias = alias. }
false;public;0;3;;public PrivateKey getPrivateKey() {     return privateKey. }
false;public;1;3;;public void setPrivateKey(PrivateKey privateKey) {     this.privateKey = privateKey. }
false;public;0;3;;public String getPrivateKeyName() {     return privateKeyName. }
false;public;1;3;;public void setPrivateKeyName(String privateKeyName) {     this.privateKeyName = privateKeyName. }
false;public;0;3;;public PublicKey getPublicKey() {     return publicKey. }
false;public;1;3;;public void setPublicKey(PublicKey publicKey) {     this.publicKey = publicKey. }
false;public;0;3;;public String getPublicKeyName() {     return publicKeyName. }
false;public;1;3;;public void setPublicKeyName(String publicKeyName) {     this.publicKeyName = publicKeyName. }
false;public;0;3;;public Certificate getCertificate() {     return certificate. }
false;public;1;3;;public void setCertificate(Certificate certificate) {     this.certificate = certificate. }
false;public;0;3;;public String getCertificateName() {     return certificateName. }
false;public;1;3;;public void setCertificateName(String certificateName) {     this.certificateName = certificateName. }
false;public;0;3;;public KeyStore getKeystore() {     return keystore. }
false;public;1;3;;public void setKeystore(KeyStore keystore) {     this.keystore = keystore. }
false;public;0;3;;public String getKeystoreName() {     return keystoreName. }
false;public;1;3;;public void setKeystoreName(String keystoreName) {     this.keystoreName = keystoreName. }
false;public;0;3;;public char[] getPassword() {     return password. }
false;public;1;3;;public void setPassword(char[] password) {     this.password = password. }
false;public;0;3;;public KeyStoreParameters getKeyStoreParameters() {     return keyStoreParameters. }
false;public;1;3;;public void setKeyStoreParameters(KeyStoreParameters keyStoreParameters) {     this.keyStoreParameters = keyStoreParameters. }
false;public;0;3;;public String getSecureRandomName() {     return secureRandomName. }
false;public;1;3;;public void setSecureRandomName(String secureRandomName) {     this.secureRandomName = secureRandomName. }
false;public;0;3;;public SecureRandom getSecureRandom() {     return secureRandom. }
false;public;1;3;;public void setSecureRandom(SecureRandom secureRandom) {     this.secureRandom = secureRandom. }
false;public;0;3;;public Integer getBufferSize() {     return bufferSize. }
false;public;1;3;;public void setBufferSize(Integer bufferSize) {     this.bufferSize = bufferSize. }
false;public;0;3;;public String getProvider() {     return provider. }
false;public;1;3;;public void setProvider(String provider) {     this.provider = provider. }
false;public;0;3;;public String getSignatureHeaderName() {     return signatureHeaderName. }
false;public;1;3;;public void setSignatureHeaderName(String signatureHeaderName) {     this.signatureHeaderName = signatureHeaderName. }
false;public;0;3;;public Boolean getClearHeaders() {     return clearHeaders. }
false;public;1;3;;public void setClearHeaders(Boolean clearHeaders) {     this.clearHeaders = clearHeaders. }
false;public;0;3;;public CryptoOperation getCryptoOperation() {     return cryptoOperation. }
false;public;1;3;;public void setCryptoOperation(CryptoOperation cryptoOperation) {     this.cryptoOperation = cryptoOperation. }
