commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public boolean isEnabled() {     return enabled. }
false;public;1;3;;public void setEnabled(boolean enabled) {     this.enabled = enabled. }
false;public;0;3;;public String getId() {     return id. }
false;public;1;3;;public void setId(String id) {     this.id = id. }
false;public;0;3;;public String getMasterUrl() {     return masterUrl. }
false;public;1;3;;public void setMasterUrl(String masterUrl) {     this.masterUrl = masterUrl. }
false;public;0;3;;public Integer getConnectionTimeoutMillis() {     return connectionTimeoutMillis. }
false;public;1;3;;public void setConnectionTimeoutMillis(Integer connectionTimeoutMillis) {     this.connectionTimeoutMillis = connectionTimeoutMillis. }
false;public;0;3;;public String getKubernetesNamespace() {     return kubernetesNamespace. }
false;public;1;3;;public void setKubernetesNamespace(String kubernetesNamespace) {     this.kubernetesNamespace = kubernetesNamespace. }
false;public;0;3;;public String getConfigMapName() {     return configMapName. }
false;public;1;3;;public void setConfigMapName(String configMapName) {     this.configMapName = configMapName. }
false;public;0;3;;public String getPodName() {     return podName. }
false;public;1;3;;public void setPodName(String podName) {     this.podName = podName. }
false;public;0;3;;public Map<String, String> getClusterLabels() {     return clusterLabels. }
false;public;1;3;;public void setClusterLabels(Map<String, String> clusterLabels) {     this.clusterLabels = clusterLabels. }
false;public;0;3;;public Double getJitterFactor() {     return jitterFactor. }
false;public;1;3;;public void setJitterFactor(Double jitterFactor) {     this.jitterFactor = jitterFactor. }
false;public;0;3;;public Long getLeaseDurationMillis() {     return leaseDurationMillis. }
false;public;1;3;;public void setLeaseDurationMillis(Long leaseDurationMillis) {     this.leaseDurationMillis = leaseDurationMillis. }
false;public;0;3;;public Long getRenewDeadlineMillis() {     return renewDeadlineMillis. }
false;public;1;3;;public void setRenewDeadlineMillis(Long renewDeadlineMillis) {     this.renewDeadlineMillis = renewDeadlineMillis. }
false;public;0;3;;public Long getRetryPeriodMillis() {     return retryPeriodMillis. }
false;public;1;3;;public void setRetryPeriodMillis(Long retryPeriodMillis) {     this.retryPeriodMillis = retryPeriodMillis. }
false;public;0;3;;public Map<String, Object> getAttributes() {     return attributes. }
false;public;1;3;;public void setAttributes(Map<String, Object> attributes) {     this.attributes = attributes. }
false;public;0;3;;public Integer getOrder() {     return order. }
false;public;1;3;;public void setOrder(Integer order) {     this.order = order. }
