commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String getMultipartSubType() {     return multipartSubType. }
false;public;1;3;;public void setMultipartSubType(String multipartSubType) {     this.multipartSubType = multipartSubType. }
false;public;0;3;;public Boolean getMultipartWithoutAttachment() {     return multipartWithoutAttachment. }
false;public;1;3;;public void setMultipartWithoutAttachment(Boolean multipartWithoutAttachment) {     this.multipartWithoutAttachment = multipartWithoutAttachment. }
false;public;0;3;;public Boolean getHeadersInline() {     return headersInline. }
false;public;1;3;;public void setHeadersInline(Boolean headersInline) {     this.headersInline = headersInline. }
false;public;0;3;;public String getIncludeHeaders() {     return includeHeaders. }
false;public;1;3;;public void setIncludeHeaders(String includeHeaders) {     this.includeHeaders = includeHeaders. }
false;public;0;3;;public Boolean getBinaryContent() {     return binaryContent. }
false;public;1;3;;public void setBinaryContent(Boolean binaryContent) {     this.binaryContent = binaryContent. }
false;public;0;3;;public Boolean getContentTypeHeader() {     return contentTypeHeader. }
false;public;1;3;;public void setContentTypeHeader(Boolean contentTypeHeader) {     this.contentTypeHeader = contentTypeHeader. }
