commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public Boolean getSkipTrailingCharsUntilNewline() {     return skipTrailingCharsUntilNewline. }
false;public;1;4;;public void setSkipTrailingCharsUntilNewline(Boolean skipTrailingCharsUntilNewline) {     this.skipTrailingCharsUntilNewline = skipTrailingCharsUntilNewline. }
false;public;0;3;;public Boolean getRecordEndsOnNewline() {     return recordEndsOnNewline. }
false;public;1;3;;public void setRecordEndsOnNewline(Boolean recordEndsOnNewline) {     this.recordEndsOnNewline = recordEndsOnNewline. }
false;public;0;3;;public String getPadding() {     return padding. }
false;public;1;3;;public void setPadding(String padding) {     this.padding = padding. }
false;public;0;3;;public String getNullValue() {     return nullValue. }
false;public;1;3;;public void setNullValue(String nullValue) {     this.nullValue = nullValue. }
false;public;0;3;;public Boolean getSkipEmptyLines() {     return skipEmptyLines. }
false;public;1;3;;public void setSkipEmptyLines(Boolean skipEmptyLines) {     this.skipEmptyLines = skipEmptyLines. }
false;public;0;3;;public Boolean getIgnoreTrailingWhitespaces() {     return ignoreTrailingWhitespaces. }
false;public;1;3;;public void setIgnoreTrailingWhitespaces(Boolean ignoreTrailingWhitespaces) {     this.ignoreTrailingWhitespaces = ignoreTrailingWhitespaces. }
false;public;0;3;;public Boolean getIgnoreLeadingWhitespaces() {     return ignoreLeadingWhitespaces. }
false;public;1;3;;public void setIgnoreLeadingWhitespaces(Boolean ignoreLeadingWhitespaces) {     this.ignoreLeadingWhitespaces = ignoreLeadingWhitespaces. }
false;public;0;3;;public Boolean getHeadersDisabled() {     return headersDisabled. }
false;public;1;3;;public void setHeadersDisabled(Boolean headersDisabled) {     this.headersDisabled = headersDisabled. }
false;public;0;3;;public Boolean getHeaderExtractionEnabled() {     return headerExtractionEnabled. }
false;public;1;3;;public void setHeaderExtractionEnabled(Boolean headerExtractionEnabled) {     this.headerExtractionEnabled = headerExtractionEnabled. }
false;public;0;3;;public Integer getNumberOfRecordsToRead() {     return numberOfRecordsToRead. }
false;public;1;3;;public void setNumberOfRecordsToRead(Integer numberOfRecordsToRead) {     this.numberOfRecordsToRead = numberOfRecordsToRead. }
false;public;0;3;;public String getEmptyValue() {     return emptyValue. }
false;public;1;3;;public void setEmptyValue(String emptyValue) {     this.emptyValue = emptyValue. }
false;public;0;3;;public String getLineSeparator() {     return lineSeparator. }
false;public;1;3;;public void setLineSeparator(String lineSeparator) {     this.lineSeparator = lineSeparator. }
false;public;0;3;;public String getNormalizedLineSeparator() {     return normalizedLineSeparator. }
false;public;1;3;;public void setNormalizedLineSeparator(String normalizedLineSeparator) {     this.normalizedLineSeparator = normalizedLineSeparator. }
false;public;0;3;;public String getComment() {     return comment. }
false;public;1;3;;public void setComment(String comment) {     this.comment = comment. }
false;public;0;3;;public Boolean getLazyLoad() {     return lazyLoad. }
false;public;1;3;;public void setLazyLoad(Boolean lazyLoad) {     this.lazyLoad = lazyLoad. }
false;public;0;3;;public Boolean getAsMap() {     return asMap. }
false;public;1;3;;public void setAsMap(Boolean asMap) {     this.asMap = asMap. }
false;public;0;3;;public Boolean getContentTypeHeader() {     return contentTypeHeader. }
false;public;1;3;;public void setContentTypeHeader(Boolean contentTypeHeader) {     this.contentTypeHeader = contentTypeHeader. }
