commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;// Getters & setters public String getEndpoint() {     return endpoint. }
false;public;1;3;;public void setEndpoint(String endpoint) {     this.endpoint = endpoint. }
false;public;0;3;;public String getHostName() {     return hostName. }
false;public;1;3;;public void setHostName(String hostName) {     this.hostName = hostName. }
false;public;0;3;;public int getPort() {     return port. }
false;public;1;3;;public void setPort(int port) {     this.port = port. }
false;public;0;3;;public float getRate() {     return rate. }
false;public;1;3;;public void setRate(float rate) {     this.rate = rate. }
false;public;0;3;;public boolean isIncludeMessageBody() {     return includeMessageBody. }
false;public;1;3;;public void setIncludeMessageBody(boolean includeMessageBody) {     this.includeMessageBody = includeMessageBody. }
false;public;0;3;;public boolean isIncludeMessageBodyStreams() {     return includeMessageBodyStreams. }
false;public;1;3;;public void setIncludeMessageBodyStreams(boolean includeMessageBodyStreams) {     this.includeMessageBodyStreams = includeMessageBodyStreams. }
false;public;0;3;;public String getServiceName() {     return serviceName. }
false;public;1;3;;public void setServiceName(String serviceName) {     this.serviceName = serviceName. }
false;public;0;3;;public Set<String> getExcludePatterns() {     return excludePatterns. }
false;public;1;3;;public void setExcludePatterns(Set<String> excludePatterns) {     this.excludePatterns = excludePatterns. }
false;public;0;3;;public Map<String, String> getClientServiceMappings() {     return clientServiceMappings. }
false;public;1;3;;public void setClientServiceMappings(Map<String, String> clientServiceMappings) {     this.clientServiceMappings = clientServiceMappings. }
false;public;0;3;;public Map<String, String> getServerServiceMappings() {     return serverServiceMappings. }
false;public;1;3;;public void setServerServiceMappings(Map<String, String> serverServiceMappings) {     this.serverServiceMappings = serverServiceMappings. }
