commented;modifiers;parameterAmount;loc;comment;code
false;public;0;43;;@Override public void execute() throws MojoExecutionException, MojoFailureException {     if (!isStarterAllowed()) {         getLog().info("Spring-Boot-Starter: starter not allowed for module " + project.getArtifactId() + ": skipping.").         return.     }     try {         // create the starter directory         File starterDir = starterDir().         getLog().info("Spring-Boot-Starter: starter dir for the component is: " + starterDir.getAbsolutePath()).         if (!starterDir.exists()) {             starterDir.mkdirs().         }         // create the base pom.xml         Document pom = createBasePom().         // Apply changes to the starter pom         fixExcludedDependencies(pom).         fixAdditionalDependencies(pom).         fixAdditionalRepositories(pom).         // Write the starter pom         File pomFile = new File(starterDir, "pom.xml").         writeXmlFormatted(pom, pomFile).         // write LICENSE, USAGE and spring.provides files         writeStaticFiles().         writeSpringProvides().         // synchronized all starters with their parent pom 'modules' section         synchronizeParentPom().     } catch (Exception e) {         throw new MojoFailureException("Unable to create starter", e).     } }
false;private;0;3;;private File starterDir() throws IOException {     return SpringBootHelper.starterDir(baseDir, project.getArtifactId()). }
false;private;0;3;;private File allStartersDir() throws IOException {     return SpringBootHelper.allStartersDir(baseDir). }
false;private;1;63;;private void fixAdditionalDependencies(Document pom) throws Exception {     Properties properties = new Properties().     properties.load(getClass().getResourceAsStream("/spring-boot-fix-dependencies.properties")).     Set<String> deps = new TreeSet<>().     deps.addAll(csvToSet(properties.getProperty(project.getArtifactId()))).     Set<String> globalProps = csvToSet(properties.getProperty("global")).     boolean inGlobal = false.     for (String gp : globalProps) {         String[] comps = gp.split("\\:").         String stdName = (comps[0] + ":" + comps[1]).replace("-starter", "").         if (stdName.equals(project.getGroupId() + ":" + project.getArtifactId())) {             inGlobal = true.             break.         }     }     if (!inGlobal) {         // add global properties for all modules not in global properties         deps.addAll(globalProps).     }     if (deps.size() > 0) {         getLog().debug("The following dependencies will be added to the starter: " + deps).         XPath xpath = XPathFactory.newInstance().newXPath().         Node dependencies = ((NodeList) xpath.compile("/project/dependencies").evaluate(pom, XPathConstants.NODESET)).item(0).         if (deps.size() > 0) {             dependencies.appendChild(pom.createComment(GENERATED_SECTION_START)).             for (String dep : deps) {                 Element dependency = pom.createElement("dependency").                 dependencies.appendChild(dependency).                 String[] comps = dep.split("\\:").                 String groupIdStr = comps[0].                 String artifactIdStr = comps[1].                 String versionStr = comps.length > 2 ? comps[2] : null.                 Element groupId = pom.createElement("groupId").                 groupId.setTextContent(groupIdStr).                 dependency.appendChild(groupId).                 Element artifactId = pom.createElement("artifactId").                 artifactId.setTextContent(artifactIdStr).                 dependency.appendChild(artifactId).                 if (versionStr != null) {                     Element version = pom.createElement("version").                     version.setTextContent(versionStr).                     dependency.appendChild(version).                 }             }             dependencies.appendChild(pom.createComment(GENERATED_SECTION_END)).         }     } }
false;private;1;19;;private void fixAdditionalRepositories(Document pom) throws Exception {     if (project.getFile() != null) {         DocumentBuilderFactory dbf = DocumentBuilderFactory.newInstance().         dbf.setFeature(XMLConstants.FEATURE_SECURE_PROCESSING, Boolean.TRUE).         DocumentBuilder builder = dbf.newDocumentBuilder().         Document originalPom = builder.parse(project.getFile()).         XPath xpath = XPathFactory.newInstance().newXPath().         Node repositories = (Node) xpath.compile("/project/repositories").evaluate(originalPom, XPathConstants.NODE).         if (repositories != null) {             pom.getDocumentElement().appendChild(pom.createComment(GENERATED_SECTION_START)).             pom.getDocumentElement().appendChild(pom.importNode(repositories, true)).             pom.getDocumentElement().appendChild(pom.createComment(GENERATED_SECTION_END)).         }     } else {         getLog().warn("Cannot access the project pom file to retrieve repositories").     } }
false;private;4;9;;private void appendTextElementIfPresent(Document pom, Element parent, String name, String value) {     if (value == null || value.length() == 0) {         return.     }     Element element = pom.createElement(name).     element.setTextContent(value).     parent.appendChild(element). }
false;private;1;11;;private Set<String> csvToSet(String csv) {     if (csv == null || csv.trim().length() == 0) {         return new TreeSet<>().     }     Set<String> set = new TreeSet<>().     for (String s : csv.split(",")) {         set.add(s.trim()).     }     return set. }
false;private;1;75;;private void fixExcludedDependencies(Document pom) throws Exception {     Set<String> loggingImpl = new HashSet<>().     loggingImpl.add("commons-logging:commons-logging").     loggingImpl.add("log4j:log4j").     loggingImpl.add("log4j:apache-log4j-extras").     // removing also the default implementation     loggingImpl.add("ch.qos.logback:logback-core").     loggingImpl.add("ch.qos.logback:logback-classic").     loggingImpl.add("org.apache.logging.log4j:log4j").     loggingImpl.add("org.apache.logging.log4j:log4j-jcl").     loggingImpl.add("org.apache.logging.log4j:log4j-core").     loggingImpl.add("org.apache.logging.log4j:log4j-slf4j-impl").     loggingImpl.add("org.slf4j:slf4j-jcl").     loggingImpl.add("org.slf4j:slf4j-jdk14").     loggingImpl.add("org.slf4j:slf4j-log4j12").     loggingImpl.add("org.slf4j:slf4j-log4j13").     loggingImpl.add("org.slf4j:slf4j-nop").     loggingImpl.add("org.slf4j:slf4j-simple").     // excluded dependencies     Set<String> configExclusions = new HashSet<>().     Properties properties = new Properties().     properties.load(getClass().getResourceAsStream("/spring-boot-fix-dependencies.properties")).     String artExcl = properties.getProperty("exclude_" + project.getArtifactId()).     getLog().debug("Configured exclusions: " + artExcl).     if (artExcl != null && artExcl.trim().length() > 0) {         for (String dep : artExcl.split(",")) {             getLog().debug("Adding configured exclusion: " + dep).             configExclusions.add(dep).         }     }     Set<String> libsToRemove = new TreeSet<>().     libsToRemove.addAll(loggingImpl).     libsToRemove.addAll(configExclusions).     libsToRemove = filterIncludedArtifacts(libsToRemove).     if (libsToRemove.size() > 0) {         getLog().info("Spring-Boot-Starter: the following dependencies will be removed from the starter: " + libsToRemove).         XPath xpath = XPathFactory.newInstance().newXPath().         Node dependency = ((NodeList) xpath.compile("/project/dependencies/dependency[artifactId/text() = '" + project.getArtifactId() + "']").evaluate(pom, XPathConstants.NODESET)).item(0).         Element exclusions = pom.createElement("exclusions").         dependency.appendChild(pom.createComment(GENERATED_SECTION_START)).         dependency.appendChild(exclusions).         dependency.appendChild(pom.createComment(GENERATED_SECTION_END)).         for (String lib : libsToRemove) {             String groupIdStr = lib.split("\\:")[0].             String artifactIdStr = lib.split("\\:")[1].             Element exclusion = pom.createElement("exclusion").             Element groupId = pom.createElement("groupId").             groupId.setTextContent(groupIdStr).             exclusion.appendChild(groupId).             Element artifactId = pom.createElement("artifactId").             artifactId.setTextContent(artifactIdStr).             exclusion.appendChild(artifactId).             exclusions.appendChild(exclusion).         }     } }
false;private;1;8;;private Set<String> filterIncludedArtifacts(Set<String> artifacts) {     Set<String> included = new TreeSet<>().     included.addAll(project.getArtifactMap().keySet()).     included.retainAll(artifacts).     return included. }
false;private;0;24;;private void synchronizeParentPom() throws Exception {     File pomFile = new File(allStartersDir(), "pom.xml").     DocumentBuilder builder = DocumentBuilderFactory.newInstance().newDocumentBuilder().     Document pom = builder.parse(pomFile).     XPath xpath = XPathFactory.newInstance().newXPath().     Node modules = ((NodeList) xpath.compile("/project/modules").evaluate(pom, XPathConstants.NODESET)).item(0).     // cleanup current modules     while (modules.hasChildNodes()) {         modules.removeChild(modules.getFirstChild()).     }     for (File starterDir : Arrays.asList(allStartersDir().listFiles((f, n) -> (new File(f, n)).isDirectory() && n.endsWith(SpringBootHelper.STARTER_SUFFIX) && (new File(new File(f, n), "pom.xml").exists()))).stream().sorted().collect(Collectors.toList())) {         Node module = pom.createElement("module").         module.setTextContent(starterDir.getName()).         modules.appendChild(module).     }     writeXmlFormatted(pom, pomFile). }
