commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String getName() {     return name. }
false;public;1;3;;public void setName(String name) {     this.name = name. }
false;public;0;3;;public String getDisplayName() {     return displayName. }
false;public;1;3;;public void setDisplayName(String displayName) {     this.displayName = displayName. }
false;public;0;3;;public String getKind() {     return kind. }
false;public;1;3;;public void setKind(String kind) {     this.kind = kind. }
false;public;0;3;;public String getType() {     return type. }
false;public;1;3;;public void setType(String type) {     this.type = type. }
false;public;0;3;;public String getJavaType() {     return javaType. }
false;public;1;3;;public void setJavaType(String javaType) {     this.javaType = javaType. }
false;public;0;3;;public String getDeprecated() {     return deprecated. }
false;public;1;3;;public void setDeprecated(String deprecated) {     this.deprecated = deprecated. }
false;public;0;3;;public String getDeprecationNote() {     return deprecationNote. }
false;public;1;3;;public void setDeprecationNote(String deprecationNote) {     this.deprecationNote = deprecationNote. }
false;public;0;3;;public String getDescription() {     return description. }
false;public;1;3;;public void setDescription(String description) {     this.description = description. }
false;public;0;3;;public String getDefaultValue() {     return defaultValue. }
false;public;1;3;;public void setDefaultValue(String defaultValue) {     this.defaultValue = defaultValue. }
false;public;0;3;;public String getEnumValues() {     return enumValues. }
false;public;1;3;;public void setEnumValues(String enumValues) {     this.enumValues = enumValues. }
false;public;0;3;;public String getShortJavaType() {     return StringHelper.getClassShortName(javaType). }
