commented;modifiers;parameterAmount;loc;comment;code
true;public;1;4;/**  * Sets the Elasticsearch version to be used. Required.  *  * @param version Elasticsearch version. E.g., "6".  */ ;/**  * Sets the Elasticsearch version to be used. Required.  *  * @param version Elasticsearch version. E.g., "6".  */ public Elasticsearch version(String version) {     internalProperties.putString(CONNECTOR_VERSION, version).     return this. }
true;public;3;9;/**  * Adds an Elasticsearch host to connect to. Required.  *  * <p>Multiple hosts can be declared by calling this method multiple times.  *  * @param hostname connection hostname  * @param port connection port  * @param protocol connection protocol. e.g. "http"  */ ;/**  * Adds an Elasticsearch host to connect to. Required.  *  * <p>Multiple hosts can be declared by calling this method multiple times.  *  * @param hostname connection hostname  * @param port connection port  * @param protocol connection protocol. e.g. "http"  */ public Elasticsearch host(String hostname, int port, String protocol) {     final Host host = new Host(Preconditions.checkNotNull(hostname), port, Preconditions.checkNotNull(protocol)).     hosts.add(host).     return this. }
true;public;1;4;/**  * Declares the Elasticsearch index for every record. Required.  *  * @param index Elasticsearch index  */ ;/**  * Declares the Elasticsearch index for every record. Required.  *  * @param index Elasticsearch index  */ public Elasticsearch index(String index) {     internalProperties.putString(CONNECTOR_INDEX, index).     return this. }
true;public;1;4;/**  * Declares the Elasticsearch document type for every record. Required.  *  * @param documentType Elasticsearch document type  */ ;/**  * Declares the Elasticsearch document type for every record. Required.  *  * @param documentType Elasticsearch document type  */ public Elasticsearch documentType(String documentType) {     internalProperties.putString(CONNECTOR_DOCUMENT_TYPE, documentType).     return this. }
true;public;1;4;/**  * Sets a custom key delimiter in case the Elasticsearch ID needs to be constructed from  * multiple fields. Optional.  *  * @param keyDelimiter key delimiter. e.g., "$" would result in IDs "KEY1$KEY2$KEY3"  */ ;/**  * Sets a custom key delimiter in case the Elasticsearch ID needs to be constructed from  * multiple fields. Optional.  *  * @param keyDelimiter key delimiter. e.g., "$" would result in IDs "KEY1$KEY2$KEY3"  */ public Elasticsearch keyDelimiter(String keyDelimiter) {     internalProperties.putString(CONNECTOR_KEY_DELIMITER, keyDelimiter).     return this. }
true;public;1;4;/**  * Sets a custom representation for null fields in keys. Optional.  *  * @param keyNullLiteral key null literal string. e.g. "N/A" would result in IDs "KEY1_N/A_KEY3"  */ ;/**  * Sets a custom representation for null fields in keys. Optional.  *  * @param keyNullLiteral key null literal string. e.g. "N/A" would result in IDs "KEY1_N/A_KEY3"  */ public Elasticsearch keyNullLiteral(String keyNullLiteral) {     internalProperties.putString(CONNECTOR_KEY_NULL_LITERAL, keyNullLiteral).     return this. }
true;public;0;4;/**  * Configures a failure handling strategy in case a request to Elasticsearch fails.  *  * <p>This strategy throws an exception if a request fails and thus causes a job failure.  */ ;/**  * Configures a failure handling strategy in case a request to Elasticsearch fails.  *  * <p>This strategy throws an exception if a request fails and thus causes a job failure.  */ public Elasticsearch failureHandlerFail() {     internalProperties.putString(CONNECTOR_FAILURE_HANDLER, ElasticsearchValidator.CONNECTOR_FAILURE_HANDLER_VALUE_FAIL).     return this. }
true;public;0;4;/**  * Configures a failure handling strategy in case a request to Elasticsearch fails.  *  * <p>This strategy ignores failures and drops the request.  */ ;/**  * Configures a failure handling strategy in case a request to Elasticsearch fails.  *  * <p>This strategy ignores failures and drops the request.  */ public Elasticsearch failureHandlerIgnore() {     internalProperties.putString(CONNECTOR_FAILURE_HANDLER, ElasticsearchValidator.CONNECTOR_FAILURE_HANDLER_VALUE_IGNORE).     return this. }
true;public;0;4;/**  * Configures a failure handling strategy in case a request to Elasticsearch fails.  *  * <p>This strategy re-adds requests that have failed due to queue capacity saturation.  */ ;/**  * Configures a failure handling strategy in case a request to Elasticsearch fails.  *  * <p>This strategy re-adds requests that have failed due to queue capacity saturation.  */ public Elasticsearch failureHandlerRetryRejected() {     internalProperties.putString(CONNECTOR_FAILURE_HANDLER, ElasticsearchValidator.CONNECTOR_FAILURE_HANDLER_VALUE_RETRY).     return this. }
true;public;1;5;/**  * Configures a failure handling strategy in case a request to Elasticsearch fails.  *  * <p>This strategy allows for custom failure handling using a {@link ActionRequestFailureHandler}.  */ ;/**  * Configures a failure handling strategy in case a request to Elasticsearch fails.  *  * <p>This strategy allows for custom failure handling using a {@link ActionRequestFailureHandler}.  */ public Elasticsearch failureHandlerCustom(Class<? extends ActionRequestFailureHandler> failureHandlerClass) {     internalProperties.putString(CONNECTOR_FAILURE_HANDLER, ElasticsearchValidator.CONNECTOR_FAILURE_HANDLER_VALUE_CUSTOM).     internalProperties.putClass(CONNECTOR_FAILURE_HANDLER_CLASS, failureHandlerClass).     return this. }
