commented;modifiers;parameterAmount;loc;comment;code
false;public;1;3;;public void setStreamName(String streamName) {     this.streamName = streamName. }
false;public;1;3;;public void setShardId(String shardId) {     this.shardId = shardId. }
false;public;1;3;;public void setParentShardId(String parentShardId) {     this.parentShardId = parentShardId. }
false;public;1;3;;public void setAdjacentParentShardId(String adjacentParentShardId) {     this.adjacentParentShardId = adjacentParentShardId. }
false;public;1;3;;public void setStartingHashKey(String startingHashKey) {     this.startingHashKey = startingHashKey. }
false;public;1;3;;public void setEndingHashKey(String endingHashKey) {     this.endingHashKey = endingHashKey. }
false;public;1;3;;public void setStartingSequenceNumber(String startingSequenceNumber) {     this.startingSequenceNumber = startingSequenceNumber. }
false;public;1;3;;public void setEndingSequenceNumber(String endingSequenceNumber) {     this.endingSequenceNumber = endingSequenceNumber. }
false;public;0;3;;public String getStreamName() {     return this.streamName. }
false;public;0;3;;public String getShardId() {     return this.shardId. }
false;public;0;3;;public String getParentShardId() {     return this.parentShardId. }
false;public;0;3;;public String getAdjacentParentShardId() {     return this.adjacentParentShardId. }
false;public;0;3;;public String getStartingHashKey() {     return this.startingHashKey. }
false;public;0;3;;public String getEndingHashKey() {     return this.endingHashKey. }
false;public;0;3;;public String getStartingSequenceNumber() {     return this.startingSequenceNumber. }
false;public;0;3;;public String getEndingSequenceNumber() {     return this.endingSequenceNumber. }
false;public;0;12;;@Override public String toString() {     return "StreamShardMetadata{" + "streamName='" + streamName + "'" + ", shardId='" + shardId + "'" + ", parentShardId='" + parentShardId + "'" + ", adjacentParentShardId='" + adjacentParentShardId + "'" + ", startingHashKey='" + startingHashKey + "'" + ", endingHashKey='" + endingHashKey + "'" + ", startingSequenceNumber='" + startingSequenceNumber + "'" + ", endingSequenceNumber='" + endingSequenceNumber + "'}". }
false;public;1;21;;@Override public boolean equals(Object obj) {     if (!(obj instanceof StreamShardMetadata)) {         return false.     }     if (obj == this) {         return true.     }     StreamShardMetadata other = (StreamShardMetadata) obj.     return streamName.equals(other.getStreamName()) && shardId.equals(other.getShardId()) && Objects.equals(parentShardId, other.getParentShardId()) && Objects.equals(adjacentParentShardId, other.getAdjacentParentShardId()) && Objects.equals(startingHashKey, other.getStartingHashKey()) && Objects.equals(endingHashKey, other.getEndingHashKey()) && Objects.equals(startingSequenceNumber, other.getStartingSequenceNumber()) && Objects.equals(endingSequenceNumber, other.getEndingSequenceNumber()). }
false;public;0;31;;@Override public int hashCode() {     int hash = 17.     if (streamName != null) {         hash = 37 * hash + streamName.hashCode().     }     if (shardId != null) {         hash = 37 * hash + shardId.hashCode().     }     if (parentShardId != null) {         hash = 37 * hash + parentShardId.hashCode().     }     if (adjacentParentShardId != null) {         hash = 37 * hash + adjacentParentShardId.hashCode().     }     if (startingHashKey != null) {         hash = 37 * hash + startingHashKey.hashCode().     }     if (endingHashKey != null) {         hash = 37 * hash + endingHashKey.hashCode().     }     if (startingSequenceNumber != null) {         hash = 37 * hash + startingSequenceNumber.hashCode().     }     if (endingSequenceNumber != null) {         hash = 37 * hash + endingSequenceNumber.hashCode().     }     return hash. }
false;public;1;15;;@Override public boolean equals(Object obj) {     if (!(obj instanceof EquivalenceWrapper)) {         return false.     }     if (obj == this) {         return true.     }     EquivalenceWrapper other = (EquivalenceWrapper) obj.     return shardMetadata.getStreamName().equals(other.shardMetadata.getStreamName()) && shardMetadata.getShardId().equals(other.shardMetadata.getShardId()). }
false;public;0;12;;@Override public int hashCode() {     int hash = 17.     if (shardMetadata.getStreamName() != null) {         hash = 37 * hash + shardMetadata.getStreamName().hashCode().     }     if (shardMetadata.getShardId() != null) {         hash = 37 * hash + shardMetadata.getShardId().hashCode().     }     return hash. }
false;public;0;3;;public StreamShardMetadata getShardMetadata() {     return shardMetadata. }
