commented;modifiers;parameterAmount;loc;comment;code
false;public;0;4;;@Override public boolean isImmutableType() {     return true. }
false;public;0;4;;@Override public Byte createInstance() {     return ZERO. }
false;public;1;4;;@Override public Byte copy(Byte from) {     return from. }
false;public;2;4;;@Override public Byte copy(Byte from, Byte reuse) {     return from. }
false;public;0;4;;@Override public int getLength() {     return 1. }
false;public;2;4;;@Override public void serialize(Byte record, DataOutputView target) throws IOException {     target.writeByte(record). }
false;public;1;4;;@Override public Byte deserialize(DataInputView source) throws IOException {     return source.readByte(). }
false;public;2;4;;@Override public Byte deserialize(Byte reuse, DataInputView source) throws IOException {     return deserialize(source). }
false;public;2;4;;@Override public void copy(DataInputView source, DataOutputView target) throws IOException {     target.writeByte(source.readByte()). }
false;public;0;4;;@Override public TypeSerializerSnapshot<Byte> snapshotConfiguration() {     return new ByteSerializerSnapshot(). }
