commented;modifiers;parameterAmount;loc;comment;code
true;public;0;3;/**  * Returns the value of the encapsulated char.  *  * @return the value of the encapsulated char.  */ ;/**  * Returns the value of the encapsulated char.  *  * @return the value of the encapsulated char.  */ public char getValue() {     return this.value. }
true;public;1;3;/**  * Sets the encapsulated char to the specified value.  *  * @param value  *        the new value of the encapsulated char.  */ ;/**  * Sets the encapsulated char to the specified value.  *  * @param value  *        the new value of the encapsulated char.  */ public void setValue(char value) {     this.value = value. }
false;public;1;4;;@Override public void setValue(CharValue value) {     this.value = value.value. }
false;public;0;4;;@Override public String toString() {     return String.valueOf(this.value). }
false;public;1;4;;// -------------------------------------------------------------------------------------------- @Override public void read(DataInputView in) throws IOException {     this.value = in.readChar(). }
false;public;1;4;;@Override public void write(DataOutputView out) throws IOException {     out.writeChar(this.value). }
false;public;1;5;;// -------------------------------------------------------------------------------------------- @Override public int compareTo(CharValue o) {     final int other = o.value.     return this.value < other ? -1 : this.value > other ? 1 : 0. }
false;public;0;4;;@Override public int hashCode() {     return this.value. }
false;public;1;7;;@Override public boolean equals(final Object obj) {     if (obj instanceof CharValue) {         return ((CharValue) obj).value == this.value.     }     return false. }
false;public;0;4;;// -------------------------------------------------------------------------------------------- @Override public int getMaxNormalizedKeyLen() {     return 2. }
false;public;3;23;;@Override public void copyNormalizedKey(MemorySegment target, int offset, int len) {     // that is equivalent to unsigned, when compared byte by byte     if (len == 2) {         // default case, full normalized key         target.put(offset, (byte) ((value >>> 8) & 0xff)).         target.put(offset + 1, (byte) ((value) & 0xff)).     } else if (len <= 0) {     } else if (len == 1) {         target.put(offset, (byte) ((value >>> 8) & 0xff)).     } else {         target.put(offset, (byte) ((value >>> 8) & 0xff)).         target.put(offset + 1, (byte) ((value) & 0xff)).         for (int i = 2. i < len. i++) {             target.put(offset + i, (byte) 0).         }     } }
false;public;0;4;;// -------------------------------------------------------------------------------------------- @Override public int getBinaryLength() {     return 2. }
false;public;1;4;;@Override public void copyTo(CharValue target) {     target.value = this.value. }
false;public;0;4;;@Override public CharValue copy() {     return new CharValue(this.value). }
false;public;2;4;;@Override public void copy(DataInputView source, DataOutputView target) throws IOException {     target.write(source, 2). }
