commented;modifiers;parameterAmount;loc;comment;code
true;public;2;4;/**  * Closes the delta iteration. This method defines the end of the delta iteration's function.  *  * @param solutionSetDelta The delta for the solution set. The delta will be merged into the solution set at the end of  *                         each iteration.  * @param newWorkset The new workset (feedback data set) that will be fed back to the next iteration.  * @return The DataSet that represents the result of the iteration, after the computation has terminated.  *  * @see DataSet#iterateDelta(DataSet, int, int...)  */ ;// -------------------------------------------------------------------------------------------- /**  * Closes the delta iteration. This method defines the end of the delta iteration's function.  *  * @param solutionSetDelta The delta for the solution set. The delta will be merged into the solution set at the end of  *                         each iteration.  * @param newWorkset The new workset (feedback data set) that will be fed back to the next iteration.  * @return The DataSet that represents the result of the iteration, after the computation has terminated.  *  * @see DataSet#iterateDelta(DataSet, int, int...)  */ public DataSet<ST> closeWith(DataSet<ST> solutionSetDelta, DataSet<WT> newWorkset) {     return new DeltaIterationResultSet<ST, WT>(initialSolutionSet.getExecutionEnvironment(), initialSolutionSet.getType(), initialWorkset.getType(), this, solutionSetDelta, newWorkset, keys, maxIterations). }
true;public;0;3;/**  * Gets the initial solution set. This is the data set on which the delta iteration was started.  *  * <p>Consider the following example:  * <pre>  * {@code  * DataSet<MyType> solutionSetData = ....  * DataSet<AnotherType> worksetData = ....  *  * DeltaIteration<MyType, AnotherType> iteration = solutionSetData.iteratorDelta(worksetData, 10, ...).  * }  * </pre>  * The <tt>solutionSetData</tt> would be the data set returned by {@code iteration.getInitialSolutionSet().}.  *  * @return The data set that forms the initial solution set.  */ ;/**  * Gets the initial solution set. This is the data set on which the delta iteration was started.  *  * <p>Consider the following example:  * <pre>  * {@code  * DataSet<MyType> solutionSetData = ....  * DataSet<AnotherType> worksetData = ....  *  * DeltaIteration<MyType, AnotherType> iteration = solutionSetData.iteratorDelta(worksetData, 10, ...).  * }  * </pre>  * The <tt>solutionSetData</tt> would be the data set returned by {@code iteration.getInitialSolutionSet().}.  *  * @return The data set that forms the initial solution set.  */ public DataSet<ST> getInitialSolutionSet() {     return initialSolutionSet. }
true;public;0;3;/**  * Gets the initial workset. This is the data set passed to the method that starts the delta  * iteration.  *  * <p>Consider the following example:  * <pre>  * {@code  * DataSet<MyType> solutionSetData = ....  * DataSet<AnotherType> worksetData = ....  *  * DeltaIteration<MyType, AnotherType> iteration = solutionSetData.iteratorDelta(worksetData, 10, ...).  * }  * </pre>  * The <tt>worksetData</tt> would be the data set returned by {@code iteration.getInitialWorkset().}.  *  * @return The data set that forms the initial workset.  */ ;/**  * Gets the initial workset. This is the data set passed to the method that starts the delta  * iteration.  *  * <p>Consider the following example:  * <pre>  * {@code  * DataSet<MyType> solutionSetData = ....  * DataSet<AnotherType> worksetData = ....  *  * DeltaIteration<MyType, AnotherType> iteration = solutionSetData.iteratorDelta(worksetData, 10, ...).  * }  * </pre>  * The <tt>worksetData</tt> would be the data set returned by {@code iteration.getInitialWorkset().}.  *  * @return The data set that forms the initial workset.  */ public DataSet<WT> getInitialWorkset() {     return initialWorkset. }
true;public;0;3;/**  * Gets the solution set of the delta iteration. The solution set represents the state that is kept across iterations.  *  * @return The solution set of the delta iteration.  */ ;/**  * Gets the solution set of the delta iteration. The solution set represents the state that is kept across iterations.  *  * @return The solution set of the delta iteration.  */ public SolutionSetPlaceHolder<ST> getSolutionSet() {     return solutionSetPlaceholder. }
true;public;0;3;/**  * Gets the working set of the delta iteration. The working set is constructed by the previous iteration.  *  * @return The working set of the delta iteration.  */ ;/**  * Gets the working set of the delta iteration. The working set is constructed by the previous iteration.  *  * @return The working set of the delta iteration.  */ public WorksetPlaceHolder<WT> getWorkset() {     return worksetPlaceholder. }
true;public;1;4;/**  * Sets the name for the iteration. The name is displayed in logs and messages.  *  * @param name The name for the iteration.  * @return The iteration object, for function call chaining.  */ ;/**  * Sets the name for the iteration. The name is displayed in logs and messages.  *  * @param name The name for the iteration.  * @return The iteration object, for function call chaining.  */ public DeltaIteration<ST, WT> name(String name) {     this.name = name.     return this. }
true;public;0;3;/**  * Gets the name from this iteration.  *  * @return The name of the iteration.  */ ;/**  * Gets the name from this iteration.  *  * @return The name of the iteration.  */ public String getName() {     return name. }
true;public;1;6;/**  * Sets the parallelism for the iteration.  *  * @param parallelism The parallelism.  * @return The iteration object, for function call chaining.  */ ;/**  * Sets the parallelism for the iteration.  *  * @param parallelism The parallelism.  * @return The iteration object, for function call chaining.  */ public DeltaIteration<ST, WT> parallelism(int parallelism) {     Preconditions.checkArgument(parallelism > 0 || parallelism == ExecutionConfig.PARALLELISM_DEFAULT, "The parallelism must be positive, or ExecutionConfig.PARALLELISM_DEFAULT (use default).").     this.parallelism = parallelism.     return this. }
true;public;0;3;/**  * Gets the iteration's parallelism.  *  * @return The iteration's parallelism, or {@link ExecutionConfig#PARALLELISM_DEFAULT} if not set.  */ ;/**  * Gets the iteration's parallelism.  *  * @return The iteration's parallelism, or {@link ExecutionConfig#PARALLELISM_DEFAULT} if not set.  */ public int getParallelism() {     return parallelism. }
true;private;2;11;/**  * Sets the minimum and preferred resources for the iteration. This overrides the default resources.  * The lower and upper resource limits will be considered in dynamic resource resize feature for future plan.  *  * @param minResources The minimum resources for the iteration.  * @param preferredResources The preferred resources for the iteration.  * @return The iteration with set minimum and preferred resources.  */ ;// --------------------------------------------------------------------------- // Fine-grained resource profiles are an incomplete work-in-progress feature // The setters are hence private at this point. // --------------------------------------------------------------------------- /**  * Sets the minimum and preferred resources for the iteration. This overrides the default resources.  * The lower and upper resource limits will be considered in dynamic resource resize feature for future plan.  *  * @param minResources The minimum resources for the iteration.  * @param preferredResources The preferred resources for the iteration.  * @return The iteration with set minimum and preferred resources.  */ private DeltaIteration<ST, WT> setResources(ResourceSpec minResources, ResourceSpec preferredResources) {     Preconditions.checkNotNull(minResources, "The min resources must be not null.").     Preconditions.checkNotNull(preferredResources, "The preferred resources must be not null.").     Preconditions.checkArgument(minResources.isValid() && preferredResources.isValid() && minResources.lessThanOrEqual(preferredResources), "The values in resources must be not less than 0 and the preferred resources must be greater than the min resources.").     this.minResources = minResources.     this.preferredResources = preferredResources.     return this. }
