commented;modifiers;parameterAmount;loc;comment;code
true;public,static;1;41;/**  * Returns {@link ParameterTool} for the given arguments. The arguments are keys followed by values.  * Keys have to start with '-' or '--'  *  * <p><strong>Example arguments:</strong>  * --key1 value1 --key2 value2 -key3 value3  *  * @param args Input array arguments  * @return A {@link ParameterTool}  */ ;// ------------------ Constructors ------------------------ /**  * Returns {@link ParameterTool} for the given arguments. The arguments are keys followed by values.  * Keys have to start with '-' or '--'  *  * <p><strong>Example arguments:</strong>  * --key1 value1 --key2 value2 -key3 value3  *  * @param args Input array arguments  * @return A {@link ParameterTool}  */ public static ParameterTool fromArgs(String[] args) {     final Map<String, String> map = new HashMap<>(args.length / 2).     int i = 0.     while (i < args.length) {         final String key.         if (args[i].startsWith("--")) {             key = args[i].substring(2).         } else if (args[i].startsWith("-")) {             key = args[i].substring(1).         } else {             throw new IllegalArgumentException(String.format("Error parsing arguments '%s' on '%s'. Please prefix keys with -- or -.", Arrays.toString(args), args[i])).         }         if (key.isEmpty()) {             throw new IllegalArgumentException("The input " + Arrays.toString(args) + " contains an empty argument").         }         // try to find the value         i += 1.         if (i >= args.length) {             map.put(key, NO_VALUE_KEY).         } else if (NumberUtils.isNumber(args[i])) {             map.put(key, args[i]).             i += 1.         } else if (args[i].startsWith("--") || args[i].startsWith("-")) {             // the argument cannot be a negative number because we checked earlier             // -> the next argument is a parameter name             map.put(key, NO_VALUE_KEY).         } else {             map.put(key, args[i]).             i += 1.         }     }     return fromMap(map). }
true;public,static;1;4;/**  * Returns {@link ParameterTool} for the given {@link Properties} file.  *  * @param path Path to the properties file  * @return A {@link ParameterTool}  * @throws IOException If the file does not exist  * @see Properties  */ ;/**  * Returns {@link ParameterTool} for the given {@link Properties} file.  *  * @param path Path to the properties file  * @return A {@link ParameterTool}  * @throws IOException If the file does not exist  * @see Properties  */ public static ParameterTool fromPropertiesFile(String path) throws IOException {     File propertiesFile = new File(path).     return fromPropertiesFile(propertiesFile). }
true;public,static;1;8;/**  * Returns {@link ParameterTool} for the given {@link Properties} file.  *  * @param file File object to the properties file  * @return A {@link ParameterTool}  * @throws IOException If the file does not exist  * @see Properties  */ ;/**  * Returns {@link ParameterTool} for the given {@link Properties} file.  *  * @param file File object to the properties file  * @return A {@link ParameterTool}  * @throws IOException If the file does not exist  * @see Properties  */ public static ParameterTool fromPropertiesFile(File file) throws IOException {     if (!file.exists()) {         throw new FileNotFoundException("Properties file " + file.getAbsolutePath() + " does not exist").     }     try (FileInputStream fis = new FileInputStream(file)) {         return fromPropertiesFile(fis).     } }
true;public,static;1;5;/**  * Returns {@link ParameterTool} for the given InputStream from {@link Properties} file.  *  * @param inputStream InputStream from the properties file  * @return A {@link ParameterTool}  * @throws IOException If the file does not exist  * @see Properties  */ ;/**  * Returns {@link ParameterTool} for the given InputStream from {@link Properties} file.  *  * @param inputStream InputStream from the properties file  * @return A {@link ParameterTool}  * @throws IOException If the file does not exist  * @see Properties  */ public static ParameterTool fromPropertiesFile(InputStream inputStream) throws IOException {     Properties props = new Properties().     props.load(inputStream).     return fromMap((Map) props). }
true;public,static;1;4;/**  * Returns {@link ParameterTool} for the given map.  *  * @param map A map of arguments. Both Key and Value have to be Strings  * @return A {@link ParameterTool}  */ ;/**  * Returns {@link ParameterTool} for the given map.  *  * @param map A map of arguments. Both Key and Value have to be Strings  * @return A {@link ParameterTool}  */ public static ParameterTool fromMap(Map<String, String> map) {     Preconditions.checkNotNull(map, "Unable to initialize from empty map").     return new ParameterTool(map). }
true;public,static;0;3;/**  * Returns {@link ParameterTool} from the system properties.  * Example on how to pass system properties:  * -Dkey1=value1 -Dkey2=value2  *  * @return A {@link ParameterTool}  */ ;/**  * Returns {@link ParameterTool} from the system properties.  * Example on how to pass system properties:  * -Dkey1=value1 -Dkey2=value2  *  * @return A {@link ParameterTool}  */ public static ParameterTool fromSystemProperties() {     return fromMap((Map) System.getProperties()). }
false;public;1;13;;@Override public boolean equals(Object o) {     if (this == o) {         return true.     }     if (o == null || getClass() != o.getClass()) {         return false.     }     ParameterTool that = (ParameterTool) o.     return Objects.equals(data, that.data) && Objects.equals(defaultData, that.defaultData) && Objects.equals(unrequestedParameters, that.unrequestedParameters). }
false;public;0;4;;@Override public int hashCode() {     return Objects.hash(data, defaultData, unrequestedParameters). }
true;public;0;4;/**  * Returns the set of parameter names which have not been requested with  * {@link #has(String)} or one of the {@code get} methods. Access to the  * map returned by {@link #toMap()} is not tracked.  */ ;/**  * Returns the set of parameter names which have not been requested with  * {@link #has(String)} or one of the {@code get} methods. Access to the  * map returned by {@link #toMap()} is not tracked.  */ @PublicEvolving public Set<String> getUnrequestedParameters() {     return Collections.unmodifiableSet(unrequestedParameters). }
true;public;0;3;/**  * Returns number of parameters in {@link ParameterTool}.  */ ;// ------------------ Get data from the util ---------------- /**  * Returns number of parameters in {@link ParameterTool}.  */ public int getNumberOfParameters() {     return data.size(). }
