commented;modifiers;parameterAmount;loc;comment;code
false;public;0;4;;@Override public boolean isImmutableType() {     return false. }
false;public;0;4;;@Override public ShortValueArray createInstance() {     return new ShortValueArray(). }
false;public;1;4;;@Override public ShortValueArray copy(ShortValueArray from) {     return copy(from, new ShortValueArray()). }
false;public;2;5;;@Override public ShortValueArray copy(ShortValueArray from, ShortValueArray reuse) {     reuse.setValue(from).     return reuse. }
false;public;0;4;;@Override public int getLength() {     return -1. }
false;public;2;4;;@Override public void serialize(ShortValueArray record, DataOutputView target) throws IOException {     record.write(target). }
false;public;1;4;;@Override public ShortValueArray deserialize(DataInputView source) throws IOException {     return deserialize(new ShortValueArray(), source). }
false;public;2;5;;@Override public ShortValueArray deserialize(ShortValueArray reuse, DataInputView source) throws IOException {     reuse.read(source).     return reuse. }
false;public;2;4;;@Override public void copy(DataInputView source, DataOutputView target) throws IOException {     ShortValueArray.copyInternal(source, target). }
false;public;0;4;;// ------------------------------------------------------------------------ @Override public TypeSerializerSnapshot<ShortValueArray> snapshotConfiguration() {     return new ShortValueArraySerializerSnapshot(). }
