commented;modifiers;parameterAmount;loc;comment;code
true;public;0;4;/**  * Gets the source of this Channel.  *  * @return The source.  */ ;// -------------------------------------------------------------------------------------------- // Accessors // -------------------------------------------------------------------------------------------- /**  * Gets the source of this Channel.  *  * @return The source.  */ @Override public PlanNode getSource() {     return this.source. }
false;public;1;3;;public void setSource(PlanNode source) {     this.source = source. }
true;public;1;3;/**  * Sets the target of this Channel.  *  * @param target The target.  */ ;/**  * Sets the target of this Channel.  *  * @param target The target.  */ public void setTarget(PlanNode target) {     this.target = target. }
true;public;0;3;/**  * Gets the target of this Channel.  *  * @return The target.  */ ;/**  * Gets the target of this Channel.  *  * @return The target.  */ public PlanNode getTarget() {     return this.target. }
false;public;2;3;;public void setShipStrategy(ShipStrategyType strategy, DataExchangeMode dataExchangeMode) {     setShipStrategy(strategy, null, null, null, dataExchangeMode). }
false;public;3;3;;public void setShipStrategy(ShipStrategyType strategy, FieldList keys, DataExchangeMode dataExchangeMode) {     setShipStrategy(strategy, keys, null, null, dataExchangeMode). }
false;public;4;4;;public void setShipStrategy(ShipStrategyType strategy, FieldList keys, boolean[] sortDirection, DataExchangeMode dataExchangeMode) {     setShipStrategy(strategy, keys, sortDirection, null, dataExchangeMode). }
false;public;4;4;;public void setShipStrategy(ShipStrategyType strategy, FieldList keys, Partitioner<?> partitioner, DataExchangeMode dataExchangeMode) {     setShipStrategy(strategy, keys, null, partitioner, dataExchangeMode). }
false;public;5;10;;public void setShipStrategy(ShipStrategyType strategy, FieldList keys, boolean[] sortDirection, Partitioner<?> partitioner, DataExchangeMode dataExchangeMode) {     this.shipStrategy = strategy.     this.shipKeys = keys.     this.shipSortOrder = sortDirection.     this.partitioner = partitioner.     this.dataExchangeMode = dataExchangeMode.     // reset the global properties     this.globalProps = null. }
true;public;1;3;/**  * Sets the data exchange mode (batch / pipelined) to use for the data  * exchange of this channel.  */ ;/**  * Sets the data exchange mode (batch / pipelined) to use for the data  * exchange of this channel.  */ public void setDataExchangeMode(DataExchangeMode dataExchangeMode) {     this.dataExchangeMode = checkNotNull(dataExchangeMode). }
true;public;0;3;/**  * Gets the data exchange mode (batch / pipelined) to use for the data  * exchange of this channel.  *  * @return The data exchange mode of this channel.  */ ;/**  * Gets the data exchange mode (batch / pipelined) to use for the data  * exchange of this channel.  *  * @return The data exchange mode of this channel.  */ public DataExchangeMode getDataExchangeMode() {     return dataExchangeMode. }
