commented;modifiers;parameterAmount;loc;comment;code
true;public;0;3;/**  * Returns the JobID the KvState instance belongs to.  *  * @return JobID the KvState instance belongs to  */ ;/**  * Returns the JobID the KvState instance belongs to.  *  * @return JobID the KvState instance belongs to  */ public JobID getJobId() {     return jobId. }
true;public;0;3;/**  * Returns the name under which the KvState has been registered.  *  * @return Name under which the KvState has been registered  */ ;/**  * Returns the name under which the KvState has been registered.  *  * @return Name under which the KvState has been registered  */ public String getRegistrationName() {     return registrationName. }
false;public;0;7;;@Override public String toString() {     return "LookupKvStateLocation{" + "jobId=" + jobId + ", registrationName='" + registrationName + '\'' + '}'. }
true;public;0;3;/**  * Returns the JobID the KvState instance belongs to.  *  * @return JobID the KvState instance belongs to  */ ;/**  * Returns the JobID the KvState instance belongs to.  *  * @return JobID the KvState instance belongs to  */ public JobID getJobId() {     return jobId. }
true;public;0;3;/**  * Returns the JobVertexID the KvState instance belongs to.  *  * @return JobVertexID the KvState instance belongs to  */ ;/**  * Returns the JobVertexID the KvState instance belongs to.  *  * @return JobVertexID the KvState instance belongs to  */ public JobVertexID getJobVertexId() {     return jobVertexId. }
true;public;0;3;/**  * Returns the key group index the KvState instance belongs to.  *  * @return Key group index the KvState instance belongs to  */ ;/**  * Returns the key group index the KvState instance belongs to.  *  * @return Key group index the KvState instance belongs to  */ public KeyGroupRange getKeyGroupRange() {     return keyGroupRange. }
true;public;0;3;/**  * Returns the name under which the KvState has been registered.  *  * @return Name under which the KvState has been registered  */ ;/**  * Returns the name under which the KvState has been registered.  *  * @return Name under which the KvState has been registered  */ public String getRegistrationName() {     return registrationName. }
true;public;0;3;/**  * Returns the ID of the registered KvState instance.  *  * @return ID of the registered KvState instance  */ ;/**  * Returns the ID of the registered KvState instance.  *  * @return ID of the registered KvState instance  */ public KvStateID getKvStateId() {     return kvStateId. }
true;public;0;3;/**  * Returns the server address where to find the KvState instance.  *  * @return Server address where to find the KvState instance  */ ;/**  * Returns the server address where to find the KvState instance.  *  * @return Server address where to find the KvState instance  */ public InetSocketAddress getKvStateServerAddress() {     return kvStateServerAddress. }
false;public;0;11;;@Override public String toString() {     return "NotifyKvStateRegistered{" + "jobId=" + jobId + ", jobVertexId=" + jobVertexId + ", keyGroupRange=" + keyGroupRange + ", registrationName='" + registrationName + '\'' + ", kvStateId=" + kvStateId + ", kvStateServerAddress=" + kvStateServerAddress + '}'. }
true;public;0;3;/**  * Returns the JobID the KvState instance belongs to.  *  * @return JobID the KvState instance belongs to  */ ;/**  * Returns the JobID the KvState instance belongs to.  *  * @return JobID the KvState instance belongs to  */ public JobID getJobId() {     return jobId. }
true;public;0;3;/**  * Returns the JobVertexID the KvState instance belongs to.  *  * @return JobVertexID the KvState instance belongs to  */ ;/**  * Returns the JobVertexID the KvState instance belongs to.  *  * @return JobVertexID the KvState instance belongs to  */ public JobVertexID getJobVertexId() {     return jobVertexId. }
true;public;0;3;/**  * Returns the key group index the KvState instance belongs to.  *  * @return Key group index the KvState instance belongs to  */ ;/**  * Returns the key group index the KvState instance belongs to.  *  * @return Key group index the KvState instance belongs to  */ public KeyGroupRange getKeyGroupRange() {     return keyGroupRange. }
true;public;0;3;/**  * Returns the name under which the KvState has been registered.  *  * @return Name under which the KvState has been registered  */ ;/**  * Returns the name under which the KvState has been registered.  *  * @return Name under which the KvState has been registered  */ public String getRegistrationName() {     return registrationName. }
false;public;0;9;;@Override public String toString() {     return "NotifyKvStateUnregistered{" + "jobId=" + jobId + ", jobVertexId=" + jobVertexId + ", keyGroupRange=" + keyGroupRange + ", registrationName='" + registrationName + '\'' + '}'. }
