# id;timestamp;commentText;codeText;commentWords;codeWords
ResourceManagerServices -> Executor getMainThreadExecutor()_;1482522861;Gets the executor which executes in the main thread of the ResourceManager;Executor getMainThreadExecutor()_;gets,the,executor,which,executes,in,the,main,thread,of,the,resource,manager;executor,get,main,thread,executor
ResourceManagerServices -> Executor getMainThreadExecutor()_;1482522862;Gets the executor which executes in the main thread of the ResourceManager;Executor getMainThreadExecutor()_;gets,the,executor,which,executes,in,the,main,thread,of,the,resource,manager;executor,get,main,thread,executor
ResourceManagerServices -> Executor getMainThreadExecutor()_;1482522863;Gets the executor which executes in the main thread of the ResourceManager;Executor getMainThreadExecutor()_;gets,the,executor,which,executes,in,the,main,thread,of,the,resource,manager;executor,get,main,thread,executor
ResourceManagerServices -> UUID getLeaderID()_;1482522862;Gets the current leader id assigned at the ResourceManager.;UUID getLeaderID()_;gets,the,current,leader,id,assigned,at,the,resource,manager;uuid,get,leader,id
ResourceManagerServices -> UUID getLeaderID()_;1482522863;Gets the current leader id assigned at the ResourceManager.;UUID getLeaderID()_;gets,the,current,leader,id,assigned,at,the,resource,manager;uuid,get,leader,id
ResourceManagerServices -> void allocateResource(ResourceProfile resourceProfile)_;1482522861;Allocates a resource according to the resource profile.;void allocateResource(ResourceProfile resourceProfile)_;allocates,a,resource,according,to,the,resource,profile;void,allocate,resource,resource,profile,resource,profile
ResourceManagerServices -> void allocateResource(ResourceProfile resourceProfile)_;1482522861;Allocates a resource according to the resource profile.;void allocateResource(ResourceProfile resourceProfile)_;allocates,a,resource,according,to,the,resource,profile;void,allocate,resource,resource,profile,resource,profile
ResourceManagerServices -> void allocateResource(ResourceProfile resourceProfile)_;1482522862;Allocates a resource according to the resource profile.;void allocateResource(ResourceProfile resourceProfile)_;allocates,a,resource,according,to,the,resource,profile;void,allocate,resource,resource,profile,resource,profile
ResourceManagerServices -> void allocateResource(ResourceProfile resourceProfile)_;1482522863;Allocates a resource according to the resource profile.;void allocateResource(ResourceProfile resourceProfile)_;allocates,a,resource,according,to,the,resource,profile;void,allocate,resource,resource,profile,resource,profile
ResourceManagerServices -> Executor getAsyncExecutor()_;1482522861;Gets the async excutor which executes outside of the main thread of the ResourceManager;Executor getAsyncExecutor()_;gets,the,async,excutor,which,executes,outside,of,the,main,thread,of,the,resource,manager;executor,get,async,executor
ResourceManagerServices -> Executor getAsyncExecutor()_;1482522861;Gets the async excutor which executes outside of the main thread of the ResourceManager;Executor getAsyncExecutor()_;gets,the,async,excutor,which,executes,outside,of,the,main,thread,of,the,resource,manager;executor,get,async,executor
ResourceManagerServices -> Executor getAsyncExecutor()_;1482522862;Gets the async excutor which executes outside of the main thread of the ResourceManager;Executor getAsyncExecutor()_;gets,the,async,excutor,which,executes,outside,of,the,main,thread,of,the,resource,manager;executor,get,async,executor
ResourceManagerServices -> Executor getAsyncExecutor()_;1482522863;Gets the async executor which executes outside of the main thread of the ResourceManager;Executor getAsyncExecutor()_;gets,the,async,executor,which,executes,outside,of,the,main,thread,of,the,resource,manager;executor,get,async,executor
