commented;modifiers;parameterAmount;loc;comment;code
true;public;0;3;/**  * Returns the rpc endpoint's identifier.  *  * @return Rpc endpoint's identifier.  */ ;/**  * Returns the rpc endpoint's identifier.  *  * @return Rpc endpoint's identifier.  */ public String getEndpointId() {     return endpointId. }
true;public,final;0;3;/**  * Starts the rpc endpoint. This tells the underlying rpc server that the rpc endpoint is ready  * to process remote procedure calls.  *  * @throws Exception indicating that something went wrong while starting the RPC endpoint  */ ;// ------------------------------------------------------------------------ // Start & shutdown & lifecycle callbacks // ------------------------------------------------------------------------ /**  * Starts the rpc endpoint. This tells the underlying rpc server that the rpc endpoint is ready  * to process remote procedure calls.  *  * @throws Exception indicating that something went wrong while starting the RPC endpoint  */ public final void start() {     rpcServer.start(). }
true;public;0;1;/**  * User overridable callback.  *  * <p>This method is called when the RpcEndpoint is being started. The method is guaranteed  * to be executed in the main thread context and can be used to start the rpc endpoint in the  * context of the rpc endpoint's main thread.  *  * <p>IMPORTANT: This method should never be called directly by the user.  * @throws Exception indicating that the rpc endpoint could not be started. If an exception occurs,  * then the rpc endpoint will automatically terminate.  */ ;/**  * User overridable callback.  *  * <p>This method is called when the RpcEndpoint is being started. The method is guaranteed  * to be executed in the main thread context and can be used to start the rpc endpoint in the  * context of the rpc endpoint's main thread.  *  * <p>IMPORTANT: This method should never be called directly by the user.  * @throws Exception indicating that the rpc endpoint could not be started. If an exception occurs,  * then the rpc endpoint will automatically terminate.  */ public void onStart() throws Exception { }
true;protected,final;0;3;/**  * Stops the rpc endpoint. This tells the underlying rpc server that the rpc endpoint is  * no longer ready to process remote procedure calls.  */ ;/**  * Stops the rpc endpoint. This tells the underlying rpc server that the rpc endpoint is  * no longer ready to process remote procedure calls.  */ protected final void stop() {     rpcServer.stop(). }
true;public;0;3;/**  * User overridable callback.  *  * <p>This method is called when the RpcEndpoint is being shut down. The method is guaranteed  * to be executed in the main thread context and can be used to clean up internal state.  *  * <p>IMPORTANT: This method should never be called directly by the user.  *  * @return Future which is completed once all post stop actions are completed. If an error  * occurs this future is completed exceptionally  */ ;/**  * User overridable callback.  *  * <p>This method is called when the RpcEndpoint is being shut down. The method is guaranteed  * to be executed in the main thread context and can be used to clean up internal state.  *  * <p>IMPORTANT: This method should never be called directly by the user.  *  * @return Future which is completed once all post stop actions are completed. If an error  * occurs this future is completed exceptionally  */ public CompletableFuture<Void> onStop() {     return CompletableFuture.completedFuture(null). }
true;public,final;0;5;/**  * Triggers the shut down of the rpc endpoint. The shut down is executed asynchronously.  *  * <p>In order to wait on the completion of the shut down, obtain the termination future  * via {@link #getTerminationFuture()}} and wait on its completion.  */ ;/**  * Triggers the shut down of the rpc endpoint. The shut down is executed asynchronously.  *  * <p>In order to wait on the completion of the shut down, obtain the termination future  * via {@link #getTerminationFuture()}} and wait on its completion.  */ @Override public final CompletableFuture<Void> closeAsync() {     rpcService.stopServer(rpcServer).     return getTerminationFuture(). }
true;public;1;10;/**  * Returns a self gateway of the specified type which can be used to issue asynchronous  * calls against the RpcEndpoint.  *  * <p>IMPORTANT: The self gateway type must be implemented by the RpcEndpoint. Otherwise  * the method will fail.  *  * @param selfGatewayType class of the self gateway type  * @param <C> type of the self gateway to create  * @return Self gateway of the specified type which can be used to issue asynchronous rpcs  */ ;// ------------------------------------------------------------------------ // Basic RPC endpoint properties // ------------------------------------------------------------------------ /**  * Returns a self gateway of the specified type which can be used to issue asynchronous  * calls against the RpcEndpoint.  *  * <p>IMPORTANT: The self gateway type must be implemented by the RpcEndpoint. Otherwise  * the method will fail.  *  * @param selfGatewayType class of the self gateway type  * @param <C> type of the self gateway to create  * @return Self gateway of the specified type which can be used to issue asynchronous rpcs  */ public <C extends RpcGateway> C getSelfGateway(Class<C> selfGatewayType) {     if (selfGatewayType.isInstance(rpcServer)) {         @SuppressWarnings("unchecked")         C selfGateway = ((C) rpcServer).         return selfGateway.     } else {         throw new RuntimeException("RpcEndpoint does not implement the RpcGateway interface of type " + selfGatewayType + '.').     } }
true;public;0;4;/**  * Gets the address of the underlying RPC endpoint. The address should be fully qualified so that  * a remote system can connect to this RPC endpoint via this address.  *  * @return Fully qualified address of the underlying RPC endpoint  */ ;/**  * Gets the address of the underlying RPC endpoint. The address should be fully qualified so that  * a remote system can connect to this RPC endpoint via this address.  *  * @return Fully qualified address of the underlying RPC endpoint  */ @Override public String getAddress() {     return rpcServer.getAddress(). }
true;public;0;4;/**  * Gets the hostname of the underlying RPC endpoint.  *  * @return Hostname on which the RPC endpoint is running  */ ;/**  * Gets the hostname of the underlying RPC endpoint.  *  * @return Hostname on which the RPC endpoint is running  */ @Override public String getHostname() {     return rpcServer.getHostname(). }
true;protected;0;3;/**  * Gets the main thread execution context. The main thread execution context can be used to  * execute tasks in the main thread of the underlying RPC endpoint.  *  * @return Main thread execution context  */ ;/**  * Gets the main thread execution context. The main thread execution context can be used to  * execute tasks in the main thread of the underlying RPC endpoint.  *  * @return Main thread execution context  */ protected MainThreadExecutor getMainThreadExecutor() {     return mainThreadExecutor. }
