commented;modifiers;parameterAmount;loc;comment;code
true;public;0;3;/**  * Gets the name of the current data stream. This name is  * used by the visualization and logging during runtime.  *  * @return Name of the stream.  */ ;/**  * Gets the name of the current data stream. This name is  * used by the visualization and logging during runtime.  *  * @return Name of the stream.  */ public String getName() {     return transformation.getName(). }
true;public;1;4;/**  * Sets the name of the current data stream. This name is  * used by the visualization and logging during runtime.  *  * @return The named operator.  */ ;/**  * Sets the name of the current data stream. This name is  * used by the visualization and logging during runtime.  *  * @return The named operator.  */ public SingleOutputStreamOperator<T> name(String name) {     transformation.setName(name).     return this. }
true;public;1;5;/**  * Sets an ID for this operator.  *  * <p>The specified ID is used to assign the same operator ID across job  * submissions (for example when starting a job from a savepoint).  *  * <p><strong>Important</strong>: this ID needs to be unique per  * transformation and job. Otherwise, job submission will fail.  *  * @param uid The unique user-specified ID of this transformation.  * @return The operator with the specified ID.  */ ;/**  * Sets an ID for this operator.  *  * <p>The specified ID is used to assign the same operator ID across job  * submissions (for example when starting a job from a savepoint).  *  * <p><strong>Important</strong>: this ID needs to be unique per  * transformation and job. Otherwise, job submission will fail.  *  * @param uid The unique user-specified ID of this transformation.  * @return The operator with the specified ID.  */ @PublicEvolving public SingleOutputStreamOperator<T> uid(String uid) {     transformation.setUid(uid).     return this. }
true;public;1;5;/**  * Sets an user provided hash for this operator. This will be used AS IS the create the  * JobVertexID.  *  * <p>The user provided hash is an alternative to the generated hashes, that is considered when  * identifying an operator through the default hash mechanics fails (e.g. because of changes  * between Flink versions).  *  * <p><strong>Important</strong>: this should be used as a workaround or for trouble shooting.  * The provided hash needs to be unique per transformation and job. Otherwise, job submission  * will fail. Furthermore, you cannot assign user-specified hash to intermediate nodes in an  * operator chain and trying so will let your job fail.  *  * <p>A use case for this is in migration between Flink versions or changing the jobs in a way  * that changes the automatically generated hashes. In this case, providing the previous hashes  * directly through this method (e.g. obtained from old logs) can help to reestablish a lost  * mapping from states to their target operator.  * <p/>  *  * @param uidHash The user provided hash for this operator. This will become the JobVertexID,  *                  which is shown in the logs and web ui.  * @return The operator with the user provided hash.  */ ;/**  * Sets an user provided hash for this operator. This will be used AS IS the create the  * JobVertexID.  *  * <p>The user provided hash is an alternative to the generated hashes, that is considered when  * identifying an operator through the default hash mechanics fails (e.g. because of changes  * between Flink versions).  *  * <p><strong>Important</strong>: this should be used as a workaround or for trouble shooting.  * The provided hash needs to be unique per transformation and job. Otherwise, job submission  * will fail. Furthermore, you cannot assign user-specified hash to intermediate nodes in an  * operator chain and trying so will let your job fail.  *  * <p>A use case for this is in migration between Flink versions or changing the jobs in a way  * that changes the automatically generated hashes. In this case, providing the previous hashes  * directly through this method (e.g. obtained from old logs) can help to reestablish a lost  * mapping from states to their target operator.  * <p/>  *  * @param uidHash The user provided hash for this operator. This will become the JobVertexID,  *                  which is shown in the logs and web ui.  * @return The operator with the user provided hash.  */ @PublicEvolving public SingleOutputStreamOperator<T> setUidHash(String uidHash) {     transformation.setUidHash(uidHash).     return this. }
true;public;1;8;/**  * Sets the parallelism for this operator.  *  * @param parallelism  *            The parallelism for this operator.  * @return The operator with set parallelism.  */ ;/**  * Sets the parallelism for this operator.  *  * @param parallelism  *            The parallelism for this operator.  * @return The operator with set parallelism.  */ public SingleOutputStreamOperator<T> setParallelism(int parallelism) {     Preconditions.checkArgument(canBeParallel() || parallelism == 1, "The parallelism of non parallel operator must be 1.").     transformation.setParallelism(parallelism).     return this. }
true;public;1;12;/**  * Sets the maximum parallelism of this operator.  *  * <p>The maximum parallelism specifies the upper bound for dynamic scaling. It also defines the  * number of key groups used for partitioned state.  *  * @param maxParallelism Maximum parallelism  * @return The operator with set maximum parallelism  */ ;/**  * Sets the maximum parallelism of this operator.  *  * <p>The maximum parallelism specifies the upper bound for dynamic scaling. It also defines the  * number of key groups used for partitioned state.  *  * @param maxParallelism Maximum parallelism  * @return The operator with set maximum parallelism  */ @PublicEvolving public SingleOutputStreamOperator<T> setMaxParallelism(int maxParallelism) {     Preconditions.checkArgument(maxParallelism > 0, "The maximum parallelism must be greater than 0.").     Preconditions.checkArgument(canBeParallel() || maxParallelism == 1, "The maximum parallelism of non parallel operator must be 1.").     transformation.setMaxParallelism(maxParallelism).     return this. }
true;private;2;10;/**  * Sets the minimum and preferred resources for this operator, and the lower and upper resource limits will  * be considered in dynamic resource resize feature for future plan.  *  * @param minResources The minimum resources for this operator.  * @param preferredResources The preferred resources for this operator.  * @return The operator with set minimum and preferred resources.  */ ;// --------------------------------------------------------------------------- // Fine-grained resource profiles are an incomplete work-in-progress feature // The setters are hence private at this point. // --------------------------------------------------------------------------- /**  * Sets the minimum and preferred resources for this operator, and the lower and upper resource limits will  * be considered in dynamic resource resize feature for future plan.  *  * @param minResources The minimum resources for this operator.  * @param preferredResources The preferred resources for this operator.  * @return The operator with set minimum and preferred resources.  */ private SingleOutputStreamOperator<T> setResources(ResourceSpec minResources, ResourceSpec preferredResources) {     Preconditions.checkNotNull(minResources, "The min resources must be not null.").     Preconditions.checkNotNull(preferredResources, "The preferred resources must be not null.").     Preconditions.checkArgument(minResources.isValid() && preferredResources.isValid() && minResources.lessThanOrEqual(preferredResources), "The values in resources must be not less than 0 and the preferred resources must be greater than the min resources.").     transformation.setResources(minResources, preferredResources).     return this. }
true;private;1;8;/**  * Sets the resources for this operator, the minimum and preferred resources are the same by default.  *  * @param resources The resources for this operator.  * @return The operator with set minimum and preferred resources.  */ ;/**  * Sets the resources for this operator, the minimum and preferred resources are the same by default.  *  * @param resources The resources for this operator.  * @return The operator with set minimum and preferred resources.  */ private SingleOutputStreamOperator<T> setResources(ResourceSpec resources) {     Preconditions.checkNotNull(resources, "The resources must be not null.").     Preconditions.checkArgument(resources.isValid(), "The values in resources must be not less than 0.").     transformation.setResources(resources, resources).     return this. }
false;private;0;3;;private boolean canBeParallel() {     return !nonParallel. }
true;public;0;7;/**  * Sets the parallelism and maximum parallelism of this operator to one.  * And mark this operator cannot set a non-1 degree of parallelism.  *  * @return The operator with only one parallelism.  */ ;/**  * Sets the parallelism and maximum parallelism of this operator to one.  * And mark this operator cannot set a non-1 degree of parallelism.  *  * @return The operator with only one parallelism.  */ @PublicEvolving public SingleOutputStreamOperator<T> forceNonParallel() {     transformation.setParallelism(1).     transformation.setMaxParallelism(1).     nonParallel = true.     return this. }
