# id;timestamp;commentText;codeText;commentWords;codeWords
LatencyMarker -> public long getMarkedTime();1476448412;Returns the timestamp marked by the LatencyMarker;public long getMarkedTime() {_		return markedTime__	};returns,the,timestamp,marked,by,the,latency,marker;public,long,get,marked,time,return,marked,time
LatencyMarker -> public long getMarkedTime();1493195810;Returns the timestamp marked by the LatencyMarker.;public long getMarkedTime() {_		return markedTime__	};returns,the,timestamp,marked,by,the,latency,marker;public,long,get,marked,time,return,marked,time
LatencyMarker -> public long getMarkedTime();1495484544;Returns the timestamp marked by the LatencyMarker.;public long getMarkedTime() {_		return markedTime__	};returns,the,timestamp,marked,by,the,latency,marker;public,long,get,marked,time,return,marked,time
LatencyMarker -> public long getMarkedTime();1517944848;Returns the timestamp marked by the LatencyMarker.;public long getMarkedTime() {_		return markedTime__	};returns,the,timestamp,marked,by,the,latency,marker;public,long,get,marked,time,return,marked,time
LatencyMarker -> public long getMarkedTime();1535358024;Returns the timestamp marked by the LatencyMarker.;public long getMarkedTime() {_		return markedTime__	};returns,the,timestamp,marked,by,the,latency,marker;public,long,get,marked,time,return,marked,time
LatencyMarker -> public LatencyMarker(long markedTime, OperatorID operatorId, int subtaskIndex);1517944848;Creates a latency mark with the given timestamp.;public LatencyMarker(long markedTime, OperatorID operatorId, int subtaskIndex) {_		this.markedTime = markedTime__		this.operatorId = operatorId__		this.subtaskIndex = subtaskIndex__	};creates,a,latency,mark,with,the,given,timestamp;public,latency,marker,long,marked,time,operator,id,operator,id,int,subtask,index,this,marked,time,marked,time,this,operator,id,operator,id,this,subtask,index,subtask,index
LatencyMarker -> public LatencyMarker(long markedTime, OperatorID operatorId, int subtaskIndex);1535358024;Creates a latency mark with the given timestamp.;public LatencyMarker(long markedTime, OperatorID operatorId, int subtaskIndex) {_		this.markedTime = markedTime__		this.operatorId = operatorId__		this.subtaskIndex = subtaskIndex__	};creates,a,latency,mark,with,the,given,timestamp;public,latency,marker,long,marked,time,operator,id,operator,id,int,subtask,index,this,marked,time,marked,time,this,operator,id,operator,id,this,subtask,index,subtask,index
LatencyMarker -> public LatencyMarker(long markedTime, int vertexID, int subtaskIndex);1476448412;Creates a latency mark with the given timestamp;public LatencyMarker(long markedTime, int vertexID, int subtaskIndex) {_		this.markedTime = markedTime__		this.vertexID = vertexID__		this.subtaskIndex = subtaskIndex__	};creates,a,latency,mark,with,the,given,timestamp;public,latency,marker,long,marked,time,int,vertex,id,int,subtask,index,this,marked,time,marked,time,this,vertex,id,vertex,id,this,subtask,index,subtask,index
LatencyMarker -> public LatencyMarker(long markedTime, int vertexID, int subtaskIndex);1493195810;Creates a latency mark with the given timestamp.;public LatencyMarker(long markedTime, int vertexID, int subtaskIndex) {_		this.markedTime = markedTime__		this.vertexID = vertexID__		this.subtaskIndex = subtaskIndex__	};creates,a,latency,mark,with,the,given,timestamp;public,latency,marker,long,marked,time,int,vertex,id,int,subtask,index,this,marked,time,marked,time,this,vertex,id,vertex,id,this,subtask,index,subtask,index
LatencyMarker -> public LatencyMarker(long markedTime, int vertexID, int subtaskIndex);1495484544;Creates a latency mark with the given timestamp.;public LatencyMarker(long markedTime, int vertexID, int subtaskIndex) {_		this.markedTime = markedTime__		this.vertexID = vertexID__		this.subtaskIndex = subtaskIndex__	};creates,a,latency,mark,with,the,given,timestamp;public,latency,marker,long,marked,time,int,vertex,id,int,subtask,index,this,marked,time,marked,time,this,vertex,id,vertex,id,this,subtask,index,subtask,index
