commented;modifiers;parameterAmount;loc;comment;code
true;public,static;3;3;/**  * Copy segments to a new byte[].  *  * @param segments Source segments.  * @param offset Source segments offset.  * @param numBytes the number bytes to copy.  */ ;/**  * Copy segments to a new byte[].  *  * @param segments Source segments.  * @param offset Source segments offset.  * @param numBytes the number bytes to copy.  */ public static byte[] copyToBytes(MemorySegment[] segments, int offset, int numBytes) {     return copyToBytes(segments, offset, new byte[numBytes], 0, numBytes). }
true;public,static;5;9;/**  * Copy segments to target byte[].  *  * @param segments Source segments.  * @param offset Source segments offset.  * @param bytes target byte[].  * @param bytesOffset target byte[] offset.  * @param numBytes the number bytes to copy.  */ ;/**  * Copy segments to target byte[].  *  * @param segments Source segments.  * @param offset Source segments offset.  * @param bytes target byte[].  * @param bytesOffset target byte[] offset.  * @param numBytes the number bytes to copy.  */ public static byte[] copyToBytes(MemorySegment[] segments, int offset, byte[] bytes, int bytesOffset, int numBytes) {     if (inFirstSegment(segments, offset, numBytes)) {         segments[0].get(offset, bytes, bytesOffset, numBytes).     } else {         copyMultiSegmentsToBytes(segments, offset, bytes, bytesOffset, numBytes).     }     return bytes. }
false;private,static;5;21;;private static void copyMultiSegmentsToBytes(MemorySegment[] segments, int offset, byte[] bytes, int bytesOffset, int numBytes) {     int remainSize = numBytes.     for (MemorySegment segment : segments) {         int remain = segment.size() - offset.         if (remain > 0) {             int nCopy = Math.min(remain, remainSize).             segment.get(offset, bytes, numBytes - remainSize + bytesOffset, nCopy).             remainSize -= nCopy.             // next new segment.             offset = 0.             if (remainSize == 0) {                 return.             }         } else {             // remain is negative, let's advance to next segment             // now the offset = offset - segmentSize (-remain)             offset = -remain.         }     } }
false;public,static;5;9;;public static void copyToUnsafe(MemorySegment[] segments, int offset, Object target, int pointer, int numBytes) {     if (inFirstSegment(segments, offset, numBytes)) {         segments[0].copyToUnsafe(offset, target, pointer, numBytes).     } else {         copyMultiSegmentsToUnsafe(segments, offset, target, pointer, numBytes).     } }
false;private,static;5;22;;private static void copyMultiSegmentsToUnsafe(MemorySegment[] segments, int offset, Object target, int pointer, int numBytes) {     int remainSize = numBytes.     for (MemorySegment segment : segments) {         int remain = segment.size() - offset.         if (remain > 0) {             int nCopy = Math.min(remain, remainSize).             segment.copyToUnsafe(offset, target, numBytes - remainSize + pointer, nCopy).             remainSize -= nCopy.             // next new segment.             offset = 0.             if (remainSize == 0) {                 return.             }         } else {             // remain is negative, let's advance to next segment             // now the offset = offset - segmentSize (-remain)             offset = -remain.         }     } }
true;public,static;5;9;/**  * Equals two memory segments regions.  *  * @param segments1 Segments 1  * @param offset1 Offset of segments1 to start equaling  * @param segments2 Segments 2  * @param offset2 Offset of segments2 to start equaling  * @param len Length of the equaled memory region  *  * @return true if equal, false otherwise  */ ;/**  * Equals two memory segments regions.  *  * @param segments1 Segments 1  * @param offset1 Offset of segments1 to start equaling  * @param segments2 Segments 2  * @param offset2 Offset of segments2 to start equaling  * @param len Length of the equaled memory region  *  * @return true if equal, false otherwise  */ public static boolean equals(MemorySegment[] segments1, int offset1, MemorySegment[] segments2, int offset2, int len) {     if (inFirstSegment(segments1, offset1, len) && inFirstSegment(segments2, offset2, len)) {         return segments1[0].equalTo(segments2[0], offset1, offset2, len).     } else {         return equalsMultiSegments(segments1, offset1, segments2, offset2, len).     } }
false;static;5;37;;@VisibleForTesting static boolean equalsMultiSegments(MemorySegment[] segments1, int offset1, MemorySegment[] segments2, int offset2, int len) {     if (len == 0) {         // quick way and avoid segSize is zero.         return true.     }     int segSize1 = segments1[0].size().     int segSize2 = segments2[0].size().     // find first segIndex and segOffset of segments.     int segIndex1 = offset1 / segSize1.     int segIndex2 = offset2 / segSize2.     // equal to %     int segOffset1 = offset1 - segSize1 * segIndex1.     // equal to %     int segOffset2 = offset2 - segSize2 * segIndex2.     while (len > 0) {         int equalLen = Math.min(Math.min(len, segSize1 - segOffset1), segSize2 - segOffset2).         if (!segments1[segIndex1].equalTo(segments2[segIndex2], segOffset1, segOffset2, equalLen)) {             return false.         }         len -= equalLen.         segOffset1 += equalLen.         if (segOffset1 == segSize1) {             segOffset1 = 0.             segIndex1++.         }         segOffset2 += equalLen.         if (segOffset2 == segSize2) {             segOffset2 = 0.             segIndex2++.         }     }     return true. }
true;private,static;3;3;/**  * Is it just in first MemorySegment, we use quick way to do something.  */ ;/**  * Is it just in first MemorySegment, we use quick way to do something.  */ private static boolean inFirstSegment(MemorySegment[] segments, int offset, int numBytes) {     return numBytes + offset <= segments[0].size(). }
true;public,static;3;6;/**  * unset bit.  *  * @param segment target segment.  * @param baseOffset bits base offset.  * @param index bit index from base offset.  */ ;/**  * unset bit.  *  * @param segment target segment.  * @param baseOffset bits base offset.  * @param index bit index from base offset.  */ public static void bitUnSet(MemorySegment segment, int baseOffset, int index) {     int offset = baseOffset + ((index & BIT_BYTE_POSITION_MASK) >>> 3).     byte current = segment.get(offset).     current &= ~(1 << (index & BIT_BYTE_INDEX_MASK)).     segment.put(offset, current). }
true;public,static;3;6;/**  * set bit.  *  * @param segment target segment.  * @param baseOffset bits base offset.  * @param index bit index from base offset.  */ ;/**  * set bit.  *  * @param segment target segment.  * @param baseOffset bits base offset.  * @param index bit index from base offset.  */ public static void bitSet(MemorySegment segment, int baseOffset, int index) {     int offset = baseOffset + ((index & BIT_BYTE_POSITION_MASK) >>> 3).     byte current = segment.get(offset).     current |= (1 << (index & BIT_BYTE_INDEX_MASK)).     segment.put(offset, current). }
