commented;modifiers;parameterAmount;loc;comment;code
false;private;4;106;;private AbstractYarnClusterDescriptor createDescriptor(Configuration configuration, YarnConfiguration yarnConfiguration, String configurationDirectory, CommandLine cmd) {     AbstractYarnClusterDescriptor yarnClusterDescriptor = getClusterDescriptor(configuration, yarnConfiguration, configurationDirectory).     // Jar Path     final Path localJarPath.     if (cmd.hasOption(flinkJar.getOpt())) {         String userPath = cmd.getOptionValue(flinkJar.getOpt()).         if (!userPath.startsWith("file://")) {             userPath = "file://" + userPath.         }         localJarPath = new Path(userPath).     } else {         LOG.info("No path for the flink jar passed. Using the location of " + yarnClusterDescriptor.getClass() + " to locate the jar").         String encodedJarPath = yarnClusterDescriptor.getClass().getProtectionDomain().getCodeSource().getLocation().getPath().         final String decodedPath.         try {             // we have to decode the url encoded parts of the path             decodedPath = URLDecoder.decode(encodedJarPath, Charset.defaultCharset().name()).         } catch (UnsupportedEncodingException e) {             throw new RuntimeException("Couldn't decode the encoded Flink dist jar path: " + encodedJarPath + " Please supply a path manually via the -" + flinkJar.getOpt() + " option.").         }         // check whether it's actually a jar file --> when testing we execute this class without a flink-dist jar         if (decodedPath.endsWith(".jar")) {             localJarPath = new Path(new File(decodedPath).toURI()).         } else {             localJarPath = null.         }     }     if (localJarPath != null) {         yarnClusterDescriptor.setLocalJarPath(localJarPath).     }     List<File> shipFiles = new ArrayList<>().     // path to directories to ship     if (cmd.hasOption(shipPath.getOpt())) {         String[] shipPaths = cmd.getOptionValues(this.shipPath.getOpt()).         for (String shipPath : shipPaths) {             File shipDir = new File(shipPath).             if (shipDir.isDirectory()) {                 shipFiles.add(shipDir).             } else {                 LOG.warn("Ship directory {} is not a directory. Ignoring it.", shipDir.getAbsolutePath()).             }         }     }     yarnClusterDescriptor.addShipFiles(shipFiles).     // queue     if (cmd.hasOption(queue.getOpt())) {         yarnClusterDescriptor.setQueue(cmd.getOptionValue(queue.getOpt())).     }     final Properties properties = cmd.getOptionProperties(dynamicproperties.getOpt()).     String[] dynamicProperties = properties.stringPropertyNames().stream().flatMap((String key) -> {         final String value = properties.getProperty(key).         if (value != null) {             return Stream.of(key + dynamicproperties.getValueSeparator() + value).         } else {             return Stream.empty().         }     }).toArray(String[]::new).     String dynamicPropertiesEncoded = StringUtils.join(dynamicProperties, YARN_DYNAMIC_PROPERTIES_SEPARATOR).     yarnClusterDescriptor.setDynamicPropertiesEncoded(dynamicPropertiesEncoded).     if (cmd.hasOption(YARN_DETACHED_OPTION.getOpt()) || cmd.hasOption(DETACHED_OPTION.getOpt())) {         yarnClusterDescriptor.setDetachedMode(true).     }     if (cmd.hasOption(name.getOpt())) {         yarnClusterDescriptor.setName(cmd.getOptionValue(name.getOpt())).     }     if (cmd.hasOption(zookeeperNamespace.getOpt())) {         String zookeeperNamespaceValue = cmd.getOptionValue(this.zookeeperNamespace.getOpt()).         yarnClusterDescriptor.setZookeeperNamespace(zookeeperNamespaceValue).     }     if (cmd.hasOption(nodeLabel.getOpt())) {         String nodeLabelValue = cmd.getOptionValue(this.nodeLabel.getOpt()).         yarnClusterDescriptor.setNodeLabel(nodeLabelValue).     }     return yarnClusterDescriptor. }
false;private;2;29;;private ClusterSpecification createClusterSpecification(Configuration configuration, CommandLine cmd) {     if (cmd.hasOption(container.getOpt())) {         // number of containers is required option!         LOG.info("The argument {} is deprecated in will be ignored.", container.getOpt()).     }     // TODO: The number of task manager should be deprecated soon     final int numberTaskManagers.     if (cmd.hasOption(container.getOpt())) {         numberTaskManagers = Integer.valueOf(cmd.getOptionValue(container.getOpt())).     } else {         numberTaskManagers = 1.     }     // JobManager Memory     final int jobManagerMemoryMB = ConfigurationUtils.getJobManagerHeapMemory(configuration).getMebiBytes().     // Task Managers memory     final int taskManagerMemoryMB = ConfigurationUtils.getTaskManagerHeapMemory(configuration).getMebiBytes().     int slotsPerTaskManager = configuration.getInteger(TaskManagerOptions.NUM_TASK_SLOTS).     return new ClusterSpecification.ClusterSpecificationBuilder().setMasterMemoryMB(jobManagerMemoryMB).setTaskManagerMemoryMB(taskManagerMemoryMB).setNumberTaskManagers(numberTaskManagers).setSlotsPerTaskManager(slotsPerTaskManager).createClusterSpecification(). }
false;private;0;16;;private void printUsage() {     System.out.println("Usage:").     HelpFormatter formatter = new HelpFormatter().     formatter.setWidth(200).     formatter.setLeftPadding(5).     formatter.setSyntaxPrefix("   Required").     Options req = new Options().     req.addOption(container).     formatter.printHelp(" ", req).     formatter.setSyntaxPrefix("   Optional").     Options options = new Options().     addGeneralOptions(options).     addRunOptions(options).     formatter.printHelp(" ", options). }
false;public;1;7;;@Override public boolean isActive(CommandLine commandLine) {     String jobManagerOption = commandLine.getOptionValue(addressOption.getOpt(), null).     boolean yarnJobManager = ID.equals(jobManagerOption).     boolean yarnAppId = commandLine.hasOption(applicationId.getOpt()).     return yarnJobManager || yarnAppId || (isYarnPropertiesFileMode(commandLine) && yarnApplicationIdFromYarnProperties != null). }
false;public;0;4;;@Override public String getId() {     return ID. }
false;public;1;8;;@Override public void addRunOptions(Options baseOptions) {     super.addRunOptions(baseOptions).     for (Object option : allOptions.getOptions()) {         baseOptions.addOption((Option) option).     } }
false;public;1;5;;@Override public void addGeneralOptions(Options baseOptions) {     super.addGeneralOptions(baseOptions).     baseOptions.addOption(applicationId). }
false;public;1;10;;@Override public AbstractYarnClusterDescriptor createClusterDescriptor(CommandLine commandLine) throws FlinkException {     final Configuration effectiveConfiguration = applyCommandLineOptionsToConfiguration(commandLine).     return createDescriptor(effectiveConfiguration, yarnConfiguration, configurationDirectory, commandLine). }
false;public;1;11;;@Override @Nullable public ApplicationId getClusterId(CommandLine commandLine) {     if (commandLine.hasOption(applicationId.getOpt())) {         return ConverterUtils.toApplicationId(commandLine.getOptionValue(applicationId.getOpt())).     } else if (isYarnPropertiesFileMode(commandLine)) {         return yarnApplicationIdFromYarnProperties.     } else {         return null.     } }
false;public;1;6;;@Override public ClusterSpecification getClusterSpecification(CommandLine commandLine) throws FlinkException {     final Configuration effectiveConfiguration = applyCommandLineOptionsToConfiguration(commandLine).     return createClusterSpecification(effectiveConfiguration, commandLine). }
