commented;modifiers;parameterAmount;loc;comment;code
true;public;2;8;/**  * Call this to do the actual parsing. This implements {@link BiFunction} for conveniently integrating with ObjectParser.  */ ;/**  * Call this to do the actual parsing. This implements {@link BiFunction} for conveniently integrating with ObjectParser.  */ @Override public Value apply(XContentParser parser, Context context) {     try {         return parse(parser, context).     } catch (IOException e) {         throw new XContentParseException(parser.getTokenLocation(), "[" + objectParser.getName() + "] failed to parse object", e).     } }
false;public;2;4;;@Override public Value parse(XContentParser parser, Context context) throws IOException {     return objectParser.parse(parser, new Target(parser, context), context).finish(). }
true;public,static;0;4;/**  * Pass the {@linkplain BiConsumer} this returns the declare methods to declare a required constructor argument. See this class's  * javadoc for an example. The order in which these are declared matters: it is the order that they come in the array passed to  * {@link #builder} and the order that missing arguments are reported to the user if any are missing. When all of these parameters are  * parsed from the {@linkplain XContentParser} the target object is immediately built.  */ ;/**  * Pass the {@linkplain BiConsumer} this returns the declare methods to declare a required constructor argument. See this class's  * javadoc for an example. The order in which these are declared matters: it is the order that they come in the array passed to  * {@link #builder} and the order that missing arguments are reported to the user if any are missing. When all of these parameters are  * parsed from the {@linkplain XContentParser} the target object is immediately built.  */ // Safe because we never call the method. This is just trickery to make the interface pretty. @SuppressWarnings("unchecked") public static <Value, FieldT> BiConsumer<Value, FieldT> constructorArg() {     return (BiConsumer<Value, FieldT>) REQUIRED_CONSTRUCTOR_ARG_MARKER. }
true;public,static;0;4;/**  * Pass the {@linkplain BiConsumer} this returns the declare methods to declare an optional constructor argument. See this class's  * javadoc for an example. The order in which these are declared matters: it is the order that they come in the array passed to  * {@link #builder} and the order that missing arguments are reported to the user if any are missing. When all of these parameters are  * parsed from the {@linkplain XContentParser} the target object is immediately built.  */ ;/**  * Pass the {@linkplain BiConsumer} this returns the declare methods to declare an optional constructor argument. See this class's  * javadoc for an example. The order in which these are declared matters: it is the order that they come in the array passed to  * {@link #builder} and the order that missing arguments are reported to the user if any are missing. When all of these parameters are  * parsed from the {@linkplain XContentParser} the target object is immediately built.  */ // Safe because we never call the method. This is just trickery to make the interface pretty. @SuppressWarnings("unchecked") public static <Value, FieldT> BiConsumer<Value, FieldT> optionalConstructorArg() {     return (BiConsumer<Value, FieldT>) OPTIONAL_CONSTRUCTOR_ARG_MARKER. }
false;public;4;31;;@Override public <T> void declareField(BiConsumer<Value, T> consumer, ContextParser<Context, T> parser, ParseField parseField, ValueType type) {     if (consumer == null) {         throw new IllegalArgumentException("[consumer] is required").     }     if (parser == null) {         throw new IllegalArgumentException("[parser] is required").     }     if (parseField == null) {         throw new IllegalArgumentException("[parseField] is required").     }     if (type == null) {         throw new IllegalArgumentException("[type] is required").     }     if (consumer == REQUIRED_CONSTRUCTOR_ARG_MARKER || consumer == OPTIONAL_CONSTRUCTOR_ARG_MARKER) {         /*              * Constructor arguments are detected by these "marker" consumers. It keeps the API looking clean even if it is a bit sleezy. We              * then build a new consumer directly against the object parser that triggers the "constructor arg just arrived behavior" of the              * parser. Conveniently, we can close over the position of the constructor in the argument list so we don't need to do any fancy              * or expensive lookups whenever the constructor args come in.              */         int position = constructorArgInfos.size().         boolean required = consumer == REQUIRED_CONSTRUCTOR_ARG_MARKER.         constructorArgInfos.add(new ConstructorArgInfo(parseField, required)).         objectParser.declareField((target, v) -> target.constructorArg(position, v), parser, parseField, type).     } else {         numberOfFields += 1.         objectParser.declareField(queueingConsumer(consumer, parseField), parser, parseField, type).     } }
false;public;3;32;;@Override public <T> void declareNamedObjects(BiConsumer<Value, List<T>> consumer, NamedObjectParser<T, Context> namedObjectParser, ParseField parseField) {     if (consumer == null) {         throw new IllegalArgumentException("[consumer] is required").     }     if (namedObjectParser == null) {         throw new IllegalArgumentException("[parser] is required").     }     if (parseField == null) {         throw new IllegalArgumentException("[parseField] is required").     }     if (consumer == REQUIRED_CONSTRUCTOR_ARG_MARKER || consumer == OPTIONAL_CONSTRUCTOR_ARG_MARKER) {         /*              * Constructor arguments are detected by this "marker" consumer. It              * keeps the API looking clean even if it is a bit sleezy. We then              * build a new consumer directly against the object parser that              * triggers the "constructor arg just arrived behavior" of the              * parser. Conveniently, we can close over the position of the              * constructor in the argument list so we don't need to do any fancy              * or expensive lookups whenever the constructor args come in.              */         int position = constructorArgInfos.size().         boolean required = consumer == REQUIRED_CONSTRUCTOR_ARG_MARKER.         constructorArgInfos.add(new ConstructorArgInfo(parseField, required)).         objectParser.declareNamedObjects((target, v) -> target.constructorArg(position, v), namedObjectParser, parseField).     } else {         numberOfFields += 1.         objectParser.declareNamedObjects(queueingConsumer(consumer, parseField), namedObjectParser, parseField).     } }
false;public;4;37;;@Override public <T> void declareNamedObjects(BiConsumer<Value, List<T>> consumer, NamedObjectParser<T, Context> namedObjectParser, Consumer<Value> orderedModeCallback, ParseField parseField) {     if (consumer == null) {         throw new IllegalArgumentException("[consumer] is required").     }     if (namedObjectParser == null) {         throw new IllegalArgumentException("[parser] is required").     }     if (orderedModeCallback == null) {         throw new IllegalArgumentException("[orderedModeCallback] is required").     }     if (parseField == null) {         throw new IllegalArgumentException("[parseField] is required").     }     if (consumer == REQUIRED_CONSTRUCTOR_ARG_MARKER || consumer == OPTIONAL_CONSTRUCTOR_ARG_MARKER) {         /*              * Constructor arguments are detected by this "marker" consumer. It              * keeps the API looking clean even if it is a bit sleezy. We then              * build a new consumer directly against the object parser that              * triggers the "constructor arg just arrived behavior" of the              * parser. Conveniently, we can close over the position of the              * constructor in the argument list so we don't need to do any fancy              * or expensive lookups whenever the constructor args come in.              */         int position = constructorArgInfos.size().         boolean required = consumer == REQUIRED_CONSTRUCTOR_ARG_MARKER.         constructorArgInfos.add(new ConstructorArgInfo(parseField, required)).         objectParser.declareNamedObjects((target, v) -> target.constructorArg(position, v), namedObjectParser, wrapOrderedModeCallBack(orderedModeCallback), parseField).     } else {         numberOfFields += 1.         objectParser.declareNamedObjects(queueingConsumer(consumer, parseField), namedObjectParser, wrapOrderedModeCallBack(orderedModeCallback), parseField).     } }
false;public;0;4;;@Override public String getName() {     return objectParser.getName(). }
false;private;1;13;;private Consumer<Target> wrapOrderedModeCallBack(Consumer<Value> callback) {     return (target) -> {         if (target.targetObject != null) {             // The target has already been built. Call the callback now.             callback.accept(target.targetObject).             return.         }         /*              * The target hasn't been built. Queue the callback.              */         target.queuedOrderedModeCallback = callback.     }. }
true;private;2;24;/**  * Creates the consumer that does the "field just arrived" behavior. If the targetObject hasn't been built then it queues the value.  * Otherwise it just applies the value just like {@linkplain ObjectParser} does.  */ ;/**  * Creates the consumer that does the "field just arrived" behavior. If the targetObject hasn't been built then it queues the value.  * Otherwise it just applies the value just like {@linkplain ObjectParser} does.  */ private <T> BiConsumer<Target, T> queueingConsumer(BiConsumer<Value, T> consumer, ParseField parseField) {     return (target, v) -> {         if (target.targetObject != null) {             // The target has already been built. Just apply the consumer now.             consumer.accept(target.targetObject, v).             return.         }         /*              * The target hasn't been built. Queue the consumer. The next two lines are the only allocations that ConstructingObjectParser              * does during parsing other than the boxing the ObjectParser might do. The first one is to preserve a snapshot of the current              * location so we can add it to the error message if parsing fails. The second one (the lambda) is the actual operation being              * queued. Note that we don't do any of this if the target object has already been built.              */         XContentLocation location = target.parser.getTokenLocation().         target.queue(targetObject -> {             try {                 consumer.accept(targetObject, v).             } catch (Exception e) {                 throw new XContentParseException(location, "[" + objectParser.getName() + "] failed to parse field [" + parseField.getPreferredName() + "]", e).             }         }).     }. }
