commented;modifiers;parameterAmount;loc;comment;code
false;public;0;4;;@Override public Response newResponse() {     return new Response(). }
false;static;1;7;;static ScriptContext<?> fromScriptContextName(String name) {     ScriptContext<?> scriptContext = SUPPORTED_CONTEXTS.get(name).     if (scriptContext == null) {         throw new UnsupportedOperationException("unsupported script context name [" + name + "]").     }     return scriptContext. }
false;static;2;5;;static ContextSetup parse(XContentParser parser, Void context) throws IOException {     ContextSetup contextSetup = PARSER.parse(parser, null).     contextSetup.setXContentType(parser.contentType()).     return contextSetup. }
false;public;0;3;;public String getIndex() {     return index. }
false;public;0;3;;public BytesReference getDocument() {     return document. }
false;public;0;3;;public QueryBuilder getQuery() {     return query. }
false;public;0;3;;public XContentType getXContentType() {     return xContentType. }
false;public;1;3;;public void setXContentType(XContentType xContentType) {     this.xContentType = xContentType. }
false;public;1;10;;@Override public boolean equals(Object o) {     if (this == o)         return true.     if (o == null || getClass() != o.getClass())         return false.     ContextSetup that = (ContextSetup) o.     return Objects.equals(index, that.index) && Objects.equals(document, that.document) && Objects.equals(query, that.query) && Objects.equals(xContentType, that.xContentType). }
false;public;0;4;;@Override public int hashCode() {     return Objects.hash(index, document, query, xContentType). }
false;public;1;7;;@Override public void writeTo(StreamOutput out) throws IOException {     out.writeOptionalString(index).     out.writeOptionalBytesReference(document).     out.writeOptionalString(xContentType != null ? xContentType.mediaTypeWithoutParameters() : null).     out.writeOptionalNamedWriteable(query). }
false;public;0;9;;@Override public String toString() {     return "ContextSetup{" + ", index='" + index + '\'' + ", document=" + document + ", query=" + query + ", xContentType=" + xContentType + '}'. }
false;public;2;21;;@Override public XContentBuilder toXContent(XContentBuilder builder, Params params) throws IOException {     builder.startObject().     {         if (index != null) {             builder.field(INDEX_FIELD.getPreferredName(), index).         }         if (document != null) {             builder.field(DOCUMENT_FIELD.getPreferredName()).             try (XContentParser parser = XContentHelper.createParser(NamedXContentRegistry.EMPTY, LoggingDeprecationHandler.INSTANCE, document, xContentType)) {                 builder.generator().copyCurrentStructure(parser).             }         }         if (query != null) {             builder.field(QUERY_FIELD.getPreferredName(), query).         }     }     builder.endObject().     return builder. }
false;static;1;3;;static Request parse(XContentParser parser) throws IOException {     return PARSER.parse(parser, null). }
false;public;0;3;;public Script getScript() {     return script. }
false;public;0;3;;public ScriptContext<?> getContext() {     return context. }
false;public;0;3;;public ContextSetup getContextSetup() {     return contextSetup. }
false;public;0;16;;@Override public ActionRequestValidationException validate() {     ActionRequestValidationException validationException = null.     if (script.getType() != ScriptType.INLINE) {         validationException = addValidationError("only inline scripts are supported", validationException).     }     if (needDocumentAndIndex(context)) {         if (contextSetup.index == null) {             validationException = addValidationError("index is a required parameter for current context", validationException).         }         if (contextSetup.document == null) {             validationException = addValidationError("document is a required parameter for current context", validationException).         }     }     return validationException. }
false;public;1;12;;@Override public void readFrom(StreamInput in) throws IOException {     super.readFrom(in).     script = new Script(in).     if (in.getVersion().before(Version.V_6_4_0)) {         byte scriptContextId = in.readByte().         assert scriptContextId == 0.     } else {         context = fromScriptContextName(in.readString()).         contextSetup = in.readOptionalWriteable(ContextSetup::new).     } }
false;public;1;11;;@Override public void writeTo(StreamOutput out) throws IOException {     super.writeTo(out).     script.writeTo(out).     if (out.getVersion().before(Version.V_6_4_0)) {         out.writeByte((byte) 0).     } else {         out.writeString(context.name).         out.writeOptionalWriteable(contextSetup).     } }
true;public;2;11;// For testing only: ;// For testing only: @Override public XContentBuilder toXContent(XContentBuilder builder, Params params) throws IOException {     builder.startObject().     builder.field(SCRIPT_FIELD.getPreferredName(), script).     builder.field(CONTEXT_FIELD.getPreferredName(), context.name).     if (contextSetup != null) {         builder.field(CONTEXT_SETUP_FIELD.getPreferredName(), contextSetup).     }     builder.endObject().     return builder. }
false;public;1;9;;@Override public boolean equals(Object o) {     if (this == o)         return true.     if (o == null || getClass() != o.getClass())         return false.     Request request = (Request) o.     return Objects.equals(script, request.script) && Objects.equals(context, request.context) && Objects.equals(contextSetup, request.contextSetup). }
false;public;0;4;;@Override public int hashCode() {     return Objects.hash(script, context, contextSetup). }
false;public;0;8;;@Override public String toString() {     return "Request{" + "script=" + script + "context=" + context + ", contextSetup=" + contextSetup + '}'. }
false;static;1;3;;static boolean needDocumentAndIndex(ScriptContext<?> scriptContext) {     return scriptContext == FilterScript.CONTEXT || scriptContext == ScoreScript.CONTEXT. }
false;public;0;3;;public Object getResult() {     return result. }
false;public;1;5;;@Override public void readFrom(StreamInput in) throws IOException {     super.readFrom(in).     result = in.readGenericValue(). }
false;public;1;5;;@Override public void writeTo(StreamOutput out) throws IOException {     super.writeTo(out).     out.writeGenericValue(result). }
false;public;2;6;;@Override public XContentBuilder toXContent(XContentBuilder builder, Params params) throws IOException {     builder.startObject().     builder.field("result", result).     return builder.endObject(). }
false;public;1;7;;@Override public boolean equals(Object o) {     if (this == o)         return true.     if (o == null || getClass() != o.getClass())         return false.     Response response = (Response) o.     return Objects.equals(result, response.result). }
false;public;0;4;;@Override public int hashCode() {     return Objects.hash(result). }
true;public;0;3;/**  * Return the parameters for this script.  */ ;/**  * Return the parameters for this script.  */ public Map<String, Object> getParams() {     return params. }
false;public,abstract;0;1;;public abstract Object execute().
false;;1;1;;PainlessTestScript newInstance(Map<String, Object> params).
false;protected;0;4;;@Override protected Response newResponse() {     return new Response(). }
false;protected;2;7;;@Override protected ClusterBlockException checkRequestBlock(ClusterState state, InternalRequest request) {     if (request.concreteIndex() != null) {         return super.checkRequestBlock(state, request).     }     return null. }
false;protected;1;4;;@Override protected boolean resolveIndex(Request request) {     return request.contextSetup != null && request.contextSetup.getIndex() != null. }
false;protected;2;7;;@Override protected ShardsIterator shards(ClusterState state, InternalRequest request) {     if (request.concreteIndex() == null) {         return null.     }     return state.routingTable().index(request.concreteIndex()).randomAllActiveShardsIt(). }
