# id;timestamp;commentText;codeText;commentWords;codeWords
ShardOperationFailedException -> public final int shardId();1533738061;The index the operation failed on. Might return {@code -1} if it can't be derived.;public final int shardId() {_        return shardId__    };the,index,the,operation,failed,on,might,return,code,1,if,it,can,t,be,derived;public,final,int,shard,id,return,shard,id
ShardOperationFailedException -> public final int shardId();1535405719;The index the operation failed on. Might return {@code -1} if it can't be derived.;public final int shardId() {_        return shardId__    };the,index,the,operation,failed,on,might,return,code,1,if,it,can,t,be,derived;public,final,int,shard,id,return,shard,id
ShardOperationFailedException -> @Nullable     public final String index();1533738061;The index the operation failed on. Might return {@code null} if it can't be derived.;@Nullable_    public final String index() {_        return index__    };the,index,the,operation,failed,on,might,return,code,null,if,it,can,t,be,derived;nullable,public,final,string,index,return,index
ShardOperationFailedException -> @Nullable     public final String index();1535405719;The index the operation failed on. Might return {@code null} if it can't be derived.;@Nullable_    public final String index() {_        return index__    };the,index,the,operation,failed,on,might,return,code,null,if,it,can,t,be,derived;nullable,public,final,string,index,return,index
ShardOperationFailedException -> public final RestStatus status();1533738061;The status of the failure.;public final RestStatus status() {_        return status__    };the,status,of,the,failure;public,final,rest,status,status,return,status
ShardOperationFailedException -> public final RestStatus status();1535405719;The status of the failure.;public final RestStatus status() {_        return status__    };the,status,of,the,failure;public,final,rest,status,status,return,status
ShardOperationFailedException -> Throwable getCause()_;1524684173;The cause of this failure;Throwable getCause()_;the,cause,of,this,failure;throwable,get,cause
ShardOperationFailedException -> Throwable getCause()_;1525334055;The cause of this failure;Throwable getCause()_;the,cause,of,this,failure;throwable,get,cause
ShardOperationFailedException -> String index()_;1524684173;The index the operation failed on. Might return <tt>null</tt> if it can't be derived.;String index()_;the,index,the,operation,failed,on,might,return,tt,null,tt,if,it,can,t,be,derived;string,index
ShardOperationFailedException -> String index()_;1525334055;The index the operation failed on. Might return {@code null} if it can't be derived.;String index()_;the,index,the,operation,failed,on,might,return,code,null,if,it,can,t,be,derived;string,index
ShardOperationFailedException -> RestStatus status()_;1524684173;The status of the failure.;RestStatus status()_;the,status,of,the,failure;rest,status,status
ShardOperationFailedException -> RestStatus status()_;1525334055;The status of the failure.;RestStatus status()_;the,status,of,the,failure;rest,status,status
ShardOperationFailedException -> public final String reason();1533738061;The reason of the failure.;public final String reason() {_        return reason__    };the,reason,of,the,failure;public,final,string,reason,return,reason
ShardOperationFailedException -> public final String reason();1535405719;The reason of the failure.;public final String reason() {_        return reason__    };the,reason,of,the,failure;public,final,string,reason,return,reason
ShardOperationFailedException -> int shardId()_;1524684173;The index the operation failed on. Might return <tt>-1</tt> if it can't be derived.;int shardId()_;the,index,the,operation,failed,on,might,return,tt,1,tt,if,it,can,t,be,derived;int,shard,id
ShardOperationFailedException -> int shardId()_;1525334055;The index the operation failed on. Might return {@code -1} if it can't be derived.;int shardId()_;the,index,the,operation,failed,on,might,return,code,1,if,it,can,t,be,derived;int,shard,id
ShardOperationFailedException -> String reason()_;1524684173;The reason of the failure.;String reason()_;the,reason,of,the,failure;string,reason
ShardOperationFailedException -> String reason()_;1525334055;The reason of the failure.;String reason()_;the,reason,of,the,failure;string,reason
ShardOperationFailedException -> public final Throwable getCause();1533738061;The cause of this failure;public final Throwable getCause() {_        return cause__    };the,cause,of,this,failure;public,final,throwable,get,cause,return,cause
ShardOperationFailedException -> public final Throwable getCause();1535405719;The cause of this failure;public final Throwable getCause() {_        return cause__    };the,cause,of,this,failure;public,final,throwable,get,cause,return,cause
