commented;modifiers;parameterAmount;loc;comment;code
false;protected;3;8;;@Override protected void doExecute(Task thisTask, GetTaskRequest request, ActionListener<GetTaskResponse> listener) {     if (clusterService.localNode().getId().equals(request.getTaskId().getNodeId())) {         getRunningTaskFromNode(thisTask, request, listener).     } else {         runOnNodeWithTaskIfPossible(thisTask, request, listener).     } }
false;public;1;6;;@Override public GetTaskResponse read(StreamInput in) throws IOException {     GetTaskResponse response = new GetTaskResponse().     response.readFrom(in).     return response. }
false;public;1;4;;@Override public void handleResponse(GetTaskResponse response) {     listener.onResponse(response). }
false;public;1;4;;@Override public void handleException(TransportException exp) {     listener.onFailure(exp). }
false;public;0;4;;@Override public String executor() {     return ThreadPool.Names.SAME. }
true;private;3;45;/**  * Executed on the coordinating node to forward execution of the remaining work to the node that matches that requested  * {@link TaskId#getNodeId()}. If the node isn't in the cluster then this will just proceed to  * {@link #getFinishedTaskFromIndex(Task, GetTaskRequest, ActionListener)} on this node.  */ ;/**  * Executed on the coordinating node to forward execution of the remaining work to the node that matches that requested  * {@link TaskId#getNodeId()}. If the node isn't in the cluster then this will just proceed to  * {@link #getFinishedTaskFromIndex(Task, GetTaskRequest, ActionListener)} on this node.  */ private void runOnNodeWithTaskIfPossible(Task thisTask, GetTaskRequest request, ActionListener<GetTaskResponse> listener) {     TransportRequestOptions.Builder builder = TransportRequestOptions.builder().     if (request.getTimeout() != null) {         builder.withTimeout(request.getTimeout()).     }     DiscoveryNode node = clusterService.state().nodes().get(request.getTaskId().getNodeId()).     if (node == null) {         // Node is no longer part of the cluster! Try and look the task up from the results index.         getFinishedTaskFromIndex(thisTask, request, ActionListener.wrap(listener::onResponse, e -> {             if (e instanceof ResourceNotFoundException) {                 e = new ResourceNotFoundException("task [" + request.getTaskId() + "] belongs to the node [" + request.getTaskId().getNodeId() + "] which isn't part of the cluster and there is no record of the task", e).             }             listener.onFailure(e).         })).         return.     }     GetTaskRequest nodeRequest = request.nodeRequest(clusterService.localNode().getId(), thisTask.getId()).     transportService.sendRequest(node, GetTaskAction.NAME, nodeRequest, builder.build(), new TransportResponseHandler<GetTaskResponse>() {          @Override         public GetTaskResponse read(StreamInput in) throws IOException {             GetTaskResponse response = new GetTaskResponse().             response.readFrom(in).             return response.         }          @Override         public void handleResponse(GetTaskResponse response) {             listener.onResponse(response).         }          @Override         public void handleException(TransportException exp) {             listener.onFailure(exp).         }          @Override         public String executor() {             return ThreadPool.Names.SAME.         }     }). }
false;protected;0;5;;@Override protected void doRun() throws Exception {     taskManager.waitForTaskCompletion(runningTask, waitForCompletionTimeout(request.getTimeout())).     waitedForCompletion(thisTask, request, runningTask.taskInfo(clusterService.localNode().getId(), true), listener). }
false;public;1;4;;@Override public void onFailure(Exception e) {     listener.onFailure(e). }
true;;3;26;/**  * Executed on the node that should be running the task to find and return the running task. Falls back to  * {@link #getFinishedTaskFromIndex(Task, GetTaskRequest, ActionListener)} if the task isn't still running.  */ ;/**  * Executed on the node that should be running the task to find and return the running task. Falls back to  * {@link #getFinishedTaskFromIndex(Task, GetTaskRequest, ActionListener)} if the task isn't still running.  */ void getRunningTaskFromNode(Task thisTask, GetTaskRequest request, ActionListener<GetTaskResponse> listener) {     Task runningTask = taskManager.getTask(request.getTaskId().getId()).     if (runningTask == null) {         // Task isn't running, go look in the task index         getFinishedTaskFromIndex(thisTask, request, listener).     } else {         if (request.getWaitForCompletion()) {             // Shift to the generic thread pool and let it wait for the task to complete so we don't block any important threads.             threadPool.generic().execute(new AbstractRunnable() {                  @Override                 protected void doRun() throws Exception {                     taskManager.waitForTaskCompletion(runningTask, waitForCompletionTimeout(request.getTimeout())).                     waitedForCompletion(thisTask, request, runningTask.taskInfo(clusterService.localNode().getId(), true), listener).                 }                  @Override                 public void onFailure(Exception e) {                     listener.onFailure(e).                 }             }).         } else {             TaskInfo info = runningTask.taskInfo(clusterService.localNode().getId(), true).             listener.onResponse(new GetTaskResponse(new TaskResult(false, info))).         }     } }
false;public;1;5;;@Override public void onResponse(GetTaskResponse response) {     // We were able to load the task from the task index. Let's send that back.     listener.onResponse(response). }
false;public;1;12;;@Override public void onFailure(Exception e) {     /*                  * We couldn't load the task from the task index. Instead of 404 we should use the snapshot we took after it finished. If                  * the error isn't a 404 then we'll just throw it back to the user.                  */     if (ExceptionsHelper.unwrap(e, ResourceNotFoundException.class) != null) {         listener.onResponse(new GetTaskResponse(new TaskResult(true, snapshotOfRunningTask))).     } else {         listener.onFailure(e).     } }
true;;4;23;/**  * Called after waiting for the task to complete. Attempts to load the results of the task from the tasks index. If it isn't in the  * index then returns a snapshot of the task taken shortly after completion.  */ ;/**  * Called after waiting for the task to complete. Attempts to load the results of the task from the tasks index. If it isn't in the  * index then returns a snapshot of the task taken shortly after completion.  */ void waitedForCompletion(Task thisTask, GetTaskRequest request, TaskInfo snapshotOfRunningTask, ActionListener<GetTaskResponse> listener) {     getFinishedTaskFromIndex(thisTask, request, new ActionListener<GetTaskResponse>() {          @Override         public void onResponse(GetTaskResponse response) {             // We were able to load the task from the task index. Let's send that back.             listener.onResponse(response).         }          @Override         public void onFailure(Exception e) {             /*                  * We couldn't load the task from the task index. Instead of 404 we should use the snapshot we took after it finished. If                  * the error isn't a 404 then we'll just throw it back to the user.                  */             if (ExceptionsHelper.unwrap(e, ResourceNotFoundException.class) != null) {                 listener.onResponse(new GetTaskResponse(new TaskResult(true, snapshotOfRunningTask))).             } else {                 listener.onFailure(e).             }         }     }). }
false;public;1;8;;@Override public void onResponse(GetResponse getResponse) {     try {         onGetFinishedTaskFromIndex(getResponse, listener).     } catch (Exception e) {         listener.onFailure(e).     } }
false;public;1;10;;@Override public void onFailure(Exception e) {     if (ExceptionsHelper.unwrap(e, IndexNotFoundException.class) != null) {         // We haven't yet created the index for the task results so it can't be found.         listener.onFailure(new ResourceNotFoundException("task [{}] isn't running and hasn't stored its results", e, request.getTaskId())).     } else {         listener.onFailure(e).     } }
true;;3;27;/**  * Send a {@link GetRequest} to the tasks index looking for a persisted copy of the task completed task. It'll only be found only if the  * task's result was stored. Called on the node that once had the task if that node is still part of the cluster or on the  * coordinating node if the node is no longer part of the cluster.  */ ;/**  * Send a {@link GetRequest} to the tasks index looking for a persisted copy of the task completed task. It'll only be found only if the  * task's result was stored. Called on the node that once had the task if that node is still part of the cluster or on the  * coordinating node if the node is no longer part of the cluster.  */ void getFinishedTaskFromIndex(Task thisTask, GetTaskRequest request, ActionListener<GetTaskResponse> listener) {     GetRequest get = new GetRequest(TaskResultsService.TASK_INDEX, TaskResultsService.TASK_TYPE, request.getTaskId().toString()).     get.setParentTask(clusterService.localNode().getId(), thisTask.getId()).     client.get(get, new ActionListener<GetResponse>() {          @Override         public void onResponse(GetResponse getResponse) {             try {                 onGetFinishedTaskFromIndex(getResponse, listener).             } catch (Exception e) {                 listener.onFailure(e).             }         }          @Override         public void onFailure(Exception e) {             if (ExceptionsHelper.unwrap(e, IndexNotFoundException.class) != null) {                 // We haven't yet created the index for the task results so it can't be found.                 listener.onFailure(new ResourceNotFoundException("task [{}] isn't running and hasn't stored its results", e, request.getTaskId())).             } else {                 listener.onFailure(e).             }         }     }). }
