commented;modifiers;parameterAmount;loc;comment;code
true;public;1;4;/**  * Sets the type of the indexed document.  */ ;/**  * Sets the type of the indexed document.  */ public UpdateRequestBuilder setType(String type) {     request.type(type).     return this. }
true;public;1;4;/**  * Sets the id of the indexed document.  */ ;/**  * Sets the id of the indexed document.  */ public UpdateRequestBuilder setId(String id) {     request.id(id).     return this. }
true;public;1;4;/**  * Controls the shard routing of the request. Using this value to hash the shard  * and not the id.  */ ;/**  * Controls the shard routing of the request. Using this value to hash the shard  * and not the id.  */ public UpdateRequestBuilder setRouting(String routing) {     request.routing(routing).     return this. }
true;public;1;4;/**  * The script to execute. Note, make sure not to send different script each times and instead  * use script params if possible with the same (automatically compiled) script.  * <p>  * The script works with the variable <code>ctx</code>, which is bound to the entry,  * e.g. <code>ctx._source.mycounter += 1</code>.  */ ;/**  * The script to execute. Note, make sure not to send different script each times and instead  * use script params if possible with the same (automatically compiled) script.  * <p>  * The script works with the variable <code>ctx</code>, which is bound to the entry,  * e.g. <code>ctx._source.mycounter += 1</code>.  */ public UpdateRequestBuilder setScript(Script script) {     request.script(script).     return this. }
true;public;2;4;/**  * Indicate that _source should be returned with every hit, with an  * "include" and/or "exclude" set which can include simple wildcard  * elements.  *  * @param include  *            An optional include (optionally wildcarded) pattern to filter  *            the returned _source  * @param exclude  *            An optional exclude (optionally wildcarded) pattern to filter  *            the returned _source  */ ;/**  * Indicate that _source should be returned with every hit, with an  * "include" and/or "exclude" set which can include simple wildcard  * elements.  *  * @param include  *            An optional include (optionally wildcarded) pattern to filter  *            the returned _source  * @param exclude  *            An optional exclude (optionally wildcarded) pattern to filter  *            the returned _source  */ public UpdateRequestBuilder setFetchSource(@Nullable String include, @Nullable String exclude) {     request.fetchSource(include, exclude).     return this. }
true;public;2;4;/**  * Indicate that _source should be returned, with an  * "include" and/or "exclude" set which can include simple wildcard  * elements.  *  * @param includes  *            An optional list of include (optionally wildcarded) pattern to  *            filter the returned _source  * @param excludes  *            An optional list of exclude (optionally wildcarded) pattern to  *            filter the returned _source  */ ;/**  * Indicate that _source should be returned, with an  * "include" and/or "exclude" set which can include simple wildcard  * elements.  *  * @param includes  *            An optional list of include (optionally wildcarded) pattern to  *            filter the returned _source  * @param excludes  *            An optional list of exclude (optionally wildcarded) pattern to  *            filter the returned _source  */ public UpdateRequestBuilder setFetchSource(@Nullable String[] includes, @Nullable String[] excludes) {     request.fetchSource(includes, excludes).     return this. }
true;public;1;4;/**  * Indicates whether the response should contain the updated _source.  */ ;/**  * Indicates whether the response should contain the updated _source.  */ public UpdateRequestBuilder setFetchSource(boolean fetchSource) {     request.fetchSource(fetchSource).     return this. }
true;public;1;4;/**  * Sets the number of retries of a version conflict occurs because the document was updated between  * getting it and updating it. Defaults to 0.  */ ;/**  * Sets the number of retries of a version conflict occurs because the document was updated between  * getting it and updating it. Defaults to 0.  */ public UpdateRequestBuilder setRetryOnConflict(int retryOnConflict) {     request.retryOnConflict(retryOnConflict).     return this. }
true;public;1;4;/**  * Sets the version, which will cause the index operation to only be performed if a matching  * version exists and no changes happened on the doc since then.  */ ;/**  * Sets the version, which will cause the index operation to only be performed if a matching  * version exists and no changes happened on the doc since then.  */ public UpdateRequestBuilder setVersion(long version) {     request.version(version).     return this. }
true;public;1;4;/**  * Sets the versioning type. Defaults to {@link org.elasticsearch.index.VersionType#INTERNAL}.  */ ;/**  * Sets the versioning type. Defaults to {@link org.elasticsearch.index.VersionType#INTERNAL}.  */ public UpdateRequestBuilder setVersionType(VersionType versionType) {     request.versionType(versionType).     return this. }
true;public;1;4;/**  * only perform this update request if the document was last modification was assigned the given  * sequence number. Must be used in combination with {@link #setIfPrimaryTerm(long)}  *  * If the document last modification was assigned a different sequence number a  * {@link org.elasticsearch.index.engine.VersionConflictEngineException} will be thrown.  */ ;/**  * only perform this update request if the document was last modification was assigned the given  * sequence number. Must be used in combination with {@link #setIfPrimaryTerm(long)}  *  * If the document last modification was assigned a different sequence number a  * {@link org.elasticsearch.index.engine.VersionConflictEngineException} will be thrown.  */ public UpdateRequestBuilder setIfSeqNo(long seqNo) {     request.setIfSeqNo(seqNo).     return this. }
true;public;1;4;/**  * only perform this update request if the document was last modification was assigned the given  * primary term. Must be used in combination with {@link #setIfSeqNo(long)}  *  * If the document last modification was assigned a different term a  * {@link org.elasticsearch.index.engine.VersionConflictEngineException} will be thrown.  */ ;/**  * only perform this update request if the document was last modification was assigned the given  * primary term. Must be used in combination with {@link #setIfSeqNo(long)}  *  * If the document last modification was assigned a different term a  * {@link org.elasticsearch.index.engine.VersionConflictEngineException} will be thrown.  */ public UpdateRequestBuilder setIfPrimaryTerm(long term) {     request.setIfPrimaryTerm(term).     return this. }
true;public;1;4;/**  * Sets the number of shard copies that must be active before proceeding with the write.  * See {@link ReplicationRequest#waitForActiveShards(ActiveShardCount)} for details.  */ ;/**  * Sets the number of shard copies that must be active before proceeding with the write.  * See {@link ReplicationRequest#waitForActiveShards(ActiveShardCount)} for details.  */ public UpdateRequestBuilder setWaitForActiveShards(ActiveShardCount waitForActiveShards) {     request.waitForActiveShards(waitForActiveShards).     return this. }
true;public;1;3;/**  * A shortcut for {@link #setWaitForActiveShards(ActiveShardCount)} where the numerical  * shard count is passed in, instead of having to first call {@link ActiveShardCount#from(int)}  * to get the ActiveShardCount.  */ ;/**  * A shortcut for {@link #setWaitForActiveShards(ActiveShardCount)} where the numerical  * shard count is passed in, instead of having to first call {@link ActiveShardCount#from(int)}  * to get the ActiveShardCount.  */ public UpdateRequestBuilder setWaitForActiveShards(final int waitForActiveShards) {     return setWaitForActiveShards(ActiveShardCount.from(waitForActiveShards)). }
true;public;1;4;/**  * Sets the doc to use for updates when a script is not specified.  */ ;/**  * Sets the doc to use for updates when a script is not specified.  */ public UpdateRequestBuilder setDoc(IndexRequest indexRequest) {     request.doc(indexRequest).     return this. }
true;public;1;4;/**  * Sets the doc to use for updates when a script is not specified.  */ ;/**  * Sets the doc to use for updates when a script is not specified.  */ public UpdateRequestBuilder setDoc(XContentBuilder source) {     request.doc(source).     return this. }
true;public;1;4;/**  * Sets the doc to use for updates when a script is not specified.  */ ;/**  * Sets the doc to use for updates when a script is not specified.  */ public UpdateRequestBuilder setDoc(Map<String, Object> source) {     request.doc(source).     return this. }
true;public;2;4;/**  * Sets the doc to use for updates when a script is not specified.  */ ;/**  * Sets the doc to use for updates when a script is not specified.  */ public UpdateRequestBuilder setDoc(Map<String, Object> source, XContentType contentType) {     request.doc(source, contentType).     return this. }
true;public;2;4;/**  * Sets the doc to use for updates when a script is not specified.  */ ;/**  * Sets the doc to use for updates when a script is not specified.  */ public UpdateRequestBuilder setDoc(String source, XContentType xContentType) {     request.doc(source, xContentType).     return this. }
true;public;2;4;/**  * Sets the doc to use for updates when a script is not specified.  */ ;/**  * Sets the doc to use for updates when a script is not specified.  */ public UpdateRequestBuilder setDoc(byte[] source, XContentType xContentType) {     request.doc(source, xContentType).     return this. }
true;public;4;4;/**  * Sets the doc to use for updates when a script is not specified.  */ ;/**  * Sets the doc to use for updates when a script is not specified.  */ public UpdateRequestBuilder setDoc(byte[] source, int offset, int length, XContentType xContentType) {     request.doc(source, offset, length, xContentType).     return this. }
true;public;1;4;/**  * Sets the doc to use for updates when a script is not specified, the doc provided  * is a field and value pairs.  */ ;/**  * Sets the doc to use for updates when a script is not specified, the doc provided  * is a field and value pairs.  */ public UpdateRequestBuilder setDoc(Object... source) {     request.doc(source).     return this. }
