commented;modifiers;parameterAmount;loc;comment;code
false;private;1;3;;private void setEnabled(boolean enabled) {     this.enabled = enabled. }
false;private;1;3;;private void setFetchTimeout(TimeValue fetchTimeout) {     this.fetchTimeout = fetchTimeout. }
false;;1;3;;void setUpdateFrequency(TimeValue updateFrequency) {     this.updateFrequency = updateFrequency. }
false;public;0;19;;@Override public void onMaster() {     this.isMaster = true.     if (logger.isTraceEnabled()) {         logger.trace("I have been elected master, scheduling a ClusterInfoUpdateJob").     }     // Submit a job that will start after DEFAULT_STARTING_INTERVAL, and reschedule itself after running     threadPool.scheduleUnlessShuttingDown(updateFrequency, executorName(), new SubmitReschedulingClusterInfoUpdatedJob()).     try {         if (clusterService.state().getNodes().getDataNodes().size() > 1) {             // Submit an info update job to be run immediately             threadPool.executor(executorName()).execute(() -> maybeRefresh()).         }     } catch (EsRejectedExecutionException ex) {         logger.debug("Couldn't schedule cluster info update task - node might be shutting down", ex).     } }
false;public;0;4;;@Override public void offMaster() {     this.isMaster = false. }
false;public;0;4;;@Override public String executorName() {     return ThreadPool.Names.MANAGEMENT. }
false;public;1;42;;@Override public void clusterChanged(ClusterChangedEvent event) {     if (!this.enabled) {         return.     }     // Check whether it was a data node that was added     boolean dataNodeAdded = false.     for (DiscoveryNode addedNode : event.nodesDelta().addedNodes()) {         if (addedNode.isDataNode()) {             dataNodeAdded = true.             break.         }     }     if (this.isMaster && dataNodeAdded && event.state().getNodes().getDataNodes().size() > 1) {         if (logger.isDebugEnabled()) {             logger.debug("data node was added, retrieving new cluster info").         }         threadPool.executor(executorName()).execute(() -> maybeRefresh()).     }     if (this.isMaster && event.nodesRemoved()) {         for (DiscoveryNode removedNode : event.nodesDelta().removedNodes()) {             if (removedNode.isDataNode()) {                 if (logger.isTraceEnabled()) {                     logger.trace("Removing node from cluster info: {}", removedNode.getId()).                 }                 if (leastAvailableSpaceUsages.containsKey(removedNode.getId())) {                     ImmutableOpenMap.Builder<String, DiskUsage> newMaxUsages = ImmutableOpenMap.builder(leastAvailableSpaceUsages).                     newMaxUsages.remove(removedNode.getId()).                     leastAvailableSpaceUsages = newMaxUsages.build().                 }                 if (mostAvailableSpaceUsages.containsKey(removedNode.getId())) {                     ImmutableOpenMap.Builder<String, DiskUsage> newMinUsages = ImmutableOpenMap.builder(mostAvailableSpaceUsages).                     newMinUsages.remove(removedNode.getId()).                     mostAvailableSpaceUsages = newMinUsages.build().                 }             }         }     } }
false;public;0;4;;@Override public ClusterInfo getClusterInfo() {     return new ClusterInfo(leastAvailableSpaceUsages, mostAvailableSpaceUsages, shardSizes, shardRoutingToDataPath). }
false;public;0;24;;@Override public void run() {     if (logger.isTraceEnabled()) {         logger.trace("Submitting new rescheduling cluster info update job").     }     try {         threadPool.executor(executorName()).execute(() -> {             try {                 maybeRefresh().             } finally {                 // schedule again after we refreshed                 if (isMaster) {                     if (logger.isTraceEnabled()) {                         logger.trace("Scheduling next run for updating cluster info in: {}", updateFrequency.toString()).                     }                     threadPool.scheduleUnlessShuttingDown(updateFrequency, executorName(), this).                 }             }         }).     } catch (EsRejectedExecutionException ex) {         if (logger.isDebugEnabled()) {             logger.debug("Couldn't re-schedule cluster info update task - node might be shutting down", ex).         }     } }
true;protected;1;9;/**  * Retrieve the latest nodes stats, calling the listener when complete  * @return a latch that can be used to wait for the nodes stats to complete if desired  */ ;/**  * Retrieve the latest nodes stats, calling the listener when complete  * @return a latch that can be used to wait for the nodes stats to complete if desired  */ protected CountDownLatch updateNodeStats(final ActionListener<NodesStatsResponse> listener) {     final CountDownLatch latch = new CountDownLatch(1).     final NodesStatsRequest nodesStatsRequest = new NodesStatsRequest("data:true").     nodesStatsRequest.clear().     nodesStatsRequest.fs(true).     nodesStatsRequest.timeout(fetchTimeout).     client.admin().cluster().nodesStats(nodesStatsRequest, new LatchedActionListener<>(listener, latch)).     return latch. }
true;protected;1;9;/**  * Retrieve the latest indices stats, calling the listener when complete  * @return a latch that can be used to wait for the indices stats to complete if desired  */ ;/**  * Retrieve the latest indices stats, calling the listener when complete  * @return a latch that can be used to wait for the indices stats to complete if desired  */ protected CountDownLatch updateIndicesStats(final ActionListener<IndicesStatsResponse> listener) {     final CountDownLatch latch = new CountDownLatch(1).     final IndicesStatsRequest indicesStatsRequest = new IndicesStatsRequest().     indicesStatsRequest.clear().     indicesStatsRequest.store(true).     client.admin().indices().stats(indicesStatsRequest, new LatchedActionListener<>(listener, latch)).     return latch. }
false;private;0;10;;private void maybeRefresh() {     // Short-circuit if not enabled     if (enabled) {         refresh().     } else {         if (logger.isTraceEnabled()) {             logger.trace("Skipping ClusterInfoUpdatedJob since it is disabled").         }     } }
