commented;modifiers;parameterAmount;loc;comment;code
false;public;1;3;;public void setSlowTaskLoggingThreshold(TimeValue slowTaskLoggingThreshold) {     this.slowTaskLoggingThreshold = slowTaskLoggingThreshold. }
false;public,synchronized;1;4;;public synchronized void setNodeConnectionsService(NodeConnectionsService nodeConnectionsService) {     assert this.nodeConnectionsService == null : "nodeConnectionsService is already set".     this.nodeConnectionsService = nodeConnectionsService. }
false;public;1;8;;@Override public void setInitialState(ClusterState initialState) {     if (lifecycle.started()) {         throw new IllegalStateException("can't set initial state when started").     }     assert state.get() == null : "state is already set".     state.set(initialState). }
false;protected,synchronized;0;7;;@Override protected synchronized void doStart() {     Objects.requireNonNull(nodeConnectionsService, "please set the node connection service before starting").     Objects.requireNonNull(state.get(), "please set initial state before starting").     addListener(localNodeMasterListeners).     threadPoolExecutor = createThreadPoolExecutor(). }
false;protected;0;7;;protected PrioritizedEsThreadPoolExecutor createThreadPoolExecutor() {     return EsExecutors.newSinglePrioritizing(nodeName + "/" + CLUSTER_UPDATE_THREAD_NAME, daemonThreadFactory(nodeName, CLUSTER_UPDATE_THREAD_NAME), threadPool.getThreadContext(), threadPool.scheduler()). }
false;public;1;4;;@Override public ClusterState apply(ClusterState clusterState) {     return updateFunction.apply(clusterState). }
false;public;0;4;;@Override public void run() {     runTask(this). }
false;protected,synchronized;0;16;;@Override protected synchronized void doStop() {     for (NotifyTimeout onGoingTimeout : onGoingTimeouts) {         onGoingTimeout.cancel().         try {             onGoingTimeout.cancel().             onGoingTimeout.listener.onClose().         } catch (Exception ex) {             logger.debug("failed to notify listeners on shutdown", ex).         }     }     ThreadPool.terminate(threadPoolExecutor, 10, TimeUnit.SECONDS).     // close timeout listeners that did not have an ongoing timeout     timeoutClusterStateListeners.forEach(TimeoutClusterStateListener::onClose).     removeListener(localNodeMasterListeners). }
false;protected,synchronized;0;3;;@Override protected synchronized void doClose() { }
true;public;0;6;/**  * The current cluster state.  * Should be renamed to appliedClusterState  */ ;/**  * The current cluster state.  * Should be renamed to appliedClusterState  */ public ClusterState state() {     assert assertNotCalledFromClusterStateApplier("the applied cluster state is not yet available").     ClusterState clusterState = this.state.get().     assert clusterState != null : "initial cluster state not set yet".     return clusterState. }
true;public;1;3;/**  * Adds a high priority applier of updated cluster states.  */ ;/**  * Adds a high priority applier of updated cluster states.  */ public void addHighPriorityApplier(ClusterStateApplier applier) {     highPriorityStateAppliers.add(applier). }
true;public;1;3;/**  * Adds an applier which will be called after all high priority and normal appliers have been called.  */ ;/**  * Adds an applier which will be called after all high priority and normal appliers have been called.  */ public void addLowPriorityApplier(ClusterStateApplier applier) {     lowPriorityStateAppliers.add(applier). }
true;public;1;3;/**  * Adds a applier of updated cluster states.  */ ;/**  * Adds a applier of updated cluster states.  */ public void addStateApplier(ClusterStateApplier applier) {     normalPriorityStateAppliers.add(applier). }
true;public;1;5;/**  * Removes an applier of updated cluster states.  */ ;/**  * Removes an applier of updated cluster states.  */ public void removeApplier(ClusterStateApplier applier) {     normalPriorityStateAppliers.remove(applier).     highPriorityStateAppliers.remove(applier).     lowPriorityStateAppliers.remove(applier). }
true;public;1;3;/**  * Add a listener for updated cluster states  */ ;/**  * Add a listener for updated cluster states  */ public void addListener(ClusterStateListener listener) {     clusterStateListeners.add(listener). }
true;public;1;3;/**  * Removes a listener for updated cluster states.  */ ;/**  * Removes a listener for updated cluster states.  */ public void removeListener(ClusterStateListener listener) {     clusterStateListeners.remove(listener). }
