commented;modifiers;parameterAmount;loc;comment;code
false;private;1;4;;private void setSlowTaskLoggingThreshold(TimeValue slowTaskLoggingThreshold) {     masterService.setSlowTaskLoggingThreshold(slowTaskLoggingThreshold).     clusterApplierService.setSlowTaskLoggingThreshold(slowTaskLoggingThreshold). }
false;public,synchronized;1;3;;public synchronized void setNodeConnectionsService(NodeConnectionsService nodeConnectionsService) {     clusterApplierService.setNodeConnectionsService(nodeConnectionsService). }
false;protected,synchronized;0;5;;@Override protected synchronized void doStart() {     clusterApplierService.start().     masterService.start(). }
false;protected,synchronized;0;5;;@Override protected synchronized void doStop() {     masterService.stop().     clusterApplierService.stop(). }
false;protected,synchronized;0;5;;@Override protected synchronized void doClose() {     masterService.close().     clusterApplierService.close(). }
true;public;0;7;/**  * The local node.  */ ;/**  * The local node.  */ public DiscoveryNode localNode() {     DiscoveryNode localNode = state().getNodes().getLocalNode().     if (localNode == null) {         throw new IllegalStateException("No local node found. Is the node started?").     }     return localNode. }
false;public;0;3;;public OperationRouting operationRouting() {     return operationRouting. }
true;public;0;3;/**  * The currently applied cluster state.  * TODO: Should be renamed to appliedState / appliedClusterState  */ ;/**  * The currently applied cluster state.  * TODO: Should be renamed to appliedState / appliedClusterState  */ public ClusterState state() {     return clusterApplierService.state(). }
true;public;1;3;/**  * Adds a high priority applier of updated cluster states.  */ ;/**  * Adds a high priority applier of updated cluster states.  */ public void addHighPriorityApplier(ClusterStateApplier applier) {     clusterApplierService.addHighPriorityApplier(applier). }
true;public;1;3;/**  * Adds an applier which will be called after all high priority and normal appliers have been called.  */ ;/**  * Adds an applier which will be called after all high priority and normal appliers have been called.  */ public void addLowPriorityApplier(ClusterStateApplier applier) {     clusterApplierService.addLowPriorityApplier(applier). }
true;public;1;3;/**  * Adds a applier of updated cluster states.  */ ;/**  * Adds a applier of updated cluster states.  */ public void addStateApplier(ClusterStateApplier applier) {     clusterApplierService.addStateApplier(applier). }
true;public;1;3;/**  * Removes an applier of updated cluster states.  */ ;/**  * Removes an applier of updated cluster states.  */ public void removeApplier(ClusterStateApplier applier) {     clusterApplierService.removeApplier(applier). }
true;public;1;3;/**  * Add a listener for updated cluster states  */ ;/**  * Add a listener for updated cluster states  */ public void addListener(ClusterStateListener listener) {     clusterApplierService.addListener(listener). }
true;public;1;3;/**  * Removes a listener for updated cluster states.  */ ;/**  * Removes a listener for updated cluster states.  */ public void removeListener(ClusterStateListener listener) {     clusterApplierService.removeListener(listener). }
true;public;1;3;/**  * Add a listener for on/off local node master events  */ ;/**  * Add a listener for on/off local node master events  */ public void addLocalNodeMasterListener(LocalNodeMasterListener listener) {     clusterApplierService.addLocalNodeMasterListener(listener). }
false;public;0;3;;public MasterService getMasterService() {     return masterService. }
false;public;0;3;;public ClusterApplierService getClusterApplierService() {     return clusterApplierService. }
