# id;timestamp;commentText;codeText;commentWords;codeWords
NetworkService -> public InetAddress[] resolveBindHostAddresses(String bindHosts[]) throws IOException;1524684173;Resolves {@code bindHosts} to a list of internet addresses. The list will_not contain duplicate addresses.__@param bindHosts list of hosts to bind to. this may contain special pseudo-hostnames_such as _local_ (see the documentation). if it is null, it will fall back to _local___@return unique set of internet addresses;public InetAddress[] resolveBindHostAddresses(String bindHosts[]) throws IOException {_        if (bindHosts == null || bindHosts.length == 0) {_            for (CustomNameResolver customNameResolver : customNameResolvers) {_                InetAddress addresses[] = customNameResolver.resolveDefault()__                if (addresses != null) {_                    return addresses__                }_            }_            _            bindHosts = new String[] {"_local_"}__        }__        InetAddress addresses[] = resolveInetAddresses(bindHosts)___        _        for (InetAddress address : addresses) {_            _            if (address.isMulticastAddress()) {_                throw new IllegalArgumentException("bind address: {" + NetworkAddress.format(address) + "} is invalid: multicast address")__            }_            _            if (address.isAnyLocalAddress() && addresses.length > 1) {_                throw new IllegalArgumentException("bind address: {" + NetworkAddress.format(address) + "} is wildcard, but multiple addresses specified: this makes no sense")__            }_        }_        return addresses__    };resolves,code,bind,hosts,to,a,list,of,internet,addresses,the,list,will,not,contain,duplicate,addresses,param,bind,hosts,list,of,hosts,to,bind,to,this,may,contain,special,pseudo,hostnames,such,as,see,the,documentation,if,it,is,null,it,will,fall,back,to,return,unique,set,of,internet,addresses;public,inet,address,resolve,bind,host,addresses,string,bind,hosts,throws,ioexception,if,bind,hosts,null,bind,hosts,length,0,for,custom,name,resolver,custom,name,resolver,custom,name,resolvers,inet,address,addresses,custom,name,resolver,resolve,default,if,addresses,null,return,addresses,bind,hosts,new,string,inet,address,addresses,resolve,inet,addresses,bind,hosts,for,inet,address,address,addresses,if,address,is,multicast,address,throw,new,illegal,argument,exception,bind,address,network,address,format,address,is,invalid,multicast,address,if,address,is,any,local,address,addresses,length,1,throw,new,illegal,argument,exception,bind,address,network,address,format,address,is,wildcard,but,multiple,addresses,specified,this,makes,no,sense,return,addresses
NetworkService -> public InetAddress[] resolveBindHostAddresses(String bindHosts[]) throws IOException;1525334055;Resolves {@code bindHosts} to a list of internet addresses. The list will_not contain duplicate addresses.__@param bindHosts list of hosts to bind to. this may contain special pseudo-hostnames_such as _local_ (see the documentation). if it is null, it will fall back to _local___@return unique set of internet addresses;public InetAddress[] resolveBindHostAddresses(String bindHosts[]) throws IOException {_        if (bindHosts == null || bindHosts.length == 0) {_            for (CustomNameResolver customNameResolver : customNameResolvers) {_                InetAddress addresses[] = customNameResolver.resolveDefault()__                if (addresses != null) {_                    return addresses__                }_            }_            _            bindHosts = new String[] {"_local_"}__        }__        InetAddress addresses[] = resolveInetAddresses(bindHosts)___        _        for (InetAddress address : addresses) {_            _            if (address.isMulticastAddress()) {_                throw new IllegalArgumentException("bind address: {" + NetworkAddress.format(address) + "} is invalid: multicast address")__            }_            _            if (address.isAnyLocalAddress() && addresses.length > 1) {_                throw new IllegalArgumentException("bind address: {" + NetworkAddress.format(address) + "} is wildcard, but multiple addresses specified: this makes no sense")__            }_        }_        return addresses__    };resolves,code,bind,hosts,to,a,list,of,internet,addresses,the,list,will,not,contain,duplicate,addresses,param,bind,hosts,list,of,hosts,to,bind,to,this,may,contain,special,pseudo,hostnames,such,as,see,the,documentation,if,it,is,null,it,will,fall,back,to,return,unique,set,of,internet,addresses;public,inet,address,resolve,bind,host,addresses,string,bind,hosts,throws,ioexception,if,bind,hosts,null,bind,hosts,length,0,for,custom,name,resolver,custom,name,resolver,custom,name,resolvers,inet,address,addresses,custom,name,resolver,resolve,default,if,addresses,null,return,addresses,bind,hosts,new,string,inet,address,addresses,resolve,inet,addresses,bind,hosts,for,inet,address,address,addresses,if,address,is,multicast,address,throw,new,illegal,argument,exception,bind,address,network,address,format,address,is,invalid,multicast,address,if,address,is,any,local,address,addresses,length,1,throw,new,illegal,argument,exception,bind,address,network,address,format,address,is,wildcard,but,multiple,addresses,specified,this,makes,no,sense,return,addresses
NetworkService -> public InetAddress[] resolveBindHostAddresses(String bindHosts[]) throws IOException;1540583181;Resolves {@code bindHosts} to a list of internet addresses. The list will_not contain duplicate addresses.__@param bindHosts list of hosts to bind to. this may contain special pseudo-hostnames_such as _local_ (see the documentation). if it is null, it will fall back to _local___@return unique set of internet addresses;public InetAddress[] resolveBindHostAddresses(String bindHosts[]) throws IOException {_        if (bindHosts == null || bindHosts.length == 0) {_            for (CustomNameResolver customNameResolver : customNameResolvers) {_                InetAddress addresses[] = customNameResolver.resolveDefault()__                if (addresses != null) {_                    return addresses__                }_            }_            _            bindHosts = new String[] {"_local_"}__        }__        InetAddress addresses[] = resolveInetAddresses(bindHosts)___        _        for (InetAddress address : addresses) {_            _            if (address.isMulticastAddress()) {_                throw new IllegalArgumentException("bind address: {" + NetworkAddress.format(address) + "} is invalid: multicast address")__            }_            _            if (address.isAnyLocalAddress() && addresses.length > 1) {_                throw new IllegalArgumentException("bind address: {" + NetworkAddress.format(address) +_                    "} is wildcard, but multiple addresses specified: this makes no sense")__            }_        }_        return addresses__    };resolves,code,bind,hosts,to,a,list,of,internet,addresses,the,list,will,not,contain,duplicate,addresses,param,bind,hosts,list,of,hosts,to,bind,to,this,may,contain,special,pseudo,hostnames,such,as,see,the,documentation,if,it,is,null,it,will,fall,back,to,return,unique,set,of,internet,addresses;public,inet,address,resolve,bind,host,addresses,string,bind,hosts,throws,ioexception,if,bind,hosts,null,bind,hosts,length,0,for,custom,name,resolver,custom,name,resolver,custom,name,resolvers,inet,address,addresses,custom,name,resolver,resolve,default,if,addresses,null,return,addresses,bind,hosts,new,string,inet,address,addresses,resolve,inet,addresses,bind,hosts,for,inet,address,address,addresses,if,address,is,multicast,address,throw,new,illegal,argument,exception,bind,address,network,address,format,address,is,invalid,multicast,address,if,address,is,any,local,address,addresses,length,1,throw,new,illegal,argument,exception,bind,address,network,address,format,address,is,wildcard,but,multiple,addresses,specified,this,makes,no,sense,return,addresses
NetworkService -> public InetAddress[] resolveBindHostAddresses(String bindHosts[]) throws IOException;1544823664;Resolves {@code bindHosts} to a list of internet addresses. The list will_not contain duplicate addresses.__@param bindHosts list of hosts to bind to. this may contain special pseudo-hostnames_such as _local_ (see the documentation). if it is null, it will fall back to _local___@return unique set of internet addresses;public InetAddress[] resolveBindHostAddresses(String bindHosts[]) throws IOException {_        if (bindHosts == null || bindHosts.length == 0) {_            for (CustomNameResolver customNameResolver : customNameResolvers) {_                InetAddress addresses[] = customNameResolver.resolveDefault()__                if (addresses != null) {_                    return addresses__                }_            }_            _            bindHosts = new String[] {"_local_"}__        }__        InetAddress addresses[] = resolveInetAddresses(bindHosts)___        _        for (InetAddress address : addresses) {_            _            if (address.isMulticastAddress()) {_                throw new IllegalArgumentException("bind address: {" + NetworkAddress.format(address) + "} is invalid: multicast address")__            }_            _            if (address.isAnyLocalAddress() && addresses.length > 1) {_                throw new IllegalArgumentException("bind address: {" + NetworkAddress.format(address) +_                    "} is wildcard, but multiple addresses specified: this makes no sense")__            }_        }_        return addresses__    };resolves,code,bind,hosts,to,a,list,of,internet,addresses,the,list,will,not,contain,duplicate,addresses,param,bind,hosts,list,of,hosts,to,bind,to,this,may,contain,special,pseudo,hostnames,such,as,see,the,documentation,if,it,is,null,it,will,fall,back,to,return,unique,set,of,internet,addresses;public,inet,address,resolve,bind,host,addresses,string,bind,hosts,throws,ioexception,if,bind,hosts,null,bind,hosts,length,0,for,custom,name,resolver,custom,name,resolver,custom,name,resolvers,inet,address,addresses,custom,name,resolver,resolve,default,if,addresses,null,return,addresses,bind,hosts,new,string,inet,address,addresses,resolve,inet,addresses,bind,hosts,for,inet,address,address,addresses,if,address,is,multicast,address,throw,new,illegal,argument,exception,bind,address,network,address,format,address,is,invalid,multicast,address,if,address,is,any,local,address,addresses,length,1,throw,new,illegal,argument,exception,bind,address,network,address,format,address,is,wildcard,but,multiple,addresses,specified,this,makes,no,sense,return,addresses
NetworkService -> public InetAddress resolvePublishHostAddresses(String publishHosts[]) throws IOException;1524684173;Resolves {@code publishHosts} to a single publish address. The fact that it returns_only one address is just a current limitation._<p>_If {@code publishHosts} resolves to more than one address, <b>then one is selected with magic</b>__@param publishHosts list of hosts to publish as. this may contain special pseudo-hostnames_such as _local_ (see the documentation). if it is null, it will fall back to _local__@return single internet address;public InetAddress resolvePublishHostAddresses(String publishHosts[]) throws IOException {_        if (publishHosts == null || publishHosts.length == 0) {_            for (CustomNameResolver customNameResolver : customNameResolvers) {_                InetAddress addresses[] = customNameResolver.resolveDefault()__                if (addresses != null) {_                    return addresses[0]__                }_            }_            _            publishHosts = new String[] {DEFAULT_NETWORK_HOST}__        }__        InetAddress addresses[] = resolveInetAddresses(publishHosts)__        _        __        _        if (addresses.length == 1 && addresses[0].isAnyLocalAddress()) {_            HashSet<InetAddress> all = new HashSet<>(Arrays.asList(NetworkUtils.getAllAddresses()))__            addresses = all.toArray(new InetAddress[all.size()])__        }__        _        for (InetAddress address : addresses) {_            _            if (address.isMulticastAddress()) {_                throw new IllegalArgumentException("publish address: {" + NetworkAddress.format(address) + "} is invalid: multicast address")__            }_            _            _            if (address.isAnyLocalAddress()) {_                throw new IllegalArgumentException("publish address: {" + NetworkAddress.format(address) + "} is wildcard, but multiple addresses specified: this makes no sense")__            }_        }__        _        _        if (addresses.length > 1) {_            List<InetAddress> sorted = new ArrayList<>(Arrays.asList(addresses))__            NetworkUtils.sortAddresses(sorted)__            addresses = new InetAddress[]{sorted.get(0)}__        }_        return addresses[0]__    };resolves,code,publish,hosts,to,a,single,publish,address,the,fact,that,it,returns,only,one,address,is,just,a,current,limitation,p,if,code,publish,hosts,resolves,to,more,than,one,address,b,then,one,is,selected,with,magic,b,param,publish,hosts,list,of,hosts,to,publish,as,this,may,contain,special,pseudo,hostnames,such,as,see,the,documentation,if,it,is,null,it,will,fall,back,to,return,single,internet,address;public,inet,address,resolve,publish,host,addresses,string,publish,hosts,throws,ioexception,if,publish,hosts,null,publish,hosts,length,0,for,custom,name,resolver,custom,name,resolver,custom,name,resolvers,inet,address,addresses,custom,name,resolver,resolve,default,if,addresses,null,return,addresses,0,publish,hosts,new,string,inet,address,addresses,resolve,inet,addresses,publish,hosts,if,addresses,length,1,addresses,0,is,any,local,address,hash,set,inet,address,all,new,hash,set,arrays,as,list,network,utils,get,all,addresses,addresses,all,to,array,new,inet,address,all,size,for,inet,address,address,addresses,if,address,is,multicast,address,throw,new,illegal,argument,exception,publish,address,network,address,format,address,is,invalid,multicast,address,if,address,is,any,local,address,throw,new,illegal,argument,exception,publish,address,network,address,format,address,is,wildcard,but,multiple,addresses,specified,this,makes,no,sense,if,addresses,length,1,list,inet,address,sorted,new,array,list,arrays,as,list,addresses,network,utils,sort,addresses,sorted,addresses,new,inet,address,sorted,get,0,return,addresses,0
NetworkService -> public InetAddress resolvePublishHostAddresses(String publishHosts[]) throws IOException;1525334055;Resolves {@code publishHosts} to a single publish address. The fact that it returns_only one address is just a current limitation._<p>_If {@code publishHosts} resolves to more than one address, <b>then one is selected with magic</b>__@param publishHosts list of hosts to publish as. this may contain special pseudo-hostnames_such as _local_ (see the documentation). if it is null, it will fall back to _local__@return single internet address;public InetAddress resolvePublishHostAddresses(String publishHosts[]) throws IOException {_        if (publishHosts == null || publishHosts.length == 0) {_            for (CustomNameResolver customNameResolver : customNameResolvers) {_                InetAddress addresses[] = customNameResolver.resolveDefault()__                if (addresses != null) {_                    return addresses[0]__                }_            }_            _            publishHosts = new String[] {DEFAULT_NETWORK_HOST}__        }__        InetAddress addresses[] = resolveInetAddresses(publishHosts)__        _        __        _        if (addresses.length == 1 && addresses[0].isAnyLocalAddress()) {_            HashSet<InetAddress> all = new HashSet<>(Arrays.asList(NetworkUtils.getAllAddresses()))__            addresses = all.toArray(new InetAddress[all.size()])__        }__        _        for (InetAddress address : addresses) {_            _            if (address.isMulticastAddress()) {_                throw new IllegalArgumentException("publish address: {" + NetworkAddress.format(address) + "} is invalid: multicast address")__            }_            _            _            if (address.isAnyLocalAddress()) {_                throw new IllegalArgumentException("publish address: {" + NetworkAddress.format(address) + "} is wildcard, but multiple addresses specified: this makes no sense")__            }_        }__        _        _        if (addresses.length > 1) {_            List<InetAddress> sorted = new ArrayList<>(Arrays.asList(addresses))__            NetworkUtils.sortAddresses(sorted)__            addresses = new InetAddress[]{sorted.get(0)}__        }_        return addresses[0]__    };resolves,code,publish,hosts,to,a,single,publish,address,the,fact,that,it,returns,only,one,address,is,just,a,current,limitation,p,if,code,publish,hosts,resolves,to,more,than,one,address,b,then,one,is,selected,with,magic,b,param,publish,hosts,list,of,hosts,to,publish,as,this,may,contain,special,pseudo,hostnames,such,as,see,the,documentation,if,it,is,null,it,will,fall,back,to,return,single,internet,address;public,inet,address,resolve,publish,host,addresses,string,publish,hosts,throws,ioexception,if,publish,hosts,null,publish,hosts,length,0,for,custom,name,resolver,custom,name,resolver,custom,name,resolvers,inet,address,addresses,custom,name,resolver,resolve,default,if,addresses,null,return,addresses,0,publish,hosts,new,string,inet,address,addresses,resolve,inet,addresses,publish,hosts,if,addresses,length,1,addresses,0,is,any,local,address,hash,set,inet,address,all,new,hash,set,arrays,as,list,network,utils,get,all,addresses,addresses,all,to,array,new,inet,address,all,size,for,inet,address,address,addresses,if,address,is,multicast,address,throw,new,illegal,argument,exception,publish,address,network,address,format,address,is,invalid,multicast,address,if,address,is,any,local,address,throw,new,illegal,argument,exception,publish,address,network,address,format,address,is,wildcard,but,multiple,addresses,specified,this,makes,no,sense,if,addresses,length,1,list,inet,address,sorted,new,array,list,arrays,as,list,addresses,network,utils,sort,addresses,sorted,addresses,new,inet,address,sorted,get,0,return,addresses,0
NetworkService -> public InetAddress resolvePublishHostAddresses(String publishHosts[]) throws IOException;1540583181;Resolves {@code publishHosts} to a single publish address. The fact that it returns_only one address is just a current limitation._<p>_If {@code publishHosts} resolves to more than one address, <b>then one is selected with magic</b>__@param publishHosts list of hosts to publish as. this may contain special pseudo-hostnames_such as _local_ (see the documentation). if it is null, it will fall back to _local__@return single internet address;public InetAddress resolvePublishHostAddresses(String publishHosts[]) throws IOException {_        if (publishHosts == null || publishHosts.length == 0) {_            for (CustomNameResolver customNameResolver : customNameResolvers) {_                InetAddress addresses[] = customNameResolver.resolveDefault()__                if (addresses != null) {_                    return addresses[0]__                }_            }_            _            publishHosts = new String[] {DEFAULT_NETWORK_HOST}__        }__        InetAddress addresses[] = resolveInetAddresses(publishHosts)__        _        __        _        if (addresses.length == 1 && addresses[0].isAnyLocalAddress()) {_            HashSet<InetAddress> all = new HashSet<>(Arrays.asList(NetworkUtils.getAllAddresses()))__            addresses = all.toArray(new InetAddress[all.size()])__        }__        _        for (InetAddress address : addresses) {_            _            if (address.isMulticastAddress()) {_                throw new IllegalArgumentException("publish address: {" + NetworkAddress.format(address) +_                    "} is invalid: multicast address")__            }_            _            _            if (address.isAnyLocalAddress()) {_                throw new IllegalArgumentException("publish address: {" + NetworkAddress.format(address) +_                    "} is wildcard, but multiple addresses specified: this makes no sense")__            }_        }__        _        _        if (addresses.length > 1) {_            List<InetAddress> sorted = new ArrayList<>(Arrays.asList(addresses))__            NetworkUtils.sortAddresses(sorted)__            addresses = new InetAddress[]{sorted.get(0)}__        }_        return addresses[0]__    };resolves,code,publish,hosts,to,a,single,publish,address,the,fact,that,it,returns,only,one,address,is,just,a,current,limitation,p,if,code,publish,hosts,resolves,to,more,than,one,address,b,then,one,is,selected,with,magic,b,param,publish,hosts,list,of,hosts,to,publish,as,this,may,contain,special,pseudo,hostnames,such,as,see,the,documentation,if,it,is,null,it,will,fall,back,to,return,single,internet,address;public,inet,address,resolve,publish,host,addresses,string,publish,hosts,throws,ioexception,if,publish,hosts,null,publish,hosts,length,0,for,custom,name,resolver,custom,name,resolver,custom,name,resolvers,inet,address,addresses,custom,name,resolver,resolve,default,if,addresses,null,return,addresses,0,publish,hosts,new,string,inet,address,addresses,resolve,inet,addresses,publish,hosts,if,addresses,length,1,addresses,0,is,any,local,address,hash,set,inet,address,all,new,hash,set,arrays,as,list,network,utils,get,all,addresses,addresses,all,to,array,new,inet,address,all,size,for,inet,address,address,addresses,if,address,is,multicast,address,throw,new,illegal,argument,exception,publish,address,network,address,format,address,is,invalid,multicast,address,if,address,is,any,local,address,throw,new,illegal,argument,exception,publish,address,network,address,format,address,is,wildcard,but,multiple,addresses,specified,this,makes,no,sense,if,addresses,length,1,list,inet,address,sorted,new,array,list,arrays,as,list,addresses,network,utils,sort,addresses,sorted,addresses,new,inet,address,sorted,get,0,return,addresses,0
NetworkService -> public InetAddress resolvePublishHostAddresses(String publishHosts[]) throws IOException;1544823664;Resolves {@code publishHosts} to a single publish address. The fact that it returns_only one address is just a current limitation._<p>_If {@code publishHosts} resolves to more than one address, <b>then one is selected with magic</b>__@param publishHosts list of hosts to publish as. this may contain special pseudo-hostnames_such as _local_ (see the documentation). if it is null, it will fall back to _local__@return single internet address;public InetAddress resolvePublishHostAddresses(String publishHosts[]) throws IOException {_        if (publishHosts == null || publishHosts.length == 0) {_            for (CustomNameResolver customNameResolver : customNameResolvers) {_                InetAddress addresses[] = customNameResolver.resolveDefault()__                if (addresses != null) {_                    return addresses[0]__                }_            }_            _            publishHosts = new String[] {DEFAULT_NETWORK_HOST}__        }__        InetAddress addresses[] = resolveInetAddresses(publishHosts)__        _        __        _        if (addresses.length == 1 && addresses[0].isAnyLocalAddress()) {_            HashSet<InetAddress> all = new HashSet<>(Arrays.asList(NetworkUtils.getAllAddresses()))__            addresses = all.toArray(new InetAddress[all.size()])__        }__        _        for (InetAddress address : addresses) {_            _            if (address.isMulticastAddress()) {_                throw new IllegalArgumentException("publish address: {" + NetworkAddress.format(address) +_                    "} is invalid: multicast address")__            }_            _            _            if (address.isAnyLocalAddress()) {_                throw new IllegalArgumentException("publish address: {" + NetworkAddress.format(address) +_                    "} is wildcard, but multiple addresses specified: this makes no sense")__            }_        }__        _        _        if (addresses.length > 1) {_            List<InetAddress> sorted = new ArrayList<>(Arrays.asList(addresses))__            NetworkUtils.sortAddresses(sorted)__            addresses = new InetAddress[]{sorted.get(0)}__        }_        return addresses[0]__    };resolves,code,publish,hosts,to,a,single,publish,address,the,fact,that,it,returns,only,one,address,is,just,a,current,limitation,p,if,code,publish,hosts,resolves,to,more,than,one,address,b,then,one,is,selected,with,magic,b,param,publish,hosts,list,of,hosts,to,publish,as,this,may,contain,special,pseudo,hostnames,such,as,see,the,documentation,if,it,is,null,it,will,fall,back,to,return,single,internet,address;public,inet,address,resolve,publish,host,addresses,string,publish,hosts,throws,ioexception,if,publish,hosts,null,publish,hosts,length,0,for,custom,name,resolver,custom,name,resolver,custom,name,resolvers,inet,address,addresses,custom,name,resolver,resolve,default,if,addresses,null,return,addresses,0,publish,hosts,new,string,inet,address,addresses,resolve,inet,addresses,publish,hosts,if,addresses,length,1,addresses,0,is,any,local,address,hash,set,inet,address,all,new,hash,set,arrays,as,list,network,utils,get,all,addresses,addresses,all,to,array,new,inet,address,all,size,for,inet,address,address,addresses,if,address,is,multicast,address,throw,new,illegal,argument,exception,publish,address,network,address,format,address,is,invalid,multicast,address,if,address,is,any,local,address,throw,new,illegal,argument,exception,publish,address,network,address,format,address,is,wildcard,but,multiple,addresses,specified,this,makes,no,sense,if,addresses,length,1,list,inet,address,sorted,new,array,list,arrays,as,list,addresses,network,utils,sort,addresses,sorted,addresses,new,inet,address,sorted,get,0,return,addresses,0
NetworkService -> CustomNameResolver -> InetAddress[] resolveDefault()_;1524684173;Resolves the default value if possible. If not, return <tt>null</tt>.;InetAddress[] resolveDefault()_;resolves,the,default,value,if,possible,if,not,return,tt,null,tt;inet,address,resolve,default
NetworkService -> CustomNameResolver -> InetAddress[] resolveDefault()_;1525334055;Resolves the default value if possible. If not, return {@code null}.;InetAddress[] resolveDefault()_;resolves,the,default,value,if,possible,if,not,return,code,null;inet,address,resolve,default
