commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public MappedFieldType fieldType() {     return fieldType. }
false;public;1;23;;public T index(boolean index) {     if (index) {         if (fieldType.indexOptions() == IndexOptions.NONE) {             /*                      * the logic here is to reset to the default options only if we are not indexed ie. options are null                      * if the fieldType has a non-null option we are all good it might have been set through a different                      * call.                      */             IndexOptions options = getDefaultIndexOption().             if (options == IndexOptions.NONE) {                 // created on an index                 throw new IllegalArgumentException("mapper [" + name + "] has different [index] values from other types" + " of the same index").             }             fieldType.setIndexOptions(options).         }     } else {         fieldType.setIndexOptions(IndexOptions.NONE).     }     return builder. }
false;protected;0;3;;protected IndexOptions getDefaultIndexOption() {     return defaultOptions. }
false;public;1;4;;public T store(boolean store) {     this.fieldType.setStored(store).     return builder. }
false;public;1;5;;public T docValues(boolean docValues) {     this.fieldType.setHasDocValues(docValues).     this.docValuesSet = true.     return builder. }
false;public;1;6;;public T storeTermVectors(boolean termVectors) {     if (termVectors != this.fieldType.storeTermVectors()) {         this.fieldType.setStoreTermVectors(termVectors).     }     // don't set it to false, it is default and might be flipped by a more specific option     return builder. }
false;public;1;7;;public T storeTermVectorOffsets(boolean termVectorOffsets) {     if (termVectorOffsets) {         this.fieldType.setStoreTermVectors(termVectorOffsets).     }     this.fieldType.setStoreTermVectorOffsets(termVectorOffsets).     return builder. }
false;public;1;7;;public T storeTermVectorPositions(boolean termVectorPositions) {     if (termVectorPositions) {         this.fieldType.setStoreTermVectors(termVectorPositions).     }     this.fieldType.setStoreTermVectorPositions(termVectorPositions).     return builder. }
false;public;1;7;;public T storeTermVectorPayloads(boolean termVectorPayloads) {     if (termVectorPayloads) {         this.fieldType.setStoreTermVectors(termVectorPayloads).     }     this.fieldType.setStoreTermVectorPayloads(termVectorPayloads).     return builder. }
false;public;1;4;;public T boost(float boost) {     this.fieldType.setBoost(boost).     return builder. }
false;public;1;5;;public T omitNorms(boolean omitNorms) {     this.fieldType.setOmitNorms(omitNorms).     this.omitNormsSet = true.     return builder. }
false;public;1;5;;public T indexOptions(IndexOptions indexOptions) {     this.fieldType.setIndexOptions(indexOptions).     this.indexOptionsSet = true.     return builder. }
false;public;1;4;;public T indexAnalyzer(NamedAnalyzer indexAnalyzer) {     this.fieldType.setIndexAnalyzer(indexAnalyzer).     return builder. }
false;public;1;4;;public T searchAnalyzer(NamedAnalyzer searchAnalyzer) {     this.fieldType.setSearchAnalyzer(searchAnalyzer).     return builder. }
false;public;1;4;;public T searchQuoteAnalyzer(NamedAnalyzer searchQuoteAnalyzer) {     this.fieldType.setSearchQuoteAnalyzer(searchQuoteAnalyzer).     return builder. }
false;public;1;4;;public T similarity(SimilarityProvider similarity) {     this.fieldType.setSimilarity(similarity).     return builder. }
false;public;1;4;;public Builder nullValue(Object nullValue) {     this.fieldType.setNullValue(nullValue).     return this. }
false;public;1;4;;public T addMultiField(Mapper.Builder mapperBuilder) {     multiFieldsBuilder.add(mapperBuilder).     return builder. }
false;public;1;4;;public T copyTo(CopyTo copyTo) {     this.copyTo = copyTo.     return builder. }
false;protected;1;3;;protected String buildFullName(BuilderContext context) {     return context.path().pathAsText(name). }
false;protected;1;3;;protected boolean defaultDocValues(Version indexCreated) {     return fieldType.tokenized() == false. }
false;protected;1;12;;protected void setupFieldType(BuilderContext context) {     fieldType.setName(buildFullName(context)).     if (fieldType.indexAnalyzer() == null && fieldType.tokenized() == false && fieldType.indexOptions() != IndexOptions.NONE) {         fieldType.setIndexAnalyzer(Lucene.KEYWORD_ANALYZER).         fieldType.setSearchAnalyzer(Lucene.KEYWORD_ANALYZER).     }     boolean defaultDocValues = defaultDocValues(context.indexCreatedVersion()).     defaultFieldType.setHasDocValues(defaultDocValues).     if (docValuesSet == false) {         fieldType.setHasDocValues(defaultDocValues).     } }
false;public;0;4;;@Override public String name() {     return fieldType().name(). }
false;public;0;4;;@Override public String typeName() {     return fieldType.typeName(). }
false;public;0;3;;public MappedFieldType fieldType() {     return fieldType. }
true;public;0;3;/**  * List of fields where this field should be copied to  */ ;/**  * List of fields where this field should be copied to  */ public CopyTo copyTo() {     return copyTo. }
true;public;1;13;/**  * Parse the field value using the provided {@link ParseContext}.  */ ;/**  * Parse the field value using the provided {@link ParseContext}.  */ public void parse(ParseContext context) throws IOException {     final List<IndexableField> fields = new ArrayList<>(2).     try {         parseCreateField(context, fields).         for (IndexableField field : fields) {             context.doc().add(field).         }     } catch (Exception e) {         throw new MapperParsingException("failed to parse field [{}] of type [{}] in document with id '{}'", e, fieldType().name(), fieldType().typeName(), context.sourceToParse().id()).     }     multiFields.parse(this, context). }
true;protected,abstract;2;1;/**  * Parse the field value and populate <code>fields</code>.  */ ;/**  * Parse the field value and populate <code>fields</code>.  */ protected abstract void parseCreateField(ParseContext context, List<IndexableField> fields) throws IOException.
false;protected;2;9;;protected void createFieldNamesField(ParseContext context, List<IndexableField> fields) {     FieldNamesFieldType fieldNamesFieldType = (FieldNamesFieldMapper.FieldNamesFieldType) context.docMapper().metadataMapper(FieldNamesFieldMapper.class).fieldType().     if (fieldNamesFieldType != null && fieldNamesFieldType.isEnabled()) {         for (String fieldName : FieldNamesFieldMapper.extractFieldNames(fieldType().name())) {             fields.add(new Field(FieldNamesFieldMapper.NAME, fieldName, fieldNamesFieldType)).         }     } }
false;public;0;4;;@Override public Iterator<Mapper> iterator() {     return multiFields.iterator(). }
false;protected;0;8;;@Override protected FieldMapper clone() {     try {         return (FieldMapper) super.clone().     } catch (CloneNotSupportedException e) {         throw new AssertionError(e).     } }
false;public;1;6;;@Override public FieldMapper merge(Mapper mergeWith) {     FieldMapper merged = clone().     merged.doMerge(mergeWith).     return merged. }
