# id;timestamp;commentText;codeText;commentWords;codeWords
InternalOrder -> public static boolean isKeyDesc(BucketOrder order);1524684173;Determine if the ordering strategy is sorting on bucket key descending.__@param order bucket ordering strategy to check._@return {@code true} if the ordering strategy is sorting on bucket key descending, {@code false} otherwise.;public static boolean isKeyDesc(BucketOrder order) {_        return isOrder(order, KEY_DESC)__    };determine,if,the,ordering,strategy,is,sorting,on,bucket,key,descending,param,order,bucket,ordering,strategy,to,check,return,code,true,if,the,ordering,strategy,is,sorting,on,bucket,key,descending,code,false,otherwise;public,static,boolean,is,key,desc,bucket,order,order,return,is,order,order
InternalOrder -> public static boolean isKeyDesc(BucketOrder order);1537806831;Determine if the ordering strategy is sorting on bucket key descending.__@param order bucket ordering strategy to check._@return {@code true} if the ordering strategy is sorting on bucket key descending, {@code false} otherwise.;public static boolean isKeyDesc(BucketOrder order) {_        return isOrder(order, KEY_DESC)__    };determine,if,the,ordering,strategy,is,sorting,on,bucket,key,descending,param,order,bucket,ordering,strategy,to,check,return,code,true,if,the,ordering,strategy,is,sorting,on,bucket,key,descending,code,false,otherwise;public,static,boolean,is,key,desc,bucket,order,order,return,is,order,order
InternalOrder -> public static boolean isKeyDesc(BucketOrder order);1540486836;Determine if the ordering strategy is sorting on bucket key descending.__@param order bucket ordering strategy to check._@return {@code true} if the ordering strategy is sorting on bucket key descending, {@code false} otherwise.;public static boolean isKeyDesc(BucketOrder order) {_        return isOrder(order, KEY_DESC)__    };determine,if,the,ordering,strategy,is,sorting,on,bucket,key,descending,param,order,bucket,ordering,strategy,to,check,return,code,true,if,the,ordering,strategy,is,sorting,on,bucket,key,descending,code,false,otherwise;public,static,boolean,is,key,desc,bucket,order,order,return,is,order,order
InternalOrder -> public static boolean isKeyDesc(BucketOrder order);1540583181;Determine if the ordering strategy is sorting on bucket key descending.__@param order bucket ordering strategy to check._@return {@code true} if the ordering strategy is sorting on bucket key descending, {@code false} otherwise.;public static boolean isKeyDesc(BucketOrder order) {_        return isOrder(order, KEY_DESC)__    };determine,if,the,ordering,strategy,is,sorting,on,bucket,key,descending,param,order,bucket,ordering,strategy,to,check,return,code,true,if,the,ordering,strategy,is,sorting,on,bucket,key,descending,code,false,otherwise;public,static,boolean,is,key,desc,bucket,order,order,return,is,order,order
InternalOrder -> Parser -> public static BucketOrder parseOrderParam(XContentParser parser) throws IOException;1524684173;Parse a {@link BucketOrder} from {@link XContent}.__@param parser  for parsing {@link XContent} that contains the order._@return bucket ordering strategy_@throws IOException on error a {@link XContent} parsing error.;public static BucketOrder parseOrderParam(XContentParser parser) throws IOException {_            XContentParser.Token token__            String orderKey = null__            boolean orderAsc = false__            while ((token = parser.nextToken()) != XContentParser.Token.END_OBJECT) {_                if (token == XContentParser.Token.FIELD_NAME) {_                    orderKey = parser.currentName()__                } else if (token == XContentParser.Token.VALUE_STRING) {_                    String dir = parser.text()__                    if ("asc".equalsIgnoreCase(dir)) {_                        orderAsc = true__                    } else if ("desc".equalsIgnoreCase(dir)) {_                        orderAsc = false__                    } else {_                        throw new ParsingException(parser.getTokenLocation(),_                            "Unknown order direction [" + dir + "]")__                    }_                } else {_                    throw new ParsingException(parser.getTokenLocation(),_                        "Unexpected token [" + token + "] for [order]")__                }_            }_            if (orderKey == null) {_                throw new ParsingException(parser.getTokenLocation(),_                    "Must specify at least one field for [order]")__            }_            _            if ("_term".equals(orderKey) || "_time".equals(orderKey)) {_                DEPRECATION_LOGGER.deprecated("Deprecated aggregation order key [{}] used, replaced by [_key]", orderKey)__            }_            switch (orderKey) {_                case "_term":_                case "_time":_                case "_key":_                    return orderAsc ? KEY_ASC : KEY_DESC__                case "_count":_                    return orderAsc ? COUNT_ASC : COUNT_DESC__                default: _                    return aggregation(orderKey, orderAsc)__            }_        };parse,a,link,bucket,order,from,link,xcontent,param,parser,for,parsing,link,xcontent,that,contains,the,order,return,bucket,ordering,strategy,throws,ioexception,on,error,a,link,xcontent,parsing,error;public,static,bucket,order,parse,order,param,xcontent,parser,parser,throws,ioexception,xcontent,parser,token,token,string,order,key,null,boolean,order,asc,false,while,token,parser,next,token,xcontent,parser,token,if,token,xcontent,parser,token,order,key,parser,current,name,else,if,token,xcontent,parser,token,string,dir,parser,text,if,asc,equals,ignore,case,dir,order,asc,true,else,if,desc,equals,ignore,case,dir,order,asc,false,else,throw,new,parsing,exception,parser,get,token,location,unknown,order,direction,dir,else,throw,new,parsing,exception,parser,get,token,location,unexpected,token,token,for,order,if,order,key,null,throw,new,parsing,exception,parser,get,token,location,must,specify,at,least,one,field,for,order,if,equals,order,key,equals,order,key,deprecated,deprecated,aggregation,order,key,used,replaced,by,order,key,switch,order,key,case,case,case,return,order,asc,case,return,order,asc,default,return,aggregation,order,key,order,asc
InternalOrder -> Parser -> public static BucketOrder parseOrderParam(XContentParser parser) throws IOException;1537806831;Parse a {@link BucketOrder} from {@link XContent}.__@param parser  for parsing {@link XContent} that contains the order._@return bucket ordering strategy_@throws IOException on error a {@link XContent} parsing error.;public static BucketOrder parseOrderParam(XContentParser parser) throws IOException {_            XContentParser.Token token__            String orderKey = null__            boolean orderAsc = false__            while ((token = parser.nextToken()) != XContentParser.Token.END_OBJECT) {_                if (token == XContentParser.Token.FIELD_NAME) {_                    orderKey = parser.currentName()__                } else if (token == XContentParser.Token.VALUE_STRING) {_                    String dir = parser.text()__                    if ("asc".equalsIgnoreCase(dir)) {_                        orderAsc = true__                    } else if ("desc".equalsIgnoreCase(dir)) {_                        orderAsc = false__                    } else {_                        throw new ParsingException(parser.getTokenLocation(),_                            "Unknown order direction [" + dir + "]")__                    }_                } else {_                    throw new ParsingException(parser.getTokenLocation(),_                        "Unexpected token [" + token + "] for [order]")__                }_            }_            if (orderKey == null) {_                throw new ParsingException(parser.getTokenLocation(),_                    "Must specify at least one field for [order]")__            }_            _            if ("_term".equals(orderKey) || "_time".equals(orderKey)) {_                DEPRECATION_LOGGER.deprecated("Deprecated aggregation order key [{}] used, replaced by [_key]", orderKey)__            }_            switch (orderKey) {_                case "_term":_                case "_time":_                case "_key":_                    return orderAsc ? KEY_ASC : KEY_DESC__                case "_count":_                    return orderAsc ? COUNT_ASC : COUNT_DESC__                default: _                    return aggregation(orderKey, orderAsc)__            }_        };parse,a,link,bucket,order,from,link,xcontent,param,parser,for,parsing,link,xcontent,that,contains,the,order,return,bucket,ordering,strategy,throws,ioexception,on,error,a,link,xcontent,parsing,error;public,static,bucket,order,parse,order,param,xcontent,parser,parser,throws,ioexception,xcontent,parser,token,token,string,order,key,null,boolean,order,asc,false,while,token,parser,next,token,xcontent,parser,token,if,token,xcontent,parser,token,order,key,parser,current,name,else,if,token,xcontent,parser,token,string,dir,parser,text,if,asc,equals,ignore,case,dir,order,asc,true,else,if,desc,equals,ignore,case,dir,order,asc,false,else,throw,new,parsing,exception,parser,get,token,location,unknown,order,direction,dir,else,throw,new,parsing,exception,parser,get,token,location,unexpected,token,token,for,order,if,order,key,null,throw,new,parsing,exception,parser,get,token,location,must,specify,at,least,one,field,for,order,if,equals,order,key,equals,order,key,deprecated,deprecated,aggregation,order,key,used,replaced,by,order,key,switch,order,key,case,case,case,return,order,asc,case,return,order,asc,default,return,aggregation,order,key,order,asc
InternalOrder -> Parser -> public static BucketOrder parseOrderParam(XContentParser parser) throws IOException;1540486836;Parse a {@link BucketOrder} from {@link XContent}.__@param parser  for parsing {@link XContent} that contains the order._@return bucket ordering strategy_@throws IOException on error a {@link XContent} parsing error.;public static BucketOrder parseOrderParam(XContentParser parser) throws IOException {_            XContentParser.Token token__            String orderKey = null__            boolean orderAsc = false__            while ((token = parser.nextToken()) != XContentParser.Token.END_OBJECT) {_                if (token == XContentParser.Token.FIELD_NAME) {_                    orderKey = parser.currentName()__                } else if (token == XContentParser.Token.VALUE_STRING) {_                    String dir = parser.text()__                    if ("asc".equalsIgnoreCase(dir)) {_                        orderAsc = true__                    } else if ("desc".equalsIgnoreCase(dir)) {_                        orderAsc = false__                    } else {_                        throw new ParsingException(parser.getTokenLocation(),_                            "Unknown order direction [" + dir + "]")__                    }_                } else {_                    throw new ParsingException(parser.getTokenLocation(),_                        "Unexpected token [" + token + "] for [order]")__                }_            }_            if (orderKey == null) {_                throw new ParsingException(parser.getTokenLocation(),_                    "Must specify at least one field for [order]")__            }_            _            if ("_term".equals(orderKey) || "_time".equals(orderKey)) {_                DEPRECATION_LOGGER.deprecated("Deprecated aggregation order key [{}] used, replaced by [_key]", orderKey)__            }_            switch (orderKey) {_                case "_term":_                case "_time":_                case "_key":_                    return orderAsc ? KEY_ASC : KEY_DESC__                case "_count":_                    return orderAsc ? COUNT_ASC : COUNT_DESC__                default: _                    return aggregation(orderKey, orderAsc)__            }_        };parse,a,link,bucket,order,from,link,xcontent,param,parser,for,parsing,link,xcontent,that,contains,the,order,return,bucket,ordering,strategy,throws,ioexception,on,error,a,link,xcontent,parsing,error;public,static,bucket,order,parse,order,param,xcontent,parser,parser,throws,ioexception,xcontent,parser,token,token,string,order,key,null,boolean,order,asc,false,while,token,parser,next,token,xcontent,parser,token,if,token,xcontent,parser,token,order,key,parser,current,name,else,if,token,xcontent,parser,token,string,dir,parser,text,if,asc,equals,ignore,case,dir,order,asc,true,else,if,desc,equals,ignore,case,dir,order,asc,false,else,throw,new,parsing,exception,parser,get,token,location,unknown,order,direction,dir,else,throw,new,parsing,exception,parser,get,token,location,unexpected,token,token,for,order,if,order,key,null,throw,new,parsing,exception,parser,get,token,location,must,specify,at,least,one,field,for,order,if,equals,order,key,equals,order,key,deprecated,deprecated,aggregation,order,key,used,replaced,by,order,key,switch,order,key,case,case,case,return,order,asc,case,return,order,asc,default,return,aggregation,order,key,order,asc
InternalOrder -> Parser -> public static BucketOrder parseOrderParam(XContentParser parser) throws IOException;1540583181;Parse a {@link BucketOrder} from {@link XContent}.__@param parser  for parsing {@link XContent} that contains the order._@return bucket ordering strategy_@throws IOException on error a {@link XContent} parsing error.;public static BucketOrder parseOrderParam(XContentParser parser) throws IOException {_            XContentParser.Token token__            String orderKey = null__            boolean orderAsc = false__            while ((token = parser.nextToken()) != XContentParser.Token.END_OBJECT) {_                if (token == XContentParser.Token.FIELD_NAME) {_                    orderKey = parser.currentName()__                } else if (token == XContentParser.Token.VALUE_STRING) {_                    String dir = parser.text()__                    if ("asc".equalsIgnoreCase(dir)) {_                        orderAsc = true__                    } else if ("desc".equalsIgnoreCase(dir)) {_                        orderAsc = false__                    } else {_                        throw new ParsingException(parser.getTokenLocation(),_                            "Unknown order direction [" + dir + "]")__                    }_                } else {_                    throw new ParsingException(parser.getTokenLocation(),_                        "Unexpected token [" + token + "] for [order]")__                }_            }_            if (orderKey == null) {_                throw new ParsingException(parser.getTokenLocation(),_                    "Must specify at least one field for [order]")__            }_            _            if ("_term".equals(orderKey) || "_time".equals(orderKey)) {_                deprecationLogger.deprecated("Deprecated aggregation order key [{}] used, replaced by [_key]", orderKey)__            }_            switch (orderKey) {_                case "_term":_                case "_time":_                case "_key":_                    return orderAsc ? KEY_ASC : KEY_DESC__                case "_count":_                    return orderAsc ? COUNT_ASC : COUNT_DESC__                default: _                    return aggregation(orderKey, orderAsc)__            }_        };parse,a,link,bucket,order,from,link,xcontent,param,parser,for,parsing,link,xcontent,that,contains,the,order,return,bucket,ordering,strategy,throws,ioexception,on,error,a,link,xcontent,parsing,error;public,static,bucket,order,parse,order,param,xcontent,parser,parser,throws,ioexception,xcontent,parser,token,token,string,order,key,null,boolean,order,asc,false,while,token,parser,next,token,xcontent,parser,token,if,token,xcontent,parser,token,order,key,parser,current,name,else,if,token,xcontent,parser,token,string,dir,parser,text,if,asc,equals,ignore,case,dir,order,asc,true,else,if,desc,equals,ignore,case,dir,order,asc,false,else,throw,new,parsing,exception,parser,get,token,location,unknown,order,direction,dir,else,throw,new,parsing,exception,parser,get,token,location,unexpected,token,token,for,order,if,order,key,null,throw,new,parsing,exception,parser,get,token,location,must,specify,at,least,one,field,for,order,if,equals,order,key,equals,order,key,deprecation,logger,deprecated,deprecated,aggregation,order,key,used,replaced,by,order,key,switch,order,key,case,case,case,return,order,asc,case,return,order,asc,default,return,aggregation,order,key,order,asc
InternalOrder -> Aggregation -> public AggregationPath path();1524684173;@return parsed path to the sub-aggregation to sort on.;public AggregationPath path() {_            return ((AggregationComparator) comparator).path__        };return,parsed,path,to,the,sub,aggregation,to,sort,on;public,aggregation,path,path,return,aggregation,comparator,comparator,path
InternalOrder -> Aggregation -> public AggregationPath path();1537806831;@return parsed path to the sub-aggregation to sort on.;public AggregationPath path() {_            return ((AggregationComparator) comparator).path__        };return,parsed,path,to,the,sub,aggregation,to,sort,on;public,aggregation,path,path,return,aggregation,comparator,comparator,path
InternalOrder -> Aggregation -> public AggregationPath path();1540486836;@return parsed path to the sub-aggregation to sort on.;public AggregationPath path() {_            return ((AggregationComparator) comparator).path__        };return,parsed,path,to,the,sub,aggregation,to,sort,on;public,aggregation,path,path,return,aggregation,comparator,comparator,path
