commented;modifiers;parameterAmount;loc;comment;code
false;public,abstract;1;1;;public abstract void setTask(SearchTask task).
false;public,abstract;0;1;;public abstract SearchTask getTask().
false;public,abstract;0;1;;public abstract boolean isCancelled().
false;public,final;0;6;;@Override public final void close() {     if (closed.compareAndSet(false, true)) {         // prevent double closing         decRef().     } }
false;protected,final;0;8;;@Override protected final void closeInternal() {     try {         clearReleasables(Lifetime.CONTEXT).     } finally {         doClose().     } }
false;protected;0;4;;@Override protected void alreadyClosed() {     throw new IllegalStateException("search context is already closed can't increment refCount current count [" + refCount() + "]"). }
false;protected,abstract;0;1;;protected abstract void doClose().
true;public,abstract;1;1;/**  * Should be called before executing the main query and after all other parameters have been set.  * @param rewrite if the set query should be rewritten against the searcher returned from {@link #searcher()}  */ ;/**  * Should be called before executing the main query and after all other parameters have been set.  * @param rewrite if the set query should be rewritten against the searcher returned from {@link #searcher()}  */ public abstract void preProcess(boolean rewrite).
true;public,abstract;1;1;/**  * Automatically apply all required filters to the given query such as  *  alias filters, types filters, etc.  */ ;/**  * Automatically apply all required filters to the given query such as  *  alias filters, types filters, etc.  */ public abstract Query buildFilteredQuery(Query query).
false;public,abstract;0;1;;public abstract long id().
false;public,abstract;0;1;;public abstract String source().
false;public,abstract;0;1;;public abstract ShardSearchRequest request().
false;public,abstract;0;1;;public abstract SearchType searchType().
false;public,abstract;0;1;;public abstract SearchShardTarget shardTarget().
false;public,abstract;0;1;;public abstract int numberOfShards().
false;public,abstract;0;1;;public abstract float queryBoost().
false;public,abstract;0;1;;public abstract long getOriginNanoTime().
false;public,abstract;0;1;;public abstract ScrollContext scrollContext().
false;public,abstract;1;1;;public abstract SearchContext scrollContext(ScrollContext scroll).
false;public,abstract;0;1;;public abstract SearchContextAggregations aggregations().
false;public,abstract;1;1;;public abstract SearchContext aggregations(SearchContextAggregations aggregations).
false;public,abstract;1;1;;public abstract void addSearchExt(SearchExtBuilder searchExtBuilder).
false;public,abstract;1;1;;public abstract SearchExtBuilder getSearchExt(String name).
false;public,abstract;0;1;;public abstract SearchContextHighlight highlight().
false;public,abstract;1;1;;public abstract void highlight(SearchContextHighlight highlight).
false;public;0;6;;public InnerHitsContext innerHits() {     if (innerHitsContext == null) {         innerHitsContext = new InnerHitsContext().     }     return innerHitsContext. }
false;public,abstract;0;1;;public abstract SuggestionSearchContext suggest().
false;public,abstract;1;1;;public abstract void suggest(SuggestionSearchContext suggest).
true;public,abstract;0;1;/**  * @return list of all rescore contexts.  empty if there aren't any.  */ ;/**  * @return list of all rescore contexts.  empty if there aren't any.  */ public abstract List<RescoreContext> rescore().
false;public,abstract;1;1;;public abstract void addRescore(RescoreContext rescore).
