# id;timestamp;commentText;codeText;commentWords;codeWords
TermsGroupConfig -> public List<CompositeValuesSourceBuilder<?>> toBuilders();1524684173;This returns a set of aggregation builders which represent the configured_set of date histograms.  Used by the rollup indexer to iterate over historical data;public List<CompositeValuesSourceBuilder<?>> toBuilders() {_        if (fields.length == 0) {_            return Collections.emptyList()__        }__        return Arrays.stream(fields).map(f -> {_            TermsValuesSourceBuilder vsBuilder_                    = new TermsValuesSourceBuilder(RollupField.formatIndexerAggName(f, TermsAggregationBuilder.NAME))__            vsBuilder.field(f)__            return vsBuilder__        }).collect(Collectors.toList())__    };this,returns,a,set,of,aggregation,builders,which,represent,the,configured,set,of,date,histograms,used,by,the,rollup,indexer,to,iterate,over,historical,data;public,list,composite,values,source,builder,to,builders,if,fields,length,0,return,collections,empty,list,return,arrays,stream,fields,map,f,terms,values,source,builder,vs,builder,new,terms,values,source,builder,rollup,field,format,indexer,agg,name,f,terms,aggregation,builder,name,vs,builder,field,f,return,vs,builder,collect,collectors,to,list
TermsGroupConfig -> public List<CompositeValuesSourceBuilder<?>> toBuilders();1531729807;This returns a set of aggregation builders which represent the configured_set of date histograms.  Used by the rollup indexer to iterate over historical data;public List<CompositeValuesSourceBuilder<?>> toBuilders() {_        if (fields.length == 0) {_            return Collections.emptyList()__        }__        return Arrays.stream(fields).map(f -> {_            TermsValuesSourceBuilder vsBuilder_                    = new TermsValuesSourceBuilder(RollupField.formatIndexerAggName(f, TermsAggregationBuilder.NAME))__            vsBuilder.field(f)__            vsBuilder.missingBucket(true)__            return vsBuilder__        }).collect(Collectors.toList())__    };this,returns,a,set,of,aggregation,builders,which,represent,the,configured,set,of,date,histograms,used,by,the,rollup,indexer,to,iterate,over,historical,data;public,list,composite,values,source,builder,to,builders,if,fields,length,0,return,collections,empty,list,return,arrays,stream,fields,map,f,terms,values,source,builder,vs,builder,new,terms,values,source,builder,rollup,field,format,indexer,agg,name,f,terms,aggregation,builder,name,vs,builder,field,f,vs,builder,missing,bucket,true,return,vs,builder,collect,collectors,to,list
TermsGroupConfig -> public List<CompositeValuesSourceBuilder<?>> toBuilders();1533143718;This returns a set of aggregation builders which represent the configured_set of date histograms.  Used by the rollup indexer to iterate over historical data;public List<CompositeValuesSourceBuilder<?>> toBuilders() {_        return Arrays.stream(fields).map(f -> {_            TermsValuesSourceBuilder vsBuilder_                    = new TermsValuesSourceBuilder(RollupField.formatIndexerAggName(f, TermsAggregationBuilder.NAME))__            vsBuilder.field(f)__            vsBuilder.missingBucket(true)__            return vsBuilder__        }).collect(Collectors.toList())__    };this,returns,a,set,of,aggregation,builders,which,represent,the,configured,set,of,date,histograms,used,by,the,rollup,indexer,to,iterate,over,historical,data;public,list,composite,values,source,builder,to,builders,return,arrays,stream,fields,map,f,terms,values,source,builder,vs,builder,new,terms,values,source,builder,rollup,field,format,indexer,agg,name,f,terms,aggregation,builder,name,vs,builder,field,f,vs,builder,missing,bucket,true,return,vs,builder,collect,collectors,to,list
TermsGroupConfig -> public List<CompositeValuesSourceBuilder<?>> toBuilders();1533641732;This returns a set of aggregation builders which represent the configured_set of date histograms.  Used by the rollup indexer to iterate over historical data;public List<CompositeValuesSourceBuilder<?>> toBuilders() {_        return Arrays.stream(fields).map(f -> {_            TermsValuesSourceBuilder vsBuilder_                    = new TermsValuesSourceBuilder(RollupField.formatIndexerAggName(f, TermsAggregationBuilder.NAME))__            vsBuilder.field(f)__            vsBuilder.missingBucket(true)__            return vsBuilder__        }).collect(Collectors.toList())__    };this,returns,a,set,of,aggregation,builders,which,represent,the,configured,set,of,date,histograms,used,by,the,rollup,indexer,to,iterate,over,historical,data;public,list,composite,values,source,builder,to,builders,return,arrays,stream,fields,map,f,terms,values,source,builder,vs,builder,new,terms,values,source,builder,rollup,field,format,indexer,agg,name,f,terms,aggregation,builder,name,vs,builder,field,f,vs,builder,missing,bucket,true,return,vs,builder,collect,collectors,to,list
TermsGroupConfig -> public List<CompositeValuesSourceBuilder<?>> toBuilders();1535139672;This returns a set of aggregation builders which represent the configured_set of date histograms.  Used by the rollup indexer to iterate over historical data;public List<CompositeValuesSourceBuilder<?>> toBuilders() {_        return Arrays.stream(fields).map(f -> {_            TermsValuesSourceBuilder vsBuilder_                    = new TermsValuesSourceBuilder(RollupField.formatIndexerAggName(f, TermsAggregationBuilder.NAME))__            vsBuilder.field(f)__            vsBuilder.missingBucket(true)__            return vsBuilder__        }).collect(Collectors.toList())__    };this,returns,a,set,of,aggregation,builders,which,represent,the,configured,set,of,date,histograms,used,by,the,rollup,indexer,to,iterate,over,historical,data;public,list,composite,values,source,builder,to,builders,return,arrays,stream,fields,map,f,terms,values,source,builder,vs,builder,new,terms,values,source,builder,rollup,field,format,indexer,agg,name,f,terms,aggregation,builder,name,vs,builder,field,f,vs,builder,missing,bucket,true,return,vs,builder,collect,collectors,to,list
TermsGroupConfig -> public Map<String, Object> toAggCap();1524684173;@return A map representing this config object as a RollupCaps aggregation object;public Map<String, Object> toAggCap() {_        Map<String, Object> map = new HashMap<>(1)__        map.put("agg", TermsAggregationBuilder.NAME)__        return map__    };return,a,map,representing,this,config,object,as,a,rollup,caps,aggregation,object;public,map,string,object,to,agg,cap,map,string,object,map,new,hash,map,1,map,put,agg,terms,aggregation,builder,name,return,map
TermsGroupConfig -> public Map<String, Object> toAggCap();1531729807;@return A map representing this config object as a RollupCaps aggregation object;public Map<String, Object> toAggCap() {_        Map<String, Object> map = new HashMap<>(1)__        map.put("agg", TermsAggregationBuilder.NAME)__        return map__    };return,a,map,representing,this,config,object,as,a,rollup,caps,aggregation,object;public,map,string,object,to,agg,cap,map,string,object,map,new,hash,map,1,map,put,agg,terms,aggregation,builder,name,return,map
TermsGroupConfig -> public Map<String, Object> toAggCap();1533143718;@return A map representing this config object as a RollupCaps aggregation object;public Map<String, Object> toAggCap() {_        Map<String, Object> map = new HashMap<>(1)__        map.put("agg", TermsAggregationBuilder.NAME)__        return map__    };return,a,map,representing,this,config,object,as,a,rollup,caps,aggregation,object;public,map,string,object,to,agg,cap,map,string,object,map,new,hash,map,1,map,put,agg,terms,aggregation,builder,name,return,map
TermsGroupConfig -> public Map<String, Object> toAggCap();1533641732;@return A map representing this config object as a RollupCaps aggregation object;public Map<String, Object> toAggCap() {_        Map<String, Object> map = new HashMap<>(1)__        map.put("agg", TermsAggregationBuilder.NAME)__        return map__    };return,a,map,representing,this,config,object,as,a,rollup,caps,aggregation,object;public,map,string,object,to,agg,cap,map,string,object,map,new,hash,map,1,map,put,agg,terms,aggregation,builder,name,return,map
TermsGroupConfig -> public String[] getFields();1533143718;@return the names of the fields. Never {@code null}.;public String[] getFields() {_        return fields__    };return,the,names,of,the,fields,never,code,null;public,string,get,fields,return,fields
