commented;modifiers;parameterAmount;loc;comment;code
true;public;1;405;/**  * Returns the next date/time <I>after</I> the given date/time which  * satisfies the cron expression.  *  * @param time the time since the epoch, or -1 if next time is unsupported (e.g. the cron expression points to  *             a time that is previous to the given time)  * @return the next valid time (since the epoch)  */ ;/**  * Returns the next date/time <I>after</I> the given date/time which  * satisfies the cron expression.  *  * @param time the time since the epoch, or -1 if next time is unsupported (e.g. the cron expression points to  *             a time that is previous to the given time)  * @return the next valid time (since the epoch)  */ public long getNextValidTimeAfter(final long time) {     // Computation is based on Gregorian year only.     Calendar cl = new java.util.GregorianCalendar(UTC, Locale.ROOT).     // move ahead one second, since we're computing the time *after* the     // given time     final long afterTime = time + 1000.     // CronTrigger does not deal with milliseconds     cl.setTimeInMillis(afterTime).     cl.set(Calendar.MILLISECOND, 0).     boolean gotOne = false.     // loop until we've computed the next time, or we've past the endTime     while (!gotOne) {         if (cl.get(Calendar.YEAR) > 2999) {             // prevent endless loop...             return -1.         }         SortedSet<Integer> st = null.         int t = 0.         int sec = cl.get(Calendar.SECOND).         int min = cl.get(Calendar.MINUTE).         // get second.................................................         st = seconds.tailSet(sec).         if (st != null && st.size() != 0) {             sec = st.first().         } else {             sec = seconds.first().             min++.             cl.set(Calendar.MINUTE, min).         }         cl.set(Calendar.SECOND, sec).         min = cl.get(Calendar.MINUTE).         int hr = cl.get(Calendar.HOUR_OF_DAY).         t = -1.         // get minute.................................................         st = minutes.tailSet(min).         if (st != null && st.size() != 0) {             t = min.             min = st.first().         } else {             min = minutes.first().             hr++.         }         if (min != t) {             cl.set(Calendar.SECOND, 0).             cl.set(Calendar.MINUTE, min).             setCalendarHour(cl, hr).             continue.         }         cl.set(Calendar.MINUTE, min).         hr = cl.get(Calendar.HOUR_OF_DAY).         int day = cl.get(Calendar.DAY_OF_MONTH).         t = -1.         // get hour...................................................         st = hours.tailSet(hr).         if (st != null && st.size() != 0) {             t = hr.             hr = st.first().         } else {             hr = hours.first().             day++.         }         if (hr != t) {             cl.set(Calendar.SECOND, 0).             cl.set(Calendar.MINUTE, 0).             cl.set(Calendar.DAY_OF_MONTH, day).             setCalendarHour(cl, hr).             continue.         }         cl.set(Calendar.HOUR_OF_DAY, hr).         day = cl.get(Calendar.DAY_OF_MONTH).         int mon = cl.get(Calendar.MONTH) + 1.         // '+ 1' because calendar is 0-based for this field, and we are         // 1-based         t = -1.         int tmon = mon.         // get day...................................................         boolean dayOfMSpec = !daysOfMonth.contains(NO_SPEC).         boolean dayOfWSpec = !daysOfWeek.contains(NO_SPEC).         if (dayOfMSpec && !dayOfWSpec) {             // get day by day of month rule             st = daysOfMonth.tailSet(day).             if (lastdayOfMonth) {                 if (!nearestWeekday) {                     t = day.                     day = getLastDayOfMonth(mon, cl.get(Calendar.YEAR)).                     day -= lastdayOffset.                     if (t > day) {                         mon++.                         if (mon > 12) {                             mon = 1.                             // ensure test of mon != tmon further below fails                             tmon = 3333.                             cl.add(Calendar.YEAR, 1).                         }                         day = 1.                     }                 } else {                     t = day.                     day = getLastDayOfMonth(mon, cl.get(Calendar.YEAR)).                     day -= lastdayOffset.                     Calendar tcal = Calendar.getInstance(UTC, Locale.ROOT).                     tcal.set(Calendar.SECOND, 0).                     tcal.set(Calendar.MINUTE, 0).                     tcal.set(Calendar.HOUR_OF_DAY, 0).                     tcal.set(Calendar.DAY_OF_MONTH, day).                     tcal.set(Calendar.MONTH, mon - 1).                     tcal.set(Calendar.YEAR, cl.get(Calendar.YEAR)).                     int ldom = getLastDayOfMonth(mon, cl.get(Calendar.YEAR)).                     int dow = tcal.get(Calendar.DAY_OF_WEEK).                     if (dow == Calendar.SATURDAY && day == 1) {                         day += 2.                     } else if (dow == Calendar.SATURDAY) {                         day -= 1.                     } else if (dow == Calendar.SUNDAY && day == ldom) {                         day -= 2.                     } else if (dow == Calendar.SUNDAY) {                         day += 1.                     }                     tcal.set(Calendar.SECOND, sec).                     tcal.set(Calendar.MINUTE, min).                     tcal.set(Calendar.HOUR_OF_DAY, hr).                     tcal.set(Calendar.DAY_OF_MONTH, day).                     tcal.set(Calendar.MONTH, mon - 1).                     long nTime = tcal.getTimeInMillis().                     if (nTime < afterTime) {                         day = 1.                         mon++.                     }                 }             } else if (nearestWeekday) {                 t = day.                 day = daysOfMonth.first().                 Calendar tcal = Calendar.getInstance(UTC, Locale.ROOT).                 tcal.set(Calendar.SECOND, 0).                 tcal.set(Calendar.MINUTE, 0).                 tcal.set(Calendar.HOUR_OF_DAY, 0).                 tcal.set(Calendar.DAY_OF_MONTH, day).                 tcal.set(Calendar.MONTH, mon - 1).                 tcal.set(Calendar.YEAR, cl.get(Calendar.YEAR)).                 int ldom = getLastDayOfMonth(mon, cl.get(Calendar.YEAR)).                 int dow = tcal.get(Calendar.DAY_OF_WEEK).                 if (dow == Calendar.SATURDAY && day == 1) {                     day += 2.                 } else if (dow == Calendar.SATURDAY) {                     day -= 1.                 } else if (dow == Calendar.SUNDAY && day == ldom) {                     day -= 2.                 } else if (dow == Calendar.SUNDAY) {                     day += 1.                 }                 tcal.set(Calendar.SECOND, sec).                 tcal.set(Calendar.MINUTE, min).                 tcal.set(Calendar.HOUR_OF_DAY, hr).                 tcal.set(Calendar.DAY_OF_MONTH, day).                 tcal.set(Calendar.MONTH, mon - 1).                 long nTime = tcal.getTimeInMillis().                 if (nTime < afterTime) {                     day = daysOfMonth.first().                     mon++.                 }             } else if (st != null && st.size() != 0) {                 t = day.                 day = st.first().                 // make sure we don't over-run a short month, such as february                 int lastDay = getLastDayOfMonth(mon, cl.get(Calendar.YEAR)).                 if (day > lastDay) {                     day = daysOfMonth.first().                     mon++.                 }             } else {                 day = daysOfMonth.first().                 mon++.             }             if (day != t || mon != tmon) {                 cl.set(Calendar.SECOND, 0).                 cl.set(Calendar.MINUTE, 0).                 cl.set(Calendar.HOUR_OF_DAY, 0).                 cl.set(Calendar.DAY_OF_MONTH, day).                 cl.set(Calendar.MONTH, mon - 1).                 // are 1-based                 continue.             }         } else if (dayOfWSpec && !dayOfMSpec) {             // get day by day of week rule             if (lastdayOfWeek) {                 // are we looking for the last XXX day of                 // the month?                 // desired                 int dow = daysOfWeek.first().                 // d-o-w                 // current d-o-w                 int cDow = cl.get(Calendar.DAY_OF_WEEK).                 int daysToAdd = 0.                 if (cDow < dow) {                     daysToAdd = dow - cDow.                 }                 if (cDow > dow) {                     daysToAdd = dow + (7 - cDow).                 }                 int lDay = getLastDayOfMonth(mon, cl.get(Calendar.YEAR)).                 if (day + daysToAdd > lDay) {                     // did we already miss the                     // last one?                     cl.set(Calendar.SECOND, 0).                     cl.set(Calendar.MINUTE, 0).                     cl.set(Calendar.HOUR_OF_DAY, 0).                     cl.set(Calendar.DAY_OF_MONTH, 1).                     cl.set(Calendar.MONTH, mon).                     // no '- 1' here because we are promoting the month                     continue.                 }                 // find date of last occurrence of this day in this month...                 while ((day + daysToAdd + 7) <= lDay) {                     daysToAdd += 7.                 }                 day += daysToAdd.                 if (daysToAdd > 0) {                     cl.set(Calendar.SECOND, 0).                     cl.set(Calendar.MINUTE, 0).                     cl.set(Calendar.HOUR_OF_DAY, 0).                     cl.set(Calendar.DAY_OF_MONTH, day).                     cl.set(Calendar.MONTH, mon - 1).                     // '- 1' here because we are not promoting the month                     continue.                 }             } else if (nthdayOfWeek != 0) {                 // are we looking for the Nth XXX day in the month?                 // desired                 int dow = daysOfWeek.first().                 // d-o-w                 // current d-o-w                 int cDow = cl.get(Calendar.DAY_OF_WEEK).                 int daysToAdd = 0.                 if (cDow < dow) {                     daysToAdd = dow - cDow.                 } else if (cDow > dow) {                     daysToAdd = dow + (7 - cDow).                 }                 boolean dayShifted = false.                 if (daysToAdd > 0) {                     dayShifted = true.                 }                 day += daysToAdd.                 int weekOfMonth = day / 7.                 if (day % 7 > 0) {                     weekOfMonth++.                 }                 daysToAdd = (nthdayOfWeek - weekOfMonth) * 7.                 day += daysToAdd.                 if (daysToAdd < 0 || day > getLastDayOfMonth(mon, cl.get(Calendar.YEAR))) {                     cl.set(Calendar.SECOND, 0).                     cl.set(Calendar.MINUTE, 0).                     cl.set(Calendar.HOUR_OF_DAY, 0).                     cl.set(Calendar.DAY_OF_MONTH, 1).                     cl.set(Calendar.MONTH, mon).                     // no '- 1' here because we are promoting the month                     continue.                 } else if (daysToAdd > 0 || dayShifted) {                     cl.set(Calendar.SECOND, 0).                     cl.set(Calendar.MINUTE, 0).                     cl.set(Calendar.HOUR_OF_DAY, 0).                     cl.set(Calendar.DAY_OF_MONTH, day).                     cl.set(Calendar.MONTH, mon - 1).                     // '- 1' here because we are NOT promoting the month                     continue.                 }             } else {                 // current d-o-w                 int cDow = cl.get(Calendar.DAY_OF_WEEK).                 // desired                 int dow = daysOfWeek.first().                 // d-o-w                 st = daysOfWeek.tailSet(cDow).                 if (st != null && st.size() > 0) {                     dow = st.first().                 }                 int daysToAdd = 0.                 if (cDow < dow) {                     daysToAdd = dow - cDow.                 }                 if (cDow > dow) {                     daysToAdd = dow + (7 - cDow).                 }                 int lDay = getLastDayOfMonth(mon, cl.get(Calendar.YEAR)).                 if (day + daysToAdd > lDay) {                     // will we pass the end of                     // the month?                     cl.set(Calendar.SECOND, 0).                     cl.set(Calendar.MINUTE, 0).                     cl.set(Calendar.HOUR_OF_DAY, 0).                     cl.set(Calendar.DAY_OF_MONTH, 1).                     cl.set(Calendar.MONTH, mon).                     // no '- 1' here because we are promoting the month                     continue.                 } else if (daysToAdd > 0) {                     // are we swithing days?                     cl.set(Calendar.SECOND, 0).                     cl.set(Calendar.MINUTE, 0).                     cl.set(Calendar.HOUR_OF_DAY, 0).                     cl.set(Calendar.DAY_OF_MONTH, day + daysToAdd).                     cl.set(Calendar.MONTH, mon - 1).                     // and we are 1-based                     continue.                 }             }         } else {             // dayOfWSpec && !dayOfMSpec             return -1.         // throw new UnsupportedOperationException(         // "Support for specifying both a day-of-week AND a day-of-month parameter is not implemented.").         }         cl.set(Calendar.DAY_OF_MONTH, day).         mon = cl.get(Calendar.MONTH) + 1.         // '+ 1' because calendar is 0-based for this field, and we are         // 1-based         int year = cl.get(Calendar.YEAR).         t = -1.         // but keep looping...         if (year > MAX_YEAR) {             return -1.         // throw new ElasticsearchIllegalArgumentException("given time is not supported by cron [" + formatter.print(time) + "]").         }         // get month...................................................         st = months.tailSet(mon).         if (st != null && st.size() != 0) {             t = mon.             mon = st.first().         } else {             mon = months.first().             year++.         }         if (mon != t) {             cl.set(Calendar.SECOND, 0).             cl.set(Calendar.MINUTE, 0).             cl.set(Calendar.HOUR_OF_DAY, 0).             cl.set(Calendar.DAY_OF_MONTH, 1).             cl.set(Calendar.MONTH, mon - 1).             // '- 1' because calendar is 0-based for this field, and we are             // 1-based             cl.set(Calendar.YEAR, year).             continue.         }         cl.set(Calendar.MONTH, mon - 1).         // '- 1' because calendar is 0-based for this field, and we are         // 1-based         year = cl.get(Calendar.YEAR).         t = -1.         // get year...................................................         st = years.tailSet(year).         if (st != null && st.size() != 0) {             t = year.             year = st.first().         } else {             return -1.         // throw new ElasticsearchIllegalArgumentException("given time is not supported by cron [" + formatter.print(time) + "]").         }         if (year != t) {             cl.set(Calendar.SECOND, 0).             cl.set(Calendar.MINUTE, 0).             cl.set(Calendar.HOUR_OF_DAY, 0).             cl.set(Calendar.DAY_OF_MONTH, 1).             cl.set(Calendar.MONTH, 0).             // '- 1' because calendar is 0-based for this field, and we are             // 1-based             cl.set(Calendar.YEAR, year).             continue.         }         cl.set(Calendar.YEAR, year).         gotOne = true.     }     return cl.getTimeInMillis(). }
false;public;0;3;;public String expression() {     return expression. }
false;public;0;39;;public String getExpressionSummary() {     StringBuilder buf = new StringBuilder().     buf.append("seconds: ").     buf.append(expressionSetSummary(seconds)).     buf.append("\n").     buf.append("minutes: ").     buf.append(expressionSetSummary(minutes)).     buf.append("\n").     buf.append("hours: ").     buf.append(expressionSetSummary(hours)).     buf.append("\n").     buf.append("daysOfMonth: ").     buf.append(expressionSetSummary(daysOfMonth)).     buf.append("\n").     buf.append("months: ").     buf.append(expressionSetSummary(months)).     buf.append("\n").     buf.append("daysOfWeek: ").     buf.append(expressionSetSummary(daysOfWeek)).     buf.append("\n").     buf.append("lastdayOfWeek: ").     buf.append(lastdayOfWeek).     buf.append("\n").     buf.append("nearestWeekday: ").     buf.append(nearestWeekday).     buf.append("\n").     buf.append("NthDayOfWeek: ").     buf.append(nthdayOfWeek).     buf.append("\n").     buf.append("lastdayOfMonth: ").     buf.append(lastdayOfMonth).     buf.append("\n").     buf.append("years: ").     buf.append(expressionSetSummary(years)).     buf.append("\n").     return buf.toString(). }
false;public;0;4;;@Override public int hashCode() {     return Objects.hash(expression). }
false;public;1;11;;@Override public boolean equals(Object obj) {     if (this == obj) {         return true.     }     if (obj == null || getClass() != obj.getClass()) {         return false.     }     final Cron other = (Cron) obj.     return Objects.equals(this.expression, other.expression). }
true;public;0;4;/**  * Returns the string representation of the <CODE>CronExpression</CODE>  *  * @return a string representation of the <CODE>CronExpression</CODE>  */ ;/**  * Returns the string representation of the <CODE>CronExpression</CODE>  *  * @return a string representation of the <CODE>CronExpression</CODE>  */ @Override public String toString() {     return expression. }
true;public,static;1;8;/**  * Indicates whether the specified cron expression can be parsed into a  * valid cron expression  *  * @param expression the expression to evaluate  * @return a boolean indicating whether the given expression is a valid cron  *         expression  */ ;/**  * Indicates whether the specified cron expression can be parsed into a  * valid cron expression  *  * @param expression the expression to evaluate  * @return a boolean indicating whether the given expression is a valid cron  *         expression  */ public static boolean isValid(String expression) {     try {         validate(expression).     } catch (IllegalArgumentException pe) {         return false.     }     return true. }
false;public,static;1;3;;public static void validate(String expression) throws IllegalArgumentException {     new Cron(expression). }
false;private;1;79;;// ////////////////////////////////////////////////////////////////////////// //  // Expression Parsing Functions //  // ////////////////////////////////////////////////////////////////////////// private void buildExpression(String expression) {     try {         if (seconds == null) {             seconds = new TreeSet<Integer>().         }         if (minutes == null) {             minutes = new TreeSet<Integer>().         }         if (hours == null) {             hours = new TreeSet<Integer>().         }         if (daysOfMonth == null) {             daysOfMonth = new TreeSet<Integer>().         }         if (months == null) {             months = new TreeSet<Integer>().         }         if (daysOfWeek == null) {             daysOfWeek = new TreeSet<Integer>().         }         if (years == null) {             years = new TreeSet<Integer>().         }         int exprOn = SECOND.         StringTokenizer exprsTok = new StringTokenizer(expression, " \t", false).         while (exprsTok.hasMoreTokens() && exprOn <= YEAR) {             String expr = exprsTok.nextToken().trim().             // throw an exception if L is used with other days of the month             if (exprOn == DAY_OF_MONTH && expr.indexOf('L') != -1 && expr.length() > 1 && expr.contains(",")) {                 throw illegalArgument("support for specifying 'L' and 'LW' with other days of the month is not implemented").             }             // throw an exception if L is used with other days of the week             if (exprOn == DAY_OF_WEEK && expr.indexOf('L') != -1 && expr.length() > 1 && expr.contains(",")) {                 throw illegalArgument("support for specifying 'L' with other days of the week is not implemented").             }             if (exprOn == DAY_OF_WEEK && expr.indexOf('#') != -1 && expr.indexOf('#', expr.indexOf('#') + 1) != -1) {                 throw illegalArgument("support for specifying multiple \"nth\" days is not implemented.").             }             StringTokenizer vTok = new StringTokenizer(expr, ",").             while (vTok.hasMoreTokens()) {                 String v = vTok.nextToken().                 storeExpressionVals(0, v, exprOn).             }             exprOn++.         }         if (exprOn <= DAY_OF_WEEK) {             throw illegalArgument("unexpected end of expression at pos [{}].", expression.length()).         }         if (exprOn <= YEAR) {             storeExpressionVals(0, "*", YEAR).         }         TreeSet<Integer> dow = getSet(DAY_OF_WEEK).         TreeSet<Integer> dom = getSet(DAY_OF_MONTH).         // Copying the logic from the UnsupportedOperationException below         boolean dayOfMSpec = !dom.contains(NO_SPEC).         boolean dayOfWSpec = !dow.contains(NO_SPEC).         if (!dayOfMSpec || dayOfWSpec) {             if (!dayOfWSpec || dayOfMSpec) {                 throw illegalArgument("support for specifying both a day-of-week AND a day-of-month parameter is not implemented.").             }         }     } catch (Exception e) {         throw illegalArgument("illegal cron expression format [{}]", e.toString()).     } }
false;private;3;176;;private int storeExpressionVals(int pos, String s, int type) throws ElasticsearchParseException {     int incr = 0.     int i = skipWhiteSpace(pos, s).     if (i >= s.length()) {         return i.     }     char c = s.charAt(i).     if ((c >= 'A') && (c <= 'Z') && (!s.equals("L")) && (!s.equals("LW")) && (!s.matches("^L-[0-9]*[W]?"))) {         String sub = s.substring(i, i + 3).         int sval = -1.         int eval = -1.         if (type == MONTH) {             sval = getMonthNumber(sub) + 1.             if (sval <= 0) {                 throw illegalArgument("invalid Month value [{}] at pos [{}]", sub, i).             }             if (s.length() > i + 3) {                 c = s.charAt(i + 3).                 if (c == '-') {                     i += 4.                     sub = s.substring(i, i + 3).                     eval = getMonthNumber(sub) + 1.                     if (eval <= 0) {                         throw illegalArgument("invalid Month value [{}] at pos [{}]", sub, i).                     }                 }             }         } else if (type == DAY_OF_WEEK) {             sval = getDayOfWeekNumber(sub).             if (sval < 0) {                 throw illegalArgument("invalid Day-of-Week value [{}] at pos [{}]", sub, i).             }             if (s.length() > i + 3) {                 c = s.charAt(i + 3).                 if (c == '-') {                     i += 4.                     sub = s.substring(i, i + 3).                     eval = getDayOfWeekNumber(sub).                     if (eval < 0) {                         throw illegalArgument("invalid Day-of-Week value [{}] at pos [{}]", sub, i).                     }                 } else if (c == '#') {                     try {                         i += 4.                         nthdayOfWeek = Integer.parseInt(s.substring(i)).                         if (nthdayOfWeek < 1 || nthdayOfWeek > 5) {                             throw new Exception().                         }                     } catch (Exception e) {                         throw illegalArgument("a numeric value between 1 and 5 must follow the '#' option at pos [{}]", i).                     }                 } else if (c == 'L') {                     lastdayOfWeek = true.                     i++.                 }             }         } else {             throw illegalArgument("illegal characters [{}] at pos [{}] '", sub, i).         }         if (eval != -1) {             incr = 1.         }         addToSet(sval, eval, incr, type).         return (i + 3).     }     if (c == '?') {         i++.         if ((i + 1) < s.length() && (s.charAt(i) != ' ' && s.charAt(i + 1) != '\t')) {             throw illegalArgument("illegal character [{}] after '?' at pos [{}]", s.charAt(i), i).         }         if (type != DAY_OF_WEEK && type != DAY_OF_MONTH) {             throw illegalArgument("'?' can only be specified for Day-of-Month or Day-of-Week. at pos [{}]", i).         }         if (type == DAY_OF_WEEK && !lastdayOfMonth) {             int val = daysOfMonth.last().             if (val == NO_SPEC_INT) {                 throw illegalArgument("'?' can only be specified for Day-of-Month -OR- Day-of-Week. at pos [{}]", i).             }         }         addToSet(NO_SPEC_INT, -1, 0, type).         return i.     }     if (c == '*' || c == '/') {         if (c == '*' && (i + 1) >= s.length()) {             addToSet(ALL_SPEC_INT, -1, incr, type).             return i + 1.         } else if (c == '/' && ((i + 1) >= s.length() || s.charAt(i + 1) == ' ' || s.charAt(i + 1) == '\t')) {             throw illegalArgument("'/' must be followed by an integer. at pos [{}]", i).         } else if (c == '*') {             i++.         }         c = s.charAt(i).         if (c == '/') {             // is an increment specified?             i++.             if (i >= s.length()) {                 throw illegalArgument("Unexpected end of string. at pos [{}]", i).             }             incr = getNumericValue(s, i).             i++.             if (incr > 10) {                 i++.             }             if (incr > 59 && (type == SECOND || type == MINUTE)) {                 throw illegalArgument("increment [{}] > 60 at pos [{}]", incr, i).             } else if (incr > 23 && (type == HOUR)) {                 throw illegalArgument("increment [{}] > 24 at pos [{}]", incr, i).             } else if (incr > 31 && (type == DAY_OF_MONTH)) {                 throw illegalArgument("increment [{}] > 31 at pos [{}] ", incr, i).             } else if (incr > 7 && (type == DAY_OF_WEEK)) {                 throw illegalArgument("increment [{}] > 7 at pos [{}] ", incr, i).             } else if (incr > 12 && (type == MONTH)) {                 throw illegalArgument("increment [{}] > 12 at pos [{}]", incr, i).             }         } else {             incr = 1.         }         addToSet(ALL_SPEC_INT, -1, incr, type).         return i.     } else if (c == 'L') {         i++.         if (type == DAY_OF_MONTH) {             lastdayOfMonth = true.         }         if (type == DAY_OF_WEEK) {             addToSet(7, 7, 0, type).         }         if (type == DAY_OF_MONTH && s.length() > i) {             c = s.charAt(i).             if (c == '-') {                 ValueSet vs = getValue(0, s, i + 1).                 lastdayOffset = vs.value.                 if (lastdayOffset > 30)                     throw illegalArgument("offset from last day must be <= 30 at pos [{}]", i + 1).                 i = vs.pos.             }             if (s.length() > i) {                 c = s.charAt(i).                 if (c == 'W') {                     nearestWeekday = true.                     i++.                 }             }         }         return i.     } else if (c >= '0' && c <= '9') {         int val = Integer.parseInt(String.valueOf(c)).         i++.         if (i >= s.length()) {             addToSet(val, -1, -1, type).         } else {             c = s.charAt(i).             if (c >= '0' && c <= '9') {                 ValueSet vs = getValue(val, s, i).                 val = vs.value.                 i = vs.pos.             }             i = checkNext(i, s, val, type).             return i.         }     } else {         throw illegalArgument("Unexpected character [{}] at pos [{}] ", c, i).     }     return i. }
