commented;modifiers;parameterAmount;loc;comment;code
false;public,static;1;3;;public static boolean hideSecrets(ToXContent.Params params) {     return wrap(params).hideSecrets(). }
false;public,static;1;3;;public static boolean debug(ToXContent.Params params) {     return wrap(params).debug(). }
false;public,static;1;3;;public static boolean hideHeaders(ToXContent.Params params) {     return wrap(params).hideHeaders(). }
false;private;0;3;;private boolean hideSecrets() {     return paramAsBoolean(HIDE_SECRETS_KEY, true). }
false;private;0;3;;private boolean debug() {     return paramAsBoolean(DEBUG_KEY, false). }
false;private;0;3;;private boolean hideHeaders() {     return paramAsBoolean(HIDE_HEADERS, true). }
false;public,static;1;5;;public static WatcherParams wrap(ToXContent.Params params) {     return params instanceof WatcherParams ? (WatcherParams) params : new WatcherParams(emptyMap(), params). }
false;public,static;0;3;;public static Builder builder() {     return builder(ToXContent.EMPTY_PARAMS). }
false;public,static;1;3;;public static Builder builder(ToXContent.Params delegate) {     return new Builder(delegate). }
false;public;1;4;;public Builder hideSecrets(boolean hideSecrets) {     params.put(HIDE_SECRETS_KEY, String.valueOf(hideSecrets)).     return this. }
false;public;1;4;;public Builder hideHeaders(boolean hideHeaders) {     params.put(HIDE_HEADERS, String.valueOf(hideHeaders)).     return this. }
false;public;1;4;;public Builder debug(boolean debug) {     params.put(DEBUG_KEY, String.valueOf(debug)).     return this. }
false;public;1;4;;public Builder includeStatus(boolean includeStatus) {     params.put(Watch.INCLUDE_STATUS_KEY, String.valueOf(includeStatus)).     return this. }
false;public;2;4;;public Builder put(String key, Object value) {     params.put(key, String.valueOf(value)).     return this. }
false;public;0;3;;public WatcherParams build() {     return new WatcherParams(unmodifiableMap(new HashMap<>(params)), delegate). }
