commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String getTransformId() {     return transform.getId(). }
true;public;0;4;/**  * Enable Task API to return detailed status information  */ ;/**  * Enable Task API to return detailed status information  */ @Override public Status getStatus() {     return getState(). }
false;public;0;3;;public DataFrameTransformState getState() {     return new DataFrameTransformState(indexer.getState(), indexer.getPosition(), generation.get()). }
false;public;0;3;;public DataFrameIndexerTransformStats getStats() {     return indexer.getStats(). }
false;public;0;3;;public long getGeneration() {     return generation.get(). }
false;public;0;3;;public boolean isStopped() {     return indexer.getState().equals(IndexerState.STOPPED). }
false;public,synchronized;1;34;;public synchronized void start(ActionListener<Response> listener) {     final IndexerState prevState = indexer.getState().     if (prevState != IndexerState.STOPPED) {         // fails if the task is not STOPPED         listener.onFailure(new ElasticsearchException("Cannot start task for data frame transform [{}], because state was [{}]", transform.getId(), prevState)).         return.     }     final IndexerState newState = indexer.start().     if (newState != IndexerState.STARTED) {         listener.onFailure(new ElasticsearchException("Cannot start task for data frame transform [{}], because state was [{}]", transform.getId(), newState)).         return.     }     final DataFrameTransformState state = new DataFrameTransformState(IndexerState.STOPPED, indexer.getPosition(), generation.get()).     logger.debug("Updating state for data frame transform [{}] to [{}][{}]", transform.getId(), state.getIndexerState(), state.getPosition()).     updatePersistentTaskState(state, ActionListener.wrap((task) -> {         logger.debug("Successfully updated state for data frame transform [" + transform.getId() + "] to [" + state.getIndexerState() + "][" + state.getPosition() + "]").         listener.onResponse(new StartDataFrameTransformAction.Response(true)).     }, (exc) -> {         // We were unable to update the persistent status, so we need to shutdown the indexer too.         indexer.stop().         listener.onFailure(new ElasticsearchException("Error while updating state for data frame transform [" + transform.getId() + "] to [" + state.getIndexerState() + "].", exc)).     })). }
false;public,synchronized;1;30;;public synchronized void stop(ActionListener<StopDataFrameTransformAction.Response> listener) {     final IndexerState newState = indexer.stop().     switch(newState) {         case STOPPED:             listener.onResponse(new StopDataFrameTransformAction.Response(true)).             break.         case STOPPING:             // update the persistent state to STOPPED. There are two scenarios and both are safe:             // 1. we persist STOPPED now, indexer continues a bit then sees the flag and checkpoints another STOPPED with the more recent             // position.             // 2. we persist STOPPED now, indexer continues a bit but then dies. When/if we resume we'll pick up at last checkpoint,             // overwrite some docs and eventually checkpoint.             DataFrameTransformState state = new DataFrameTransformState(IndexerState.STOPPED, indexer.getPosition(), generation.get()).             updatePersistentTaskState(state, ActionListener.wrap((task) -> {                 logger.debug("Successfully updated state for data frame transform [{}] to [{}]", transform.getId(), state.getIndexerState()).                 listener.onResponse(new StopDataFrameTransformAction.Response(true)).             }, (exc) -> {                 listener.onFailure(new ElasticsearchException("Error while updating state for data frame transform [{}] to [{}]", exc, transform.getId(), state.getIndexerState())).             })).             break.         default:             listener.onFailure(new ElasticsearchException("Cannot stop task for data frame transform [{}], because state was [{}]", transform.getId(), newState)).             break.     } }
false;public,synchronized;1;7;;@Override public synchronized void triggered(Event event) {     if (generation.get() == 0 && event.getJobName().equals(SCHEDULE_NAME + "_" + transform.getId())) {         logger.debug("Data frame indexer [" + event.getJobName() + "] schedule has triggered, state: [" + indexer.getState() + "]").         indexer.maybeTriggerAsyncJob(System.currentTimeMillis()).     } }
true;synchronized;0;11;/**  * Attempt to gracefully cleanup the data frame transform so it can be terminated.  * This tries to remove the job from the scheduler, and potentially any other  * cleanup operations in the future  */ ;/**  * Attempt to gracefully cleanup the data frame transform so it can be terminated.  * This tries to remove the job from the scheduler, and potentially any other  * cleanup operations in the future  */ synchronized void shutdown() {     try {         logger.info("Data frame indexer [" + transform.getId() + "] received abort request, stopping indexer.").         schedulerEngine.remove(SCHEDULE_NAME + "_" + transform.getId()).         schedulerEngine.unregister(this).     } catch (Exception e) {         markAsFailed(e).         return.     }     markAsCompleted(). }
