commented;modifiers;parameterAmount;loc;comment;code
false;static;1;3;;static boolean isRunningOnMlPlatform(boolean fatalIfNot) {     return isRunningOnMlPlatform(Constants.OS_NAME, Constants.OS_ARCH, fatalIfNot). }
false;static;3;11;;static boolean isRunningOnMlPlatform(String osName, String osArch, boolean fatalIfNot) {     String platformName = Platforms.platformName(osName, osArch).     if (mlPlatforms.contains(platformName)) {         return true.     }     if (fatalIfNot) {         throw new ElasticsearchException("X-Pack is not supported and Machine Learning is not available for [" + platformName + "]. you can use the other X-Pack features (unsupported) by setting xpack.ml.enabled: false in elasticsearch.yml").     }     return false. }
false;public;0;4;;@Override public String name() {     return XPackField.MACHINE_LEARNING. }
false;public;0;4;;@Override public String description() {     return "Machine Learning for the Elastic Stack". }
false;public;0;4;;@Override public boolean available() {     return licenseState != null && licenseState.isMachineLearningAllowed(). }
false;public;0;4;;@Override public boolean enabled() {     return enabled. }
false;public;0;4;;@Override public Map<String, Object> nativeCodeInfo() {     return nativeCodeInfo. }
false;public;1;5;;@Override public void usage(ActionListener<XPackFeatureSet.Usage> listener) {     ClusterState state = clusterService.state().     new Retriever(client, jobManagerHolder, available(), enabled(), mlNodeCount(state)).execute(listener). }
false;private;1;13;;private int mlNodeCount(final ClusterState clusterState) {     if (enabled == false) {         return 0.     }     int mlNodeCount = 0.     for (DiscoveryNode node : clusterState.getNodes()) {         if (MachineLearning.isMlNode(node)) {             ++mlNodeCount.         }     }     return mlNodeCount. }
false;public;1;33;;public void execute(ActionListener<Usage> listener) {     // empty holder means either ML disabled or transport client mode     if (jobManagerHolder.isEmpty()) {         listener.onResponse(new MachineLearningFeatureSetUsage(available, enabled, Collections.emptyMap(), Collections.emptyMap(), 0)).         return.     }     // Step 2. Extract usage from datafeeds stats and return usage response     ActionListener<GetDatafeedsStatsAction.Response> datafeedStatsListener = ActionListener.wrap(response -> {         addDatafeedsUsage(response).         listener.onResponse(new MachineLearningFeatureSetUsage(available, enabled, jobsUsage, datafeedsUsage, nodeCount)).     }, listener::onFailure).     // Step 1. Extract usage from jobs stats and then request stats for all datafeeds     GetJobsStatsAction.Request jobStatsRequest = new GetJobsStatsAction.Request(MetaData.ALL).     ActionListener<GetJobsStatsAction.Response> jobStatsListener = ActionListener.wrap(response -> {         jobManagerHolder.getJobManager().expandJobs(MetaData.ALL, true, ActionListener.wrap(jobs -> {             addJobsUsage(response, jobs.results()).             GetDatafeedsStatsAction.Request datafeedStatsRequest = new GetDatafeedsStatsAction.Request(GetDatafeedsStatsAction.ALL).             client.execute(GetDatafeedsStatsAction.INSTANCE, datafeedStatsRequest, datafeedStatsListener).         }, listener::onFailure)).     }, listener::onFailure).     // Step 0. Kick off the chain of callbacks by requesting jobs stats     client.execute(GetJobsStatsAction.INSTANCE, jobStatsRequest, jobStatsListener). }
