# id;timestamp;commentText;codeText;commentWords;codeWords
PythonReceiver -> @SuppressWarnings({ "rawtypes", "unchecked" }) 	public void collectBuffer(Collector c, int bufferSize) throws IOException;1448205809;Reads a buffer of the given size from the memory-mapped file, and collects all records contained. This method_assumes that all values in the buffer are of the same type. This method does NOT take care of synchronization._The user must guarantee that the buffer was completely written before calling this method.__@param c Collector to collect records_@param bufferSize size of the buffer_@throws IOException;@SuppressWarnings({ "rawtypes", "unchecked" })_	public void collectBuffer(Collector c, int bufferSize) throws IOException {_		fileBuffer.position(0)___		if (deserializer == null) {_			byte type = fileBuffer.get()__			deserializer = getDeserializer(type)__		}_		while (fileBuffer.position() < bufferSize) {_			c.collect(deserializer.deserialize())__		}_	};reads,a,buffer,of,the,given,size,from,the,memory,mapped,file,and,collects,all,records,contained,this,method,assumes,that,all,values,in,the,buffer,are,of,the,same,type,this,method,does,not,take,care,of,synchronization,the,user,must,guarantee,that,the,buffer,was,completely,written,before,calling,this,method,param,c,collector,to,collect,records,param,buffer,size,size,of,the,buffer,throws,ioexception;suppress,warnings,rawtypes,unchecked,public,void,collect,buffer,collector,c,int,buffer,size,throws,ioexception,file,buffer,position,0,if,deserializer,null,byte,type,file,buffer,get,deserializer,get,deserializer,type,while,file,buffer,position,buffer,size,c,collect,deserializer,deserialize
PythonReceiver -> @SuppressWarnings({ "rawtypes", "unchecked" }) 	public void collectBuffer(Collector c, int bufferSize) throws IOException;1453297853;Reads a buffer of the given size from the memory-mapped file, and collects all records contained. This method_assumes that all values in the buffer are of the same type. This method does NOT take care of synchronization._The user must guarantee that the buffer was completely written before calling this method.__@param c Collector to collect records_@param bufferSize size of the buffer_@throws IOException;@SuppressWarnings({ "rawtypes", "unchecked" })_	public void collectBuffer(Collector c, int bufferSize) throws IOException {_		fileBuffer.position(0)___		while (fileBuffer.position() < bufferSize) {_			c.collect(deserializer.deserialize())__		}_	};reads,a,buffer,of,the,given,size,from,the,memory,mapped,file,and,collects,all,records,contained,this,method,assumes,that,all,values,in,the,buffer,are,of,the,same,type,this,method,does,not,take,care,of,synchronization,the,user,must,guarantee,that,the,buffer,was,completely,written,before,calling,this,method,param,c,collector,to,collect,records,param,buffer,size,size,of,the,buffer,throws,ioexception;suppress,warnings,rawtypes,unchecked,public,void,collect,buffer,collector,c,int,buffer,size,throws,ioexception,file,buffer,position,0,while,file,buffer,position,buffer,size,c,collect,deserializer,deserialize
PythonReceiver -> @SuppressWarnings({ "rawtypes", "unchecked" }) 	public void collectBuffer(Collector c, int bufferSize) throws IOException;1454324870;Reads a buffer of the given size from the memory-mapped file, and collects all records contained. This method_assumes that all values in the buffer are of the same type. This method does NOT take care of synchronization._The user must guarantee that the buffer was completely written before calling this method.__@param c Collector to collect records_@param bufferSize size of the buffer_@throws IOException;@SuppressWarnings({ "rawtypes", "unchecked" })_	public void collectBuffer(Collector c, int bufferSize) throws IOException {_		fileBuffer.position(0)___		while (fileBuffer.position() < bufferSize) {_			c.collect(deserializer.deserialize())__		}_	};reads,a,buffer,of,the,given,size,from,the,memory,mapped,file,and,collects,all,records,contained,this,method,assumes,that,all,values,in,the,buffer,are,of,the,same,type,this,method,does,not,take,care,of,synchronization,the,user,must,guarantee,that,the,buffer,was,completely,written,before,calling,this,method,param,c,collector,to,collect,records,param,buffer,size,size,of,the,buffer,throws,ioexception;suppress,warnings,rawtypes,unchecked,public,void,collect,buffer,collector,c,int,buffer,size,throws,ioexception,file,buffer,position,0,while,file,buffer,position,buffer,size,c,collect,deserializer,deserialize
PythonReceiver -> public void open(String path) throws IOException;1448205809;=====Setup========================================================================================================;public void open(String path) throws IOException {_		setupMappedFile(path)__	};setup;public,void,open,string,path,throws,ioexception,setup,mapped,file,path
PythonReceiver -> public void open(String path) throws IOException;1453297853;=====Setup========================================================================================================;public void open(String path) throws IOException {_		setupMappedFile(path)__		deserializer = readAsByteArray ? new ByteArrayDeserializer() : new TupleDeserializer()__	};setup;public,void,open,string,path,throws,ioexception,setup,mapped,file,path,deserializer,read,as,byte,array,new,byte,array,deserializer,new,tuple,deserializer
PythonReceiver -> public void open(String path) throws IOException;1454324870;=====Setup========================================================================================================;public void open(String path) throws IOException {_		setupMappedFile(path)__		deserializer = readAsByteArray ? new ByteArrayDeserializer() : new TupleDeserializer()__	};setup;public,void,open,string,path,throws,ioexception,setup,mapped,file,path,deserializer,read,as,byte,array,new,byte,array,deserializer,new,tuple,deserializer
PythonReceiver -> public void open(String path) throws IOException;1489667061;=====Setup========================================================================================================;public void open(String path) throws IOException {_		setupMappedFile(path)__		deserializer = (Deserializer<OUT>) (readAsByteArray ? new ByteArrayDeserializer() : new TupleDeserializer())__	};setup;public,void,open,string,path,throws,ioexception,setup,mapped,file,path,deserializer,deserializer,out,read,as,byte,array,new,byte,array,deserializer,new,tuple,deserializer
PythonReceiver -> @SuppressWarnings({ "rawtypes", "unchecked" }) 	public void collectBuffer(Collector<OUT> c, int bufferSize) throws IOException;1489667061;Reads a buffer of the given size from the memory-mapped file, and collects all records contained. This method_assumes that all values in the buffer are of the same type. This method does NOT take care of synchronization._The user must guarantee that the buffer was completely written before calling this method.__@param c Collector to collect records_@param bufferSize size of the buffer_@throws IOException;@SuppressWarnings({ "rawtypes", "unchecked" })_	public void collectBuffer(Collector<OUT> c, int bufferSize) throws IOException {_		fileBuffer.position(0)___		while (fileBuffer.position() < bufferSize) {_			c.collect(deserializer.deserialize())__		}_	};reads,a,buffer,of,the,given,size,from,the,memory,mapped,file,and,collects,all,records,contained,this,method,assumes,that,all,values,in,the,buffer,are,of,the,same,type,this,method,does,not,take,care,of,synchronization,the,user,must,guarantee,that,the,buffer,was,completely,written,before,calling,this,method,param,c,collector,to,collect,records,param,buffer,size,size,of,the,buffer,throws,ioexception;suppress,warnings,rawtypes,unchecked,public,void,collect,buffer,collector,out,c,int,buffer,size,throws,ioexception,file,buffer,position,0,while,file,buffer,position,buffer,size,c,collect,deserializer,deserialize
PythonReceiver -> @SuppressWarnings({ "rawtypes", "unchecked" }) 	public void collectBuffer(Collector<OUT> c, int bufferSize) throws IOException;1489703169;Reads a buffer of the given size from the memory-mapped file, and collects all records contained. This method_assumes that all values in the buffer are of the same type. This method does NOT take care of synchronization._The user must guarantee that the buffer was completely written before calling this method.__@param c Collector to collect records_@param bufferSize size of the buffer_@throws IOException;@SuppressWarnings({ "rawtypes", "unchecked" })_	public void collectBuffer(Collector<OUT> c, int bufferSize) throws IOException {_		fileBuffer.position(0)___		while (fileBuffer.position() < bufferSize) {_			c.collect(deserializer.deserialize())__		}_	};reads,a,buffer,of,the,given,size,from,the,memory,mapped,file,and,collects,all,records,contained,this,method,assumes,that,all,values,in,the,buffer,are,of,the,same,type,this,method,does,not,take,care,of,synchronization,the,user,must,guarantee,that,the,buffer,was,completely,written,before,calling,this,method,param,c,collector,to,collect,records,param,buffer,size,size,of,the,buffer,throws,ioexception;suppress,warnings,rawtypes,unchecked,public,void,collect,buffer,collector,out,c,int,buffer,size,throws,ioexception,file,buffer,position,0,while,file,buffer,position,buffer,size,c,collect,deserializer,deserialize
PythonReceiver -> @SuppressWarnings({ "rawtypes", "unchecked" }) 	public void collectBuffer(Collector<OUT> c, int bufferSize) throws IOException;1490954118;Reads a buffer of the given size from the memory-mapped file, and collects all records contained. This method_assumes that all values in the buffer are of the same type. This method does NOT take care of synchronization._The user must guarantee that the buffer was completely written before calling this method.__@param c Collector to collect records_@param bufferSize size of the buffer_@throws IOException;@SuppressWarnings({ "rawtypes", "unchecked" })_	public void collectBuffer(Collector<OUT> c, int bufferSize) throws IOException {_		fileBuffer.position(0)___		while (fileBuffer.position() < bufferSize) {_			c.collect(deserializer.deserialize())__		}_	};reads,a,buffer,of,the,given,size,from,the,memory,mapped,file,and,collects,all,records,contained,this,method,assumes,that,all,values,in,the,buffer,are,of,the,same,type,this,method,does,not,take,care,of,synchronization,the,user,must,guarantee,that,the,buffer,was,completely,written,before,calling,this,method,param,c,collector,to,collect,records,param,buffer,size,size,of,the,buffer,throws,ioexception;suppress,warnings,rawtypes,unchecked,public,void,collect,buffer,collector,out,c,int,buffer,size,throws,ioexception,file,buffer,position,0,while,file,buffer,position,buffer,size,c,collect,deserializer,deserialize
PythonReceiver -> @SuppressWarnings({ "rawtypes", "unchecked" }) 	public void collectBuffer(Collector<OUT> c, int bufferSize) throws IOException;1493741028;Reads a buffer of the given size from the memory-mapped file, and collects all records contained. This method_assumes that all values in the buffer are of the same type. This method does NOT take care of synchronization._The user must guarantee that the buffer was completely written before calling this method.__@param c Collector to collect records_@param bufferSize size of the buffer_@throws IOException;@SuppressWarnings({ "rawtypes", "unchecked" })_	public void collectBuffer(Collector<OUT> c, int bufferSize) throws IOException {_		fileBuffer.position(0)___		while (fileBuffer.position() < bufferSize) {_			c.collect(deserializer.deserialize())__		}_	};reads,a,buffer,of,the,given,size,from,the,memory,mapped,file,and,collects,all,records,contained,this,method,assumes,that,all,values,in,the,buffer,are,of,the,same,type,this,method,does,not,take,care,of,synchronization,the,user,must,guarantee,that,the,buffer,was,completely,written,before,calling,this,method,param,c,collector,to,collect,records,param,buffer,size,size,of,the,buffer,throws,ioexception;suppress,warnings,rawtypes,unchecked,public,void,collect,buffer,collector,out,c,int,buffer,size,throws,ioexception,file,buffer,position,0,while,file,buffer,position,buffer,size,c,collect,deserializer,deserialize
